Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;AfD;BIG;pro Deutschland;FREIE WÄHLER;PARTEI DER VERNUNFT;Die PARTEI;Bergpartei;BGD;DKP;NEIN;WGr/EB;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;PSG;AfD;BIG;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;Partei der Nichtwähler;PARTEI DER VERNUNFT;Die PARTEI
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
044;Celle - Uelzen;NI;Urne;215285;127065;1318;125747;60439;43556;1581;4854;7290;0;0;1449;0;0;0;0;0;0;0;0;0;0;0;0;5512;0;0;1066;0;0;0;0;0;0;0;1184;125881;55025;38454;4807;6054;9237;0;12304;2297;1345;947;129;0;0;0;0;0;151;0;0;24;0;0;6500;0;119;0;0;792;0;0;0
045;Gifhorn - Peine;NI;Urne;217256;136552;1554;134998;56259;58967;1717;5988;6119;0;2681;1703;0;0;0;0;0;0;0;752;0;0;0;0;0;0;0;812;0;0;0;0;0;0;0;1310;135242;53870;49290;4371;6710;9615;0;11386;2475;1368;1006;112;0;0;0;0;0;542;0;0;40;0;0;5089;0;178;0;0;576;0;0;0
046;Hameln-Pyrmont - Holzminden;NI;Urne;191980;108109;1768;106341;41528;45594;1733;5222;6106;0;2132;0;0;0;0;0;0;0;0;0;0;0;0;0;4026;0;0;0;0;0;0;0;0;0;0;1708;106401;39227;39137;4279;6007;8746;0;9005;1786;1078;786;88;0;0;0;0;0;151;0;0;25;0;0;4586;0;120;0;0;385;0;0;0
047;Hannover-Land II;NI;Urne;240409;144940;1690;143250;58706;62964;1902;6227;7351;0;2660;1944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1496;0;0;0;0;0;0;0;1430;143510;54075;52304;5294;7337;12543;0;11957;2304;1290;1139;149;0;0;0;0;0;127;0;0;47;0;0;5827;0;252;0;0;822;0;0;0
048;Hildesheim;NI;Urne;219571;133566;2028;131538;54739;55726;1793;6810;10285;0;0;2185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1598;131968;49985;49017;4228;7019;11264;0;10455;2484;1304;953;70;0;0;0;0;0;119;0;0;25;0;0;4800;0;328;0;0;372;0;0;0
049;Salzgitter - Wolfenbüttel;NI;Urne;208990;124704;1873;122831;44339;58238;1158;5693;5180;0;1774;1732;0;0;0;0;0;0;0;0;0;0;0;0;3717;0;0;1000;0;0;0;0;0;0;0;2292;122412;42654;48951;3849;7402;8667;0;10889;1896;1611;1029;180;0;0;0;0;0;136;0;0;30;0;0;4991;0;141;0;0;875;0;0;0
050;Braunschweig;NI;Urne;193799;106985;1309;105676;35890;47144;2103;5803;7158;0;3015;863;0;0;0;0;0;0;0;0;0;0;89;0;2955;0;0;656;0;0;0;0;0;0;0;1195;105790;34876;36514;4167;7776;12577;0;9880;3175;876;943;78;0;0;0;0;0;95;0;0;87;0;0;3986;0;88;0;0;552;0;0;0
051;Helmstedt - Wolfsburg;NI;Urne;187425;107376;1552;105824;46847;41535;1319;4888;5038;0;2475;2221;0;0;0;0;0;0;0;255;0;0;0;0;0;0;0;832;0;0;0;0;0;0;414;1277;106099;43160;37246;3554;5503;6955;0;9681;2083;1609;949;38;0;0;0;0;0;204;0;0;33;0;0;4108;0;129;0;0;528;0;0;0
052;Goslar - Northeim - Osterode;NI;Urne;208311;118779;2222;116557;47901;50616;1566;5668;5851;0;1957;1715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1116;0;0;0;0;0;0;167;1909;116870;43165;45549;4370;6317;7703;0;9766;1744;1331;847;81;0;0;0;0;0;98;0;0;26;0;0;4746;0;198;0;0;695;0;0;0
053;Göttingen;NI;Urne;222102;129166;1601;127565;47915;53167;1795;7032;11875;0;2599;1504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1678;0;0;0;0;0;0;0;1281;127885;45123;43666;4722;8498;14727;0;11149;2511;1124;916;82;0;0;0;0;0;108;0;0;46;0;0;5023;0;181;0;0;1158;0;0;0
054;Bremen I;HB;Urne;256547;141822;1749;140073;41196;54725;2695;12485;18321;0;3867;1175;0;0;0;0;0;0;0;0;0;0;169;0;4237;0;0;0;0;1203;0;0;0;0;0;1553;140269;41139;47718;4813;15219;18657;0;12723;3838;1196;1268;0;0;0;78;0;0;0;0;0;73;0;0;5022;0;160;0;0;311;0;0;777
055;Bremen II - Bremerhaven;HB;Urne;227276;122302;1807;120495;34024;53603;1530;11351;9566;0;3362;2118;0;0;0;0;361;0;0;0;0;0;0;0;4580;0;0;0;0;0;0;0;0;0;0;1594;120708;33221;47259;3004;12656;11398;0;13170;3150;1990;1471;0;0;0;221;0;0;0;0;0;59;0;0;5190;0;235;0;0;353;0;0;501
056;Prignitz - Ostprignitz-Ruppin - Havelland I;BB;Urne;162624;90099;2012;88087;29683;25915;1088;21319;2240;0;2279;2601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2962;1576;88523;32475;21998;1870;20180;2828;0;9172;1708;2154;0;104;0;0;0;0;0;0;0;0;60;0;0;4180;0;318;0;0;648;0;0;0
057;Uckermark - Barnim I;BB;Urne;160234;86780;1683;85097;33284;19989;1309;22247;2158;0;2091;3069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950;0;0;0;0;0;0;0;1567;85213;31587;19120;1716;20528;2763;0;9499;1662;2393;0;142;0;0;0;0;0;0;0;0;80;0;0;4242;0;274;0;0;706;0;0;0
058;Oberhavel - Havelland II;BB;Urne;250706;147388;3169;144219;53996;40171;1999;28946;6609;0;4422;5251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1938;0;0;0;0;244;0;643;2494;144894;52356;34088;3987;27296;7646;0;19521;3246;3870;0;260;0;0;0;0;0;0;0;0;136;0;0;10112;0;643;0;0;1254;0;0;0
059;Märkisch-Oderland - Barnim II;BB;Urne;251583;146409;3540;142869;49217;29320;1548;46248;4476;0;3924;5204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2002;0;0;0;0;0;0;930;3431;142978;46762;30815;3085;37146;5582;0;19588;3318;3823;0;243;0;0;0;0;0;0;0;0;117;0;0;9621;0;726;0;0;1740;0;0;0
060;Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I;BB;Urne;191014;106613;2176;104437;34372;34441;1555;25086;2337;0;2631;3617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;398;1998;104615;35591;27343;2257;24232;3630;0;11562;2048;2933;0;168;0;0;0;0;0;0;0;0;107;0;0;5119;0;377;0;0;810;0;0;0
061;Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II;BB;Urne;244812;144226;2620;141606;46468;45801;2271;28776;9299;0;4412;2750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;2010;142216;44990;35055;4237;29949;12067;0;15918;3831;1815;0;177;0;0;0;0;0;0;0;0;196;0;0;8597;0;478;0;0;824;0;0;0
062;Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I;BB;Urne;240784;142161;3055;139106;51914;37734;1557;30541;4766;0;3542;5001;0;804;0;0;0;0;0;0;0;0;0;0;0;0;0;3009;0;0;0;0;238;0;0;2692;139469;48749;31389;3585;30499;5797;0;19450;2974;4028;0;515;0;0;0;0;0;0;0;0;141;0;0;9242;0;602;0;0;1948;0;0;0
063;Frankfurt (Oder) - Oder-Spree;BB;Urne;199341;113667;2809;110858;38226;26922;1719;30769;3948;0;4229;5045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2216;111451;37646;24488;2306;27404;4036;0;15571;2449;3679;0;237;0;0;0;0;0;0;0;0;158;0;0;7484;0;525;0;0;1039;0;0;0
064;Cottbus - Spree-Neiße;BB;Urne;187157;103776;2373;101403;36583;24427;1880;20374;2433;0;2361;4372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;698;0;0;196;0;8079;1923;101853;36780;21787;2282;22989;3330;0;14685;2109;3505;0;180;0;0;0;0;0;0;0;0;103;0;0;7235;0;436;0;0;1117;0;0;0
065;Elbe-Elster - Oberspreewald-Lausitz II;BB;Urne;177689;103340;2461;100879;41368;22539;1761;23784;2310;0;3325;5103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;0;432;2022;101318;40054;19923;2489;22183;2512;0;14157;2274;4042;0;171;0;0;0;0;0;0;0;0;128;0;0;6142;0;451;0;0;949;0;0;0
066;Altmark;ST;Urne;172378;93860;1694;92166;38599;16449;1221;28015;2419;0;2235;2439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;789;0;0;0;0;0;0;0;1570;92290;38687;17636;1871;22846;2856;0;8394;1723;2090;0;0;127;0;0;0;0;0;0;0;122;0;0;3433;0;261;0;0;638;0;0;0
067;Börde - Jerichower Land;ST;Urne;228139;123518;2740;120778;54098;27697;3079;26168;2964;0;3762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2463;0;0;0;0;0;0;547;2321;121197;52528;23552;3297;26510;3461;0;11849;2240;2705;0;0;187;0;0;0;0;0;0;0;144;0;0;4785;0;392;0;0;1396;0;0;0
068;Harz;ST;Urne;224917;113944;2419;111525;51261;21334;1515;25874;3956;0;2281;3038;1332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;934;0;0;0;0;0;0;0;2189;111755;48451;20811;2461;25858;3828;0;10346;2008;2443;0;0;225;0;0;0;0;0;0;0;120;0;0;4386;0;376;0;0;788;0;0;0
069;Magdeburg;ST;Urne;244267;124025;2444;121581;44513;29958;1576;31384;4313;0;3380;2527;2098;0;0;0;0;0;0;0;0;0;335;0;0;0;0;1497;0;0;0;0;0;0;0;2063;121962;45832;24909;2778;30000;6067;0;12376;2957;2068;0;0;271;0;0;0;0;0;0;0;233;0;0;5456;0;373;0;0;1018;0;0;0
070;Dessau - Wittenberg;ST;Urne;185954;103508;1662;101846;45357;17449;1250;22519;4061;0;1769;2603;0;0;0;0;0;0;0;0;0;0;0;0;4949;0;0;1889;0;0;0;0;0;0;0;1608;101900;43257;17257;2361;23536;3685;0;11804;1868;2584;0;0;109;0;0;0;0;0;0;0;110;0;0;5385;0;275;0;0;1473;0;0;0
071;Anhalt;ST;Urne;236732;122321;2499;119822;48738;18470;2229;34876;2335;0;1529;3191;0;0;0;0;0;0;0;0;0;0;321;0;5716;0;0;2417;0;0;0;0;0;0;0;2331;119990;49398;20061;2945;31167;2921;0;13498;1979;3245;0;0;135;0;0;0;0;0;0;0;227;0;0;6012;0;340;0;0;1560;0;0;0
072;Halle;ST;Urne;219667;112789;1874;110915;40776;25324;2217;28506;3734;0;2247;1761;0;0;0;0;0;0;0;0;0;0;341;0;4010;0;0;970;0;0;0;0;0;0;1029;1792;110997;42120;19548;3350;27432;7286;0;11261;2871;1896;0;0;188;0;0;0;0;0;0;0;240;0;0;4931;0;268;0;0;867;0;0;0
073;Burgenland - Saalekreis;ST;Urne;201043;105898;1977;103921;46421;16240;1602;26868;3751;0;2181;4357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2179;0;0;0;0;0;0;322;1799;104099;44442;16892;2712;24969;2934;0;12150;1821;3530;0;0;151;0;0;0;0;0;0;0;130;0;0;4637;0;400;0;0;1481;0;0;0
074;Mansfeld;ST;Urne;217783;115141;2314;112827;47392;20224;2069;31438;2515;0;2703;3948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1840;0;0;0;0;0;0;698;2104;113037;46666;19154;3157;29299;2911;0;11850;1949;3228;0;0;123;0;0;0;0;0;0;0;174;0;0;4767;0;428;0;0;1181;0;0;0
075;Berlin-Mitte;BE;Urne;204085;101985;1791;100194;23019;29138;1217;17276;17840;0;4071;1076;0;0;0;0;0;0;0;0;140;0;156;0;3118;447;0;178;0;1402;0;0;187;0;929;1734;100251;21706;27198;3186;19603;15717;0;12841;4919;1004;0;153;227;0;0;0;0;0;88;0;119;0;54;4118;441;206;0;0;216;0;0;1296
076;Berlin-Pankow;BE;Urne;235344;127831;1867;125964;29962;26440;1013;36559;17336;0;4349;2381;0;0;0;0;0;0;0;0;215;0;0;0;5468;0;0;601;0;1640;0;0;0;0;0;1770;126061;29201;27861;2860;32493;16545;0;17101;5053;2200;0;172;285;0;0;0;0;0;121;0;116;0;95;6696;66;323;0;0;463;0;0;1511
077;Berlin-Reinickendorf;BE;Urne;182934;97787;2081;95706;41896;29010;1620;6850;6001;0;2531;1832;0;0;0;0;0;0;0;0;0;0;0;0;4416;0;0;431;0;608;0;0;0;0;511;1965;95822;37085;25991;3761;8342;7917;0;12726;2637;1583;0;245;173;0;0;0;0;0;54;0;33;0;39;6215;194;319;0;0;467;0;0;767
078;Berlin-Spandau - Charlottenburg Nord;BE;Urne;187363;96310;2122;94188;35370;35985;1124;7516;4042;0;3091;1637;0;0;0;0;0;0;0;0;187;0;0;0;4336;484;0;416;0;0;0;0;0;0;0;2069;94241;32976;27875;3157;9840;7308;0;13085;3062;1495;0;247;155;0;0;0;0;0;120;0;59;0;47;5960;417;347;0;0;406;0;0;770
079;Berlin-Steglitz - Zehlendorf;BE;Urne;220007;114905;1773;113132;45574;34841;2421;6800;13170;0;2973;876;0;0;0;0;0;0;0;0;166;0;0;0;5039;0;0;397;0;875;0;0;0;0;0;1414;113491;39961;30524;6294;9201;15099;0;12412;3094;752;0;108;228;0;0;0;0;0;80;0;37;0;39;6541;140;223;0;0;360;0;0;810
080;Berlin-Charlottenburg - Wilmersdorf;BE;Urne;197797;103241;1528;101713;36201;33584;2026;7066;14164;0;2657;555;0;0;0;0;53;0;0;0;120;0;0;0;3947;180;0;289;0;762;0;0;0;0;109;1264;101977;31732;28663;6095;10119;15078;0;10290;2851;471;0;85;168;0;0;0;0;0;79;0;27;0;25;5295;171;140;0;0;282;0;0;696
081;Berlin-Tempelhof - Schöneberg;BE;Urne;235259;122070;2261;119809;40388;32757;1457;10029;23118;0;3747;1325;0;0;0;0;0;0;0;0;206;0;0;0;4634;485;0;588;0;1075;0;0;0;0;0;2058;120012;36444;34059;4276;13735;17407;0;14091;3973;1213;0;154;239;0;0;0;0;0;132;0;59;0;45;5911;403;305;0;0;512;0;0;1145
082;Berlin-Neukölln;BE;Urne;205635;101643;2335;99308;29091;32857;1091;12667;10795;0;4495;2384;0;0;0;0;0;0;0;0;150;0;163;0;3275;0;0;567;0;1773;0;0;0;0;0;2174;99469;27412;26672;2620;15388;12999;0;14378;4219;2057;0;148;186;0;0;0;0;0;82;0;115;0;62;4651;559;310;0;0;492;0;0;1497
083;Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost;BE;Urne;226240;121452;1861;119591;16177;22155;1062;21466;45842;0;4689;1013;0;0;0;0;0;0;0;0;70;328;0;0;2589;543;0;337;0;2050;482;0;0;0;788;1867;119585;17869;29264;2285;31249;23146;0;15772;7094;920;0;78;284;0;0;0;0;0;52;0;153;0;97;3601;533;175;0;0;311;0;0;2474
084;Berlin-Treptow - Köpenick;BE;Urne;201629;111230;1752;109478;25374;19528;902;45501;4999;0;3160;3424;0;0;0;0;0;0;0;0;148;0;141;0;4635;0;0;647;0;1019;0;0;0;0;0;1731;109499;28055;23128;2007;31861;7487;0;16961;3964;3275;0;178;217;0;0;0;0;0;135;0;131;0;56;6693;68;409;0;0;686;0;0;1149
085;Berlin-Marzahn - Hellersdorf;BE;Urne;203968;103762;1781;101981;26506;17642;713;38578;2880;0;2961;4838;0;0;0;0;0;0;0;0;171;0;0;0;5307;0;817;575;0;671;0;0;0;0;322;1806;101956;26614;19571;1678;32708;3631;0;17754;3203;4443;0;201;145;0;0;0;0;0;132;0;81;0;83;7035;66;868;0;0;607;0;0;890
086;Berlin-Lichtenberg;BE;Urne;205457;104078;1898;102180;23782;20021;663;40080;4080;0;3841;3193;0;0;0;0;0;0;0;0;169;0;0;0;4800;0;0;716;0;0;0;0;0;0;835;1815;102263;23819;20892;1488;34524;5647;0;15893;3923;2943;0;167;179;0;0;0;0;0;120;0;109;0;90;6201;59;459;0;0;533;0;0;1110
087;Aachen I;NW;Urne;179933;90371;1124;89247;34617;32757;1715;6395;7587;0;3191;607;0;0;0;0;0;0;0;0;0;0;0;0;1990;0;0;388;0;0;0;0;0;0;0;935;89436;31278;25551;4889;7930;11293;0;8495;3234;560;0;92;140;0;30;0;0;0;14;0;19;72;8;2973;111;114;36;0;393;88;75;536
088;Aachen II;NW;Urne;228375;120456;2287;118169;52805;43447;2443;7386;6065;0;3341;1701;0;981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1835;118621;47131;39400;5511;8343;7220;0;11016;2800;1365;0;641;143;0;58;0;0;0;19;0;20;178;23;4236;98;235;48;0;427;123;79;523
089;Heinsberg;NW;Urne;188266;105102;1816;103286;54700;29930;2131;4675;5505;0;2654;1439;0;0;0;0;0;0;0;0;0;0;0;0;2252;0;0;0;0;0;0;0;0;0;0;1611;103491;50460;27713;4813;5698;5536;0;9271;2473;1210;0;210;107;0;58;0;0;0;25;0;15;151;37;3722;56;193;23;0;360;128;94;409
090;Düren;NW;Urne;199550;105254;2120;103134;51277;36219;1720;5687;4591;0;3537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;1680;103574;45231;31182;4688;6347;6052;0;10074;2570;1240;0;151;102;0;51;0;0;0;25;0;25;193;36;4425;55;228;36;0;251;114;107;465
091;Rhein-Erft-Kreis I;NW;Urne;247721;131387;5198;126189;58800;46370;3248;6288;6744;0;4739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3678;127709;52887;39823;6826;7419;8718;0;12036;2908;1390;0;176;147;0;74;0;0;0;26;0;17;193;33;4995;182;505;53;0;547;162;174;454
092;Euskirchen - Rhein-Erft-Kreis II;NW;Urne;245268;128918;3068;125850;63656;39358;3889;6415;6938;0;3615;1979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2251;126667;56170;34395;7898;7141;8890;0;12173;2914;1339;0;134;156;0;64;0;0;0;22;0;29;265;24;5469;87;358;17;0;434;150;154;557
093;Köln I;NW;Urne;191277;88294;1007;87287;30520;33829;1777;6422;8529;0;2307;963;0;0;0;0;0;0;0;0;93;0;0;0;2623;0;0;224;0;0;0;0;0;0;0;899;87395;27601;28043;4281;8014;10419;0;9037;2479;775;0;114;142;0;52;0;0;0;31;0;61;109;23;3790;228;255;14;0;186;123;76;579
094;Köln II;NW;Urne;233118;114841;888;113953;42832;39748;2560;6917;16168;0;2415;534;0;0;0;0;0;0;0;0;68;0;0;0;2435;0;0;276;0;0;0;0;0;0;0;698;114143;37943;31384;8306;9244;18281;0;8985;2710;403;0;76;201;0;32;0;0;0;24;0;29;90;26;3972;102;161;10;0;241;173;65;670
095;Köln III;NW;Urne;201922;95236;1223;94013;29590;38414;1644;7987;11771;0;2853;1217;0;0;0;0;0;0;0;0;109;0;0;0;0;0;0;428;0;0;0;0;0;0;0;990;94246;27319;30299;3684;9671;14153;0;9120;2615;773;0;102;166;0;41;0;0;0;26;0;48;116;23;3326;331;301;26;0;248;157;95;726
096;Bonn;NW;Urne;226487;123139;1715;121424;44482;48653;6085;5961;9511;0;3071;0;0;0;0;0;0;0;0;0;0;0;0;0;3045;0;0;0;0;616;0;0;0;0;0;1442;121697;42657;32978;9291;8655;15858;0;12258;3263;617;0;73;193;0;32;0;0;0;19;0;34;127;19;5481;870;247;18;0;226;130;100;809
097;Rhein-Sieg-Kreis I;NW;Urne;234377;129072;1814;127258;62360;38477;2775;6435;7738;0;2735;1283;0;0;0;0;0;0;0;0;0;0;0;727;4135;0;0;593;0;0;0;0;0;0;0;1594;127478;54645;34911;7440;7764;10111;0;12607;3037;1189;0;120;183;0;84;0;0;0;19;0;14;501;30;5835;144;248;15;0;401;122;109;556
098;Rhein-Sieg-Kreis II;NW;Urne;213791;121512;1657;119855;62253;33549;3245;4445;8097;0;2458;948;0;0;0;0;0;0;0;0;0;0;0;357;3787;0;0;716;0;0;0;0;0;0;0;1391;120121;53677;29802;9169;6094;10144;0;11235;2521;891;0;87;186;0;55;0;0;0;16;0;14;260;12;5710;134;243;8;0;438;98;93;469
099;Oberbergischer Kreis;NW;Urne;209414;119521;1707;117814;61075;35941;2301;5416;5677;0;2309;1292;0;0;0;0;0;0;0;0;0;0;0;0;3566;0;0;0;0;0;0;0;0;0;237;1699;117822;52822;32040;6203;6790;7837;0;12130;2437;1164;0;134;192;0;49;0;0;0;16;0;23;260;29;6280;72;399;20;0;306;130;116;503
100;Rheinisch-Bergischer Kreis;NW;Urne;216414;121438;1174;120264;68666;31329;1915;5538;8040;0;0;983;0;0;0;0;0;0;0;0;0;0;0;0;3521;0;0;0;0;0;0;0;0;0;272;1113;120325;51759;32033;7513;6696;10665;0;11659;2533;900;0;129;179;0;57;0;0;0;21;0;21;168;17;6015;99;240;22;0;374;178;126;580
101;Leverkusen - Köln IV;NW;Urne;214098;108188;1547;106641;41187;44609;2140;6940;7385;0;0;1885;0;0;0;0;0;0;0;0;0;0;285;0;0;0;0;1105;0;1105;0;0;0;0;0;1236;106952;36993;35290;4770;8573;10049;0;11277;2936;1221;0;133;144;0;54;0;0;0;26;0;122;169;21;4464;242;344;13;0;440;137;74;737
102;Wuppertal I;NW;Urne;213132;112260;2037;110223;39081;45878;2839;9182;7418;0;3464;2361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1653;110607;35058;36424;5798;10436;10686;0;12205;2935;1367;0;337;146;0;44;0;0;0;14;0;120;214;32;4932;170;396;70;0;367;164;104;793
103;Solingen - Remscheid - Wuppertal II;NW;Urne;226117;126112;1951;124161;53710;42796;2883;7738;8443;0;3653;0;0;0;0;0;0;0;0;0;0;0;374;0;4564;0;0;0;0;0;0;0;0;0;0;1632;124480;47279;38511;6868;9037;9827;0;12958;3262;1368;0;289;161;0;64;0;0;0;25;0;154;218;32;5527;242;408;20;0;299;133;127;629
104;Mettmann I;NW;Urne;205564;110482;1405;109077;52233;39094;1949;4576;5409;0;2461;0;0;0;0;0;0;0;0;0;0;0;0;0;3355;0;0;0;0;0;0;0;0;0;0;1257;109225;45321;31705;6208;6248;8300;0;11443;2563;1062;0;203;151;0;70;0;0;0;33;0;22;196;26;5952;133;248;36;0;226;108;71;343
105;Mettmann II;NW;Urne;165493;90792;1341;89451;39348;34378;1892;4257;4297;0;2421;0;0;0;0;0;0;0;0;0;0;0;0;0;2858;0;0;0;0;0;0;0;0;0;0;1139;89653;35695;28625;4914;5379;6158;0;8882;2129;902;0;155;103;0;39;0;0;0;23;0;27;139;15;4493;89;180;33;0;152;98;58;247
106;Düsseldorf I;NW;Urne;218889;116433;1258;115175;52747;35925;3280;6983;9149;0;2340;683;0;345;0;0;0;0;0;0;0;0;131;0;3592;0;0;0;0;0;0;0;0;0;0;1092;115341;44335;32131;9390;8441;10946;0;10098;2678;636;0;290;132;0;45;0;0;0;25;0;65;137;24;5062;107;147;15;0;175;116;61;383
107;Düsseldorf II;NW;Urne;196250;103064;1593;101471;40034;36842;2520;10013;7000;0;2961;1061;0;759;0;0;0;0;0;0;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1146;101918;36076;31851;5414;8688;9563;0;10326;2762;858;0;458;140;0;50;0;0;0;55;0;56;159;33;4627;140;209;17;0;178;107;59;418
108;Neuss I;NW;Urne;214614;109418;1430;107988;54152;34280;2251;4701;5068;0;2963;1262;0;0;0;0;0;0;0;0;0;0;0;0;2880;0;0;431;0;0;0;0;0;0;0;1280;108138;47627;31016;6077;6068;6641;0;10709;2841;1118;0;179;136;0;56;0;0;0;25;0;32;171;30;4762;180;278;19;0;397;84;83;318
109;Mönchengladbach;NW;Urne;192676;101436;1594;99842;49466;30104;2095;6776;5908;0;0;1439;0;0;0;0;0;0;0;0;0;0;0;0;3371;0;0;0;0;683;0;0;0;0;0;1319;100117;42460;28963;5413;7017;6070;0;10194;2690;1172;0;122;121;0;36;0;0;0;18;0;23;129;21;4358;114;256;17;0;256;129;107;625
110;Krefeld I - Neuss II;NW;Urne;202204;111588;1500;110088;52747;35601;3381;5069;6177;0;2662;1163;0;0;0;0;0;0;0;0;0;0;0;0;2597;0;0;343;0;348;0;0;0;0;0;1301;110287;47812;31423;7306;6431;7539;0;9776;2524;986;0;116;113;0;58;0;0;0;31;0;34;182;26;4405;142;216;21;0;335;85;56;446
111;Viersen;NW;Urne;227631;130115;1535;128580;66623;37944;2757;6751;6675;0;2855;1415;0;0;0;0;0;0;0;0;0;0;0;0;3188;0;0;372;0;0;0;0;0;0;0;1418;128697;58021;35222;7685;7499;8533;0;11737;2919;1337;0;126;152;0;80;0;0;0;31;0;29;224;35;5491;97;251;17;0;332;92;98;426
112;Kleve;NW;Urne;225823;124376;1918;122458;62061;41323;3421;0;6780;0;3495;1337;0;0;0;0;0;0;0;0;0;0;0;0;4041;0;0;0;0;0;0;0;0;0;0;1427;122949;58868;33816;6602;6132;7357;0;10174;2617;1062;0;100;148;0;80;0;0;0;16;0;26;180;17;5054;35;236;24;0;163;70;83;263
113;Wesel I;NW;Urne;207485;119092;1442;117650;50036;47120;1911;6387;5465;0;2876;0;0;0;0;0;325;0;0;0;0;0;0;0;3530;0;0;0;0;0;0;0;0;0;0;1283;117809;45141;41823;5131;7656;7356;0;10702;2582;1409;0;192;120;0;160;0;0;0;20;0;32;153;24;4653;79;279;35;0;243;118;85;518
114;Krefeld II - Wesel II;NW;Urne;182593;101349;1591;99758;38590;42879;2104;5873;5025;0;2496;1680;0;0;0;0;0;0;0;0;0;0;204;0;0;0;0;485;0;422;0;0;0;0;0;1250;100099;35364;35727;5048;7184;7198;0;9578;2251;1234;0;140;104;0;56;0;0;0;24;0;89;145;17;4186;138;332;20;0;292;68;84;398
