Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;AfD;BIG;pro Deutschland;FREIE WÄHLER;PARTEI DER VERNUNFT;Die PARTEI;Bergpartei;BGD;DKP;NEIN;WGr/EB;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;PSG;AfD;BIG;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;Partei der Nichtwähler;PARTEI DER VERNUNFT;Die PARTEI
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
012;Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I;MV;Urne;220166;122642;2204;120438;47852;30720;1681;26736;3894;0;2802;4397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2183;0;0;0;0;0;0;173;1902;120740;48681;25630;2646;24955;4961;0;13867;2191;3517;0;65;0;0;0;0;0;0;0;0;131;0;0;6642;0;213;0;0;1108;0;0;0
013;Ludwigslust-Parchim II - Nordwestmecklenburg II - Landkreis Rostock I;MV;Urne;208976;114912;2110;112802;48765;25739;1611;25849;3467;0;2488;3857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1026;0;0;0;0;0;0;0;1830;113082;47353;22271;2445;24415;4174;0;12424;1764;3169;0;76;0;0;0;0;0;0;0;0;130;0;0;6146;0;246;0;0;893;0;0;0
014;Rostock - Landkreis Rostock II;MV;Urne;223885;122200;2356;119844;42860;21858;1184;37191;7777;0;2622;2921;0;0;0;0;0;0;0;0;0;0;432;0;0;0;0;1106;0;0;0;0;0;0;1893;1822;120378;45865;22828;2190;29165;7076;0;13254;2769;2217;0;97;0;0;0;0;0;0;0;0;223;0;0;6918;0;179;0;0;851;0;0;0
015;Vorpommern-Rügen - Vorpommern-Greifswald I;MV;Urne;244880;125900;2219;123681;70346;17156;968;23486;3231;0;2992;3528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;940;0;0;0;0;0;0;1034;2197;123703;56171;17640;3065;25505;5052;0;16270;2781;3156;0;109;0;0;0;0;0;0;0;0;113;0;0;8660;0;270;0;0;1181;0;0;0
016;Mecklenburgische Seenplatte I - Vorpommern-Greifswald II;MV;Urne;234110;122454;2417;120037;55720;18732;2015;28391;2419;0;3175;7717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1868;0;0;0;0;0;0;0;2249;120205;53935;17592;2285;25939;2962;0;17492;2151;6200;0;141;0;0;0;0;0;0;0;0;122;0;0;7495;0;271;0;0;1112;0;0;0
017;Mecklenburgische Seenplatte II - Landkreis Rostock III;MV;Urne;218688;113072;2848;110224;52343;20523;1511;24996;2989;0;2209;3772;0;0;0;0;0;0;0;0;0;0;405;0;0;0;0;1476;0;0;0;0;0;0;0;2591;110481;49830;18813;2215;23939;3366;0;12318;1755;3196;0;107;0;0;0;0;0;0;0;0;182;0;0;5742;0;214;0;0;1122;0;0;0
018;Hamburg-Mitte;HH;Urne;256862;121660;1929;119731;32247;48568;1793;12249;13168;0;4271;957;0;0;0;0;0;0;0;0;0;0;0;0;4204;0;0;459;0;1292;0;0;0;0;523;1832;119828;30589;41366;4135;14257;15538;0;13943;4897;996;0;0;287;0;0;440;0;0;0;0;73;0;0;5645;0;0;0;0;414;0;0;1191
019;Hamburg-Altona;HH;Urne;182776;92667;1098;91569;27603;33560;1377;10293;12282;0;2152;410;0;0;0;0;0;0;0;0;0;0;102;0;2221;0;0;306;0;986;0;0;0;0;277;1082;91585;25085;28535;4181;10984;14993;0;7807;2629;420;0;0;218;0;0;204;0;0;0;0;96;0;0;3170;0;0;0;0;266;0;0;804
020;Hamburg-Eimsbüttel;HH;Urne;189772;94778;1096;93682;29171;37289;1605;7134;11581;0;2449;389;0;0;0;0;0;0;0;0;0;0;0;0;2817;0;0;276;0;0;0;0;0;0;971;987;93791;27021;30804;4120;8980;14572;0;8294;2783;387;0;0;205;0;0;242;0;0;0;0;43;0;0;3748;0;0;0;0;253;0;0;633
021;Hamburg-Nord;HH;Urne;211824;109482;1055;108427;40714;39903;2123;5692;12458;0;2614;446;0;0;0;0;0;0;0;0;0;0;0;0;4057;0;0;420;0;0;0;0;0;0;0;991;108491;37490;34288;5862;7891;13554;0;9406;2733;443;0;0;189;0;0;317;0;0;0;0;27;0;0;4930;0;0;0;0;257;0;0;510
022;Hamburg-Wandsbek;HH;Urne;218797;103629;1445;102184;36587;41981;1625;7345;6142;0;2474;1115;0;0;0;0;0;0;0;0;0;0;0;0;4473;0;0;442;0;0;0;0;0;0;0;1405;102224;34082;36189;4117;8650;8655;0;10531;2601;1078;0;0;170;0;0;357;0;0;0;0;28;0;0;5463;0;0;0;0;379;0;0;455
023;Hamburg-Bergedorf - Harburg;HH;Urne;221887;104087;1636;102451;35455;42272;1384;8328;6105;0;2431;1143;0;0;416;0;0;0;0;0;0;0;0;0;4183;0;0;515;0;0;0;0;0;0;219;1628;102459;33476;36300;3300;9444;9073;0;10866;2800;1119;0;0;247;0;0;339;0;0;0;0;60;0;0;5217;0;0;0;0;398;0;0;686
