Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIE VIOLETTEN;ödp;PIRATEN;RRP;Freie Union;Übrige;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;PSG;Volksabstimmung;ZENTRUM;ADM;CM;DKP;DVU;DIE VIOLETTEN;FWD;ödp;PIRATEN;RRP;RENTNER
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
014;Rostock;MV;Urne;198527;108221;1942;106279;21119;28697;6957;34937;10351;0;2922;0;0;0;0;469;0;0;0;0;0;0;0;0;0;0;0;827;1749;106472;19396;28164;10310;33702;8244;0;2749;156;0;0;0;271;0;0;0;0;0;0;0;0;0;0;0;0;3480;0;0
015;Stralsund – Nordvorpommern – Rügen;MV;Urne;199517;99691;1892;97799;11730;47843;4798;26142;2869;0;2993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1424;2093;97598;12445;35978;11153;28254;4086;0;3137;217;0;0;0;169;0;0;0;0;0;0;0;0;0;0;0;0;2159;0;0
016;Greifswald – Demmin – Ostvorpommern;MV;Urne;204944;103444;2264;101180;13132;38617;8601;29897;4186;0;5091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1656;2161;101283;12410;36906;10767;28881;4610;0;4846;269;0;0;0;168;0;0;0;0;0;0;0;0;0;0;0;0;2426;0;0
017;Bad Doberan – Güstrow – Müritz;MV;Urne;211429;114446;2385;112061;24527;38820;8121;30815;5010;0;3843;0;0;0;0;0;0;0;0;0;0;0;0;407;0;0;0;518;2145;112301;19694;37950;11393;31594;5461;0;3627;210;0;0;0;236;0;0;0;0;0;0;0;0;0;0;0;0;2136;0;0
018;Neubrandenburg – Mecklenburg-Strelitz – Uecker-Randow;MV;Urne;185926;99021;2438;96583;16670;31710;6699;31541;3484;0;5245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1234;2054;96967;15148;31869;8502;30358;3743;0;4842;206;0;0;0;203;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0
019;Hamburg-Mitte;HH;Urne;252967;123831;2118;121713;44399;30637;8667;17102;19023;0;1885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1651;122180;35966;26449;13574;18093;20173;0;1494;0;0;0;0;92;0;0;0;0;0;0;0;0;194;0;0;462;4938;0;745
020;Hamburg-Altona;HH;Urne;173956;90910;1155;89755;34773;24973;6434;9651;12030;0;613;0;0;0;0;129;109;0;0;0;0;0;0;484;0;0;0;559;1044;89866;24215;20973;11297;12084;17134;0;631;0;0;0;0;72;0;0;0;0;0;0;0;0;76;0;0;359;2544;0;481
021;Hamburg-Eimsbüttel;HH;Urne;186357;97535;1354;96181;25058;28035;7114;9487;24993;0;743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;751;955;96580;27612;23223;12409;11198;17770;0;601;0;0;0;0;52;0;0;0;0;0;0;0;0;112;0;0;296;2737;0;570
022;Hamburg-Nord;HH;Urne;207016;111037;1228;109809;39494;39553;7849;8077;14068;0;768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;932;110105;29727;31123;16690;10111;18413;0;617;0;0;0;0;32;0;0;0;0;0;0;0;0;128;0;0;264;2508;0;492
023;Hamburg-Wandsbek;HH;Urne;217147;107504;1605;105899;38870;36191;7659;11081;9716;0;1601;0;0;0;0;0;0;0;0;0;0;0;0;781;0;0;0;0;1331;106173;31858;29239;14344;12808;12722;0;1400;0;0;0;0;33;0;0;0;0;0;0;0;0;193;0;0;329;2511;0;736
024;Hamburg-Bergedorf – Harburg;HH;Urne;219191;109089;1875;107214;42931;34113;7671;11787;8619;0;1772;0;0;0;0;0;321;0;0;0;0;0;0;0;0;0;0;0;1635;107454;33138;29800;12627;13376;12545;0;1516;0;0;0;0;48;0;0;0;0;0;0;0;0;221;0;0;296;2912;0;975
025;Aurich – Emden;NI;Urne;189804;115423;2229;113194;51752;28171;7780;11804;11957;0;1730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1993;113430;45282;26946;11415;13367;11453;0;1573;0;0;890;0;29;0;0;0;0;0;0;0;0;120;0;0;107;1763;485;0
026;Unterems;NI;Urne;231076;145058;2147;142911;42559;64608;13229;10668;10164;0;1683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1992;143066;40293;55887;17904;12599;10355;0;1533;0;0;979;0;26;0;0;0;0;0;0;0;0;140;0;0;267;2612;471;0
027;Friesland – Wilhelmshaven;NI;Urne;190546;110316;2307;108009;43977;33861;10033;10366;8094;0;1678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1743;108573;34587;31008;15777;11721;9881;0;1385;0;0;1055;0;79;0;0;0;0;0;0;0;0;87;0;0;96;2085;812;0
028;Oldenburg – Ammerland;NI;Urne;215591;133750;1670;132080;42425;46363;11339;12288;17718;0;1411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;536;0;0;1374;132376;36886;36487;19022;13306;19875;0;1224;0;0;1174;0;42;0;0;0;0;0;0;0;0;110;0;0;154;3428;668;0
029;Delmenhorst – Wesermarsch – Oldenburg-Land;NI;Urne;226440;139000;1749;137251;48556;47753;13603;12231;12029;0;2171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;908;0;0;1678;137322;40305;41980;19701;14086;13995;0;1854;0;0;1315;0;43;0;0;0;0;0;0;0;0;153;0;0;144;2565;1181;0
030;Cuxhaven – Stade II;NI;Urne;189058;116952;1680;115272;44530;43846;8617;9084;6870;0;1656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;669;1428;115524;35898;39712;14391;10456;9926;0;1437;0;0;894;0;24;0;0;0;0;0;0;0;0;211;0;0;145;1714;716;0
031;Stade I – Rotenburg II;NI;Urne;192956;120957;1450;119507;40366;52536;8237;7786;7895;0;2119;0;0;0;0;0;246;0;0;0;0;0;0;0;0;0;0;322;1268;119689;32805;43147;17014;9026;11843;0;1866;0;0;844;0;37;0;0;0;0;0;0;0;0;125;0;0;141;2178;663;0
032;Mittelems;NI;Urne;226979;149634;1623;148011;39256;80558;11546;7290;8319;0;1042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1463;148171;35267;69755;20677;8202;9747;0;944;0;0;760;0;19;0;0;0;0;0;0;0;0;72;0;0;138;2096;494;0
033;Cloppenburg – Vechta;NI;Urne;212449;131278;1552;129726;24867;80994;10934;6182;5593;0;1156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1330;129948;21793;70810;20078;6742;6630;0;1035;0;0;644;0;32;0;0;0;0;0;0;0;0;73;0;0;94;1725;292;0
034;Diepholz – Nienburg I;NI;Urne;193411;121172;1438;119734;41937;44681;13290;8448;9891;0;1487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1191;119981;33946;40130;18690;10163;11666;0;1307;0;0;909;0;22;0;0;0;0;0;0;0;0;177;0;0;113;2133;725;0
035;Osterholz – Verden;NI;Urne;192320;123285;1418;121867;45403;44642;8849;10759;10055;0;2159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1181;122104;36677;38339;14871;12171;14092;0;1786;0;0;1037;0;21;0;0;0;0;0;0;0;0;169;0;0;131;2029;781;0
