# (c) Die Bundeswahlleiterin, Wiesbaden 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021), einschließlich der Wiederholung der Wahl in Teilen Berlins (11.02.2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern (aktualisiert am 26. September 2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wähler;ungültig;gültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;Übrige
13;Mecklenburg-Vorpommern;Z;Zusammen;1314435;935040;16181;918859;160103;267368;165342;75555;101735;71956;0;13344;7900;20582;6400;4259;1189;0;0;0;0;709;0;0;754;0;0;1277;0;0;0;16336;0;0;0;0;0;0;0;0;0;2146;0;1904;0;0;0;0;0;0;0;0
13;Mecklenburg-Vorpommern;Z;Urne;1314435;609003;13347;595656;102868;169454;127043;47066;60007;39145;0;8115;5027;13483;5241;2806;625;0;0;0;0;396;0;0;471;0;0;760;0;0;0;10848;0;0;0;0;0;0;0;0;0;1213;0;1088;0;0;0;0;0;0;0;0
13;Mecklenburg-Vorpommern;Z;Brief;0;326037;2834;323203;57235;97914;38299;28489;41728;32811;0;5229;2873;7099;1159;1453;564;0;0;0;0;313;0;0;283;0;0;517;0;0;0;5488;0;0;0;0;0;0;0;0;0;933;0;816;0;0;0;0;0;0;0;0
2;Hamburg;E;Zusammen;1298792;1011044;7720;1003324;179572;334831;49828;84603;72507;237328;0;6743;6585;0;643;3419;3666;0;0;0;0;962;0;0;0;0;0;0;0;0;0;17259;0;0;0;0;0;179;0;0;0;0;0;4476;0;0;0;0;0;0;0;723
2;Hamburg;E;Urne;1298792;492657;4419;488238;78816;166498;32155;41003;38009;107895;0;3199;3409;0;342;1706;1776;0;0;0;0;556;0;0;0;0;0;0;0;0;0;10442;0;0;0;0;0;99;0;0;0;0;0;2038;0;0;0;0;0;0;0;295
2;Hamburg;E;Brief;0;518387;3301;515086;100756;168333;17673;43600;34498;129433;0;3544;3176;0;301;1713;1890;0;0;0;0;406;0;0;0;0;0;0;0;0;0;6817;0;0;0;0;0;80;0;0;0;0;0;2438;0;0;0;0;0;0;0;428
2;Hamburg;Z;Zusammen;1298792;1011044;5500;1005544;155220;298342;50537;114602;67578;250532;0;5601;10147;12325;648;4377;2016;1219;0;0;0;348;0;0;532;0;0;1203;0;1341;0;13961;0;0;0;386;0;248;0;0;0;8952;0;5429;0;0;0;0;0;0;0;0
2;Hamburg;Z;Urne;1298792;492657;3676;488981;68610;146958;32515;53841;36114;113694;0;2583;5164;6021;373;2272;973;538;0;0;0;207;0;0;269;0;0;659;0;633;0;8445;0;0;0;195;0;118;0;0;0;6291;0;2508;0;0;0;0;0;0;0;0
2;Hamburg;Z;Brief;0;518387;1824;516563;86610;151384;18022;60761;31464;136838;0;3018;4983;6304;275;2105;1043;681;0;0;0;141;0;0;263;0;0;544;0;708;0;5516;0;0;0;191;0;130;0;0;0;2661;0;2921;0;0;0;0;0;0;0;0
3;Niedersachsen;E;Zusammen;6105381;4563142;44570;4518572;1323070;1603785;292032;347802;142785;646848;0;47466;16581;25460;0;9837;1711;630;0;0;0;750;0;0;523;0;0;287;0;0;0;52585;0;0;0;0;0;1807;0;0;0;0;0;0;0;0;0;0;0;0;0;4613
