# (c) Die Bundeswahlleiterin, Wiesbaden 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021), einschließlich der Wiederholung der Wahl in Teilen Berlins (11.02.2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern (aktualisiert am 26. September 2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wähler;ungültig;gültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;Übrige
7;Rheinland-Pfalz;E;Brief;0;1434524;15933;1418591;446858;432935;85891;112897;48497;161605;0;75032;12108;6314;0;685;5386;0;0;0;0;75;0;0;170;0;0;299;0;0;0;15461;0;0;0;0;0;364;0;0;0;0;784;6587;0;0;0;0;0;0;0;6643
7;Rheinland-Pfalz;Z;Zusammen;3053335;2357021;22869;2334152;576533;685534;215205;272451;76123;293135;0;84396;20844;35759;2779;9530;5661;2202;1796;0;0;469;0;0;0;0;0;2284;0;0;0;28719;0;0;0;0;0;1044;0;0;0;8578;0;11110;0;0;0;0;0;0;0;0
7;Rheinland-Pfalz;Z;Urne;3053335;922497;12498;909999;202155;252124;124814;109142;34224;101501;0;28782;9329;13282;1415;4145;1998;680;643;0;0;223;0;0;0;0;0;964;0;0;0;15034;0;0;0;0;0;356;0;0;0;4910;0;4278;0;0;0;0;0;0;0;0
7;Rheinland-Pfalz;Z;Brief;0;1434524;10371;1424153;374378;433410;90391;163309;41899;191634;0;55614;11515;22477;1364;5385;3663;1522;1153;0;0;246;0;0;0;0;0;1320;0;0;0;13685;0;0;0;0;0;688;0;0;0;3668;0;6832;0;0;0;0;0;0;0;0
9;Bayern;E;Zusammen;9517664;7608980;55864;7553116;0;1316303;634098;579804;187530;1023735;2788048;587357;60435;20429;447;9150;96378;6678;0;36748;0;1258;0;0;0;0;416;1434;0;793;0;156556;466;0;0;0;0;1861;0;0;0;3096;1952;14028;0;0;0;0;0;0;0;24116
9;Bayern;E;Urne;9517664;2860677;25567;2835110;0;497699;318733;221244;81014;369836;991040;189931;24899;7277;206;3780;33478;2129;0;10247;0;614;0;0;0;0;145;516;0;242;0;67407;183;0;0;0;0;626;0;0;0;1334;632;4343;0;0;0;0;0;0;0;7555
9;Bayern;E;Brief;0;4748303;30297;4718006;0;818604;315365;358560;106516;653899;1797008;397426;35536;13152;241;5370;62900;4549;0;26501;0;644;0;0;0;0;271;918;0;551;0;89149;283;0;0;0;0;1235;0;0;0;1762;1320;9685;0;0;0;0;0;0;0;16561
9;Bayern;Z;Zusammen;9517664;7608980;37667;7571313;0;1361242;679915;798591;210838;1067830;2402827;566880;53876;80911;5743;25865;51124;8331;0;32790;0;1251;8524;0;1288;0;0;6689;0;4200;0;131988;5574;0;3544;0;0;1806;0;0;0;24629;13623;21434;0;0;0;0;0;0;0;0
9;Bayern;Z;Urne;9517664;2860677;20315;2840362;0;504895;342802;301903;92213;381872;863042;162492;23373;28418;2575;10903;17487;2594;0;9168;0;641;2638;0;566;0;0;2788;0;1312;0;59161;2136;0;1686;0;0;659;0;0;0;13049;4223;7766;0;0;0;0;0;0;0;0
9;Bayern;Z;Brief;0;4748303;17352;4730951;0;856347;337113;496688;118625;685958;1539785;404388;30503;52493;3168;14962;33637;5737;0;23622;0;610;5886;0;722;0;0;3901;0;2888;0;72827;3438;0;1858;0;0;1147;0;0;0;11580;9400;13668;0;0;0;0;0;0;0;0
8;Baden-Württemberg;E;Zusammen;7711531;5997317;54574;5942743;1767316;1247455;561058;711697;175691;1058334;0;143422;73115;21822;0;3438;17041;550;2609;0;0;3541;0;351;0;0;62;4702;0;0;0;127340;452;1556;0;0;0;508;0;0;0;0;0;11146;0;0;0;0;0;3967;0;5570
8;Baden-Württemberg;E;Urne;7711531;2982310;33475;2948835;845228;614938;369063;367876;93581;447862;0;64361;39048;10110;0;1722;7133;205;1149;0;0;2041;0;100;0;0;42;2125;0;0;0;73200;174;648;0;0;0;237;0;0;0;0;0;4224;0;0;0;0;0;1354;0;2414
8;Baden-Württemberg;E;Brief;0;3015007;21099;2993908;922088;632517;191995;343821;82110;610472;0;79061;34067;11712;0;1716;9908;345;1460;0;0;1500;0;251;0;0;20;2577;0;0;0;54140;278;908;0;0;0;271;0;0;0;0;0;6922;0;0;0;0;0;2613;0;3156
8;Baden-Württemberg;Z;Zusammen;7711531;5997317;47657;5949660;1477612;1287934;571336;908039;196874;1022226;0;103611;53597;74702;6036;21530;17637;0;5388;0;0;2248;7059;0;1107;0;0;6775;0;0;0;114919;12625;7491;0;1936;0;1578;0;0;0;26780;0;20620;0;0;0;0;0;0;0;0
8;Baden-Württemberg;Z;Urne;7711531;2982310;33255;2949055;703796;625869;375317;459100;104704;426878;0;47172;29605;35781;3646;11698;8059;0;2423;0;0;1439;3437;0;568;0;0;3409;0;0;0;67339;6155;3241;0;874;0;811;0;0;0;18305;0;9429;0;0;0;0;0;0;0;0
8;Baden-Württemberg;Z;Brief;0;3015007;14402;3000605;773816;662065;196019;448939;92170;595348;0;56439;23992;38921;2390;9832;9578;0;2965;0;0;809;3622;0;539;0;0;3366;0;0;0;47580;6470;4250;0;1062;0;767;0;0;0;8475;0;11191;0;0;0;0;0;0;0;0
10;Saarland;E;Zusammen;755223;583963;10850;573113;159323;208329;56236;46793;30211;31091;0;14936;13840;0;0;0;2872;0;0;0;0;201;0;0;0;0;0;0;0;0;0;8982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299
10;Saarland;E;Urne;755223;348874;6718;342156;91240;123571;40210;28178;19303;14833;0;8686;8679;0;0;0;1454;0;0;0;0;124;0;0;0;0;0;0;0;0;0;5742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136
10;Saarland;E;Brief;0;235089;4132;230957;68083;84758;16026;18615;10908;16258;0;6250;5161;0;0;0;1418;0;0;0;0;77;0;0;0;0;0;0;0;0;0;3240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163
10;Saarland;Z;Zusammen;755223;583963;10295;573668;135134;213777;57629;65945;41130;0;0;11746;9978;16231;1375;3419;2531;0;0;0;0;357;0;0;0;0;0;0;0;0;0;8116;0;0;0;0;0;0;0;0;0;2281;0;4019;0;0;0;0;0;0;0;0
10;Saarland;Z;Urne;755223;348874;6519;342355;76906;123320;41307;39504;25431;0;0;6727;6126;9521;915;2159;1235;0;0;0;0;207;0;0;0;0;0;0;0;0;0;5299;0;0;0;0;0;0;0;0;0;1390;0;2308;0;0;0;0;0;0;0;0
10;Saarland;Z;Brief;0;235089;3776;231313;58228;90457;16322;26441;15699;0;0;5019;3852;6710;460;1260;1296;0;0;0;0;150;0;0;0;0;0;0;0;0;0;2817;0;0;0;0;0;0;0;0;0;891;0;1711;0;0;0;0;0;0;0;0
