Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wählende;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;Übrige;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
143;Dortmund II;NW;Urne;199317;74345;921;73424;14127;28037;7934;5677;3401;9668;0;635;1872;1734;0;0;0;0;0;0;0;79;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;0;0;0;0;0;790;73555;13541;25184;7613;7032;3653;10165;0;402;1305;1570;124;328;37;28;0;0;0;39;90;0;42;0;0;46;0;27;9;682;41;0;0;0;112;7;20;62;0;1204;0;192
144;Unna I;NW;Urne;194493;82639;913;81726;19402;32732;8446;5606;2940;10329;0;999;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;826;81813;17003;28625;8290;8681;3094;10298;0;549;1074;1473;98;325;43;56;0;0;0;38;105;0;16;0;0;69;0;39;7;781;53;0;0;0;141;14;22;86;0;643;0;190
145;Hamm – Unna II;NW;Urne;231226;94098;1148;92950;23130;37049;11223;7056;3846;8371;0;1353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;961;93137;21107;32228;11203;9225;3487;9510;0;662;918;1466;167;394;54;39;0;0;0;14;141;0;17;0;0;60;0;39;9;753;65;0;0;0;176;24;28;69;0;1074;0;208
146;Soest;NW;Urne;231811;91912;999;90913;28526;27059;9759;9504;3050;10630;0;962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;809;91103;25144;24882;9926;10848;3031;11601;0;561;977;1180;87;388;64;39;0;0;0;9;112;0;15;0;0;77;0;41;4;1237;108;0;0;0;147;12;43;69;0;329;0;172
147;Hochsauerlandkreis;NW;Urne;200496;76276;678;75598;29532;23946;6611;5541;1468;5375;0;938;1532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;623;75653;24882;20891;7416;9015;2001;6931;0;727;1046;916;60;258;43;29;0;0;0;5;67;0;5;0;0;52;0;20;4;688;34;0;0;0;86;9;17;51;0;231;0;169
148;Siegen-Wittgenstein;NW;Urne;207672;82885;818;82067;25903;24505;9469;7376;2698;7914;0;759;1830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1222;0;0;0;0;0;0;0;0;0;368;0;0;0;0;0;0;0;23;779;82106;20444;24165;9629;9582;3075;8867;0;597;1149;1030;110;268;205;43;0;0;0;14;85;0;22;0;0;95;0;36;3;1252;209;0;0;0;120;23;19;52;0;668;0;344
149;Olpe – Märkischer Kreis I;NW;Urne;203350;73281;907;72374;25147;20598;8283;7943;2238;6000;0;974;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;1091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;793;72488;22175;19055;8332;9239;2214;6688;0;534;627;932;108;300;130;28;0;0;0;14;76;0;33;0;0;56;0;27;8;902;173;0;0;0;116;17;29;44;0;500;0;131
150;Märkischer Kreis II;NW;Urne;195816;73324;812;72512;22343;21715;8831;6893;2674;6102;0;905;0;2116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;785;72539;18808;20474;8898;8844;2705;7066;0;589;731;1557;115;327;56;24;0;0;0;31;120;0;20;0;0;63;0;33;7;902;61;0;0;0;151;12;28;66;0;731;0;120
151;Nordsachsen;SN;Urne;161279;85754;1272;84482;18543;14885;26584;7337;6310;3734;0;3159;1439;0;0;0;252;0;0;0;0;0;0;0;0;0;0;0;0;0;1268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;971;1228;84526;15858;16558;26056;8865;5916;3483;0;2210;926;1626;386;309;161;39;0;0;0;63;379;0;55;0;0;94;0;0;0;1004;61;0;222;0;0;0;0;0;0;134;0;121
152;Leipzig I;SN;Urne;224100;105076;1038;104038;21122;20370;20305;8335;14561;10941;0;1945;2702;0;0;0;289;0;0;0;0;168;0;0;0;0;0;519;0;0;1594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1187;1012;104064;15677;20921;19760;11038;12143;14144;0;1549;1929;2422;234;528;173;123;0;0;0;105;407;0;97;0;0;258;0;0;0;1543;93;0;148;0;0;0;0;0;0;369;0;403
153;Leipzig II;SN;Urne;231178;108104;803;107301;17990;17648;15541;7791;24128;16825;0;1467;2639;0;0;558;332;0;0;0;0;169;0;0;0;0;0;294;0;0;1846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;755;107349;14324;22098;15185;10353;15422;20011;0;1288;2053;2194;149;555;203;174;0;0;0;125;227;0;111;0;0;216;0;0;0;1720;131;0;115;0;0;0;0;0;0;322;0;373
154;Leipzig-Land;SN;Urne;212853;115530;1673;113857;26838;21299;32053;10798;8657;4886;0;4246;2185;0;0;0;321;0;0;0;0;0;0;0;0;0;0;0;0;0;2335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;1548;113982;22347;22913;31197;12889;8155;5798;0;2698;1220;2194;374;360;178;65;0;0;0;57;624;0;67;0;0;129;0;0;0;1842;135;0;263;0;0;0;0;0;0;219;0;258
155;Meißen;SN;Urne;197004;99408;1397;98011;20566;13442;35826;8797;6220;4147;0;4530;1999;0;0;0;534;0;0;0;0;0;0;0;0;0;0;0;0;0;1844;0;0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;1382;98026;15988;15486;34522;11114;6292;5012;0;2658;1126;1781;422;386;231;59;0;0;0;42;447;0;36;0;0;126;0;0;0;1544;110;0;237;0;0;0;0;0;0;187;0;220
156;Bautzen I;SN;Urne;206895;118339;1785;116554;28833;14510;43829;9212;9313;2587;0;3616;2450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1896;0;0;0;0;0;308;0;0;0;0;0;0;0;0;0;0;0;0;1858;116481;20718;18146;41804;12487;8248;3970;0;2928;1512;2101;501;417;164;41;0;0;0;51;699;0;67;0;0;123;0;0;0;1692;164;0;220;0;0;0;0;0;0;213;0;215
157;Görlitz;SN;Urne;204105;110127;1829;108298;26820;12237;44021;7598;7668;3614;0;3084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2834;0;0;0;0;0;245;0;0;0;0;0;0;0;0;0;0;0;177;1749;108378;18768;16538;40159;10503;7461;4437;0;2452;1037;2307;381;404;118;48;0;0;0;63;685;0;59;0;0;131;0;0;0;1862;288;0;245;0;0;0;0;0;0;208;0;224
158;Sächsische Schweiz-Osterzgebirge;SN;Urne;199703;106948;1724;105224;19150;11414;40702;8864;9210;3798;0;5118;0;0;0;0;496;0;0;0;0;0;0;0;0;0;0;0;0;0;2287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4185;1667;105281;16838;14334;39282;12040;7309;4538;0;3126;855;1922;501;437;225;39;0;0;0;38;599;0;53;0;0;170;0;0;0;2107;127;0;231;0;0;0;0;0;0;215;0;295
159;Dresden I;SN;Urne;228643;97582;1023;96559;19326;13098;24301;9497;16916;6948;0;0;1895;0;0;1026;525;0;0;0;0;123;0;0;0;0;0;407;0;0;1585;243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;669;982;96600;14469;16785;23189;11374;9703;11757;0;1523;1317;1608;214;690;337;75;0;0;0;71;401;0;47;0;0;254;0;0;0;1667;187;0;116;0;0;0;0;0;0;363;0;453
160;Dresden II – Bautzen II;SN;Urne;234432;104379;1100;103279;18786;14372;26069;10927;11084;10456;0;1811;2242;0;0;1384;466;0;0;0;0;148;735;0;0;0;124;0;0;0;2303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2372;990;103389;14109;15469;26757;12381;10318;13103;0;1891;1796;1785;204;968;288;98;0;0;0;74;587;0;47;0;0;210;0;0;0;2323;136;0;125;0;0;0;0;0;0;276;0;444
161;Mittelsachsen;SN;Urne;193828;104014;1589;102425;22875;16458;39061;9814;7857;3231;0;0;0;0;0;0;812;0;0;0;0;0;0;0;0;0;0;0;0;0;2317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1421;102593;17215;17517;35209;11450;7442;3996;0;2163;952;1987;593;354;360;75;0;0;0;58;505;0;80;0;0;167;0;0;0;1724;181;0;197;0;0;0;0;0;0;171;0;197
162;Chemnitz;SN;Urne;188691;83862;981;82881;14312;18190;23325;8271;8222;5123;0;0;2523;0;0;0;344;313;0;0;0;0;0;0;0;0;0;0;0;0;1698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;560;832;83030;11522;16934;22754;9588;7994;6457;0;1146;1449;1612;185;273;165;183;0;0;0;53;341;0;48;0;0;195;0;0;0;1454;214;0;117;0;0;0;0;0;0;161;0;185
163;Chemnitzer Umland – Erzgebirgskreis II;SN;Urne;177211;95318;1304;94014;20884;15175;31291;8027;7289;3242;0;4191;1913;0;0;0;429;0;0;0;0;0;0;0;0;0;0;0;0;0;1573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1194;94124;16054;17835;29712;10212;7139;3729;0;2815;1167;1710;424;252;227;88;0;0;0;31;374;0;50;0;0;114;0;0;0;1268;452;0;213;0;0;0;0;0;0;159;0;99
164;Erzgebirgskreis I;SN;Urne;210941;114883;1850;113033;26976;15569;40808;8310;8165;2430;0;5421;1670;0;0;0;0;324;0;0;0;0;0;0;0;0;0;0;0;0;1691;1443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;1778;113105;20984;18891;39226;11297;7739;3185;0;3287;1137;2050;742;297;173;101;0;0;0;34;453;0;54;0;0;106;0;0;0;1413;1344;0;238;0;0;0;0;0;0;202;0;152
165;Zwickau;SN;Urne;197831;101095;1459;99636;20170;15585;29672;9441;14221;3580;0;3807;0;0;0;0;311;0;0;0;0;0;0;0;0;0;0;0;0;0;2770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;1293;99802;17539;19709;29124;10329;8761;4325;0;2467;1018;2185;295;328;195;58;0;0;0;55;357;0;58;0;0;92;0;0;0;1875;444;0;346;0;0;0;0;0;0;134;0;108
166;Vogtlandkreis;SN;Urne;184973;93800;1568;92232;24596;16679;28345;7666;7953;3757;0;0;0;0;0;0;556;0;0;0;0;0;0;0;0;0;0;0;0;0;1707;0;0;389;0;0;414;0;0;0;0;0;0;0;0;0;0;0;170;1363;92437;17654;19070;26613;9138;7548;3733;0;1383;1170;2163;218;240;210;46;0;0;0;37;405;0;58;0;0;113;0;0;0;1497;507;0;357;0;0;0;0;0;0;150;0;127
167;Waldeck;HE;Urne;184073;70957;1286;69671;17798;24711;8667;6762;2351;6227;0;1719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;429;1382;69575;14945;23247;8872;8311;2461;6823;0;1294;572;999;97;246;66;41;0;0;0;17;108;0;9;0;0;51;0;0;0;966;58;0;0;17;0;11;0;0;0;262;0;102
168;Kassel;HE;Urne;218474;81331;1309;80022;15631;27705;7956;6770;5032;12477;0;1215;1494;0;0;0;0;0;0;0;0;146;0;0;0;0;0;0;0;0;1299;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;1226;80105;13324;24608;8445;8432;5620;13258;0;848;885;1220;91;431;84;62;0;0;0;75;101;0;42;0;0;104;0;0;0;1204;101;0;0;26;0;14;0;0;0;941;0;189
169;Werra-Meißner – Hersfeld-Rotenburg;HE;Urne;171886;67328;1207;66121;17099;27140;9502;3991;2109;3755;0;1518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;871;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;55;1304;66024;13913;23290;9923;6733;2431;5165;0;1314;556;853;129;202;62;19;0;0;0;23;93;0;16;0;0;41;0;0;0;820;142;0;0;40;0;12;0;0;0;108;0;139
170;Schwalm-Eder;HE;Urne;185944;72983;1417;71566;16761;26380;9734;6746;2098;5625;0;2001;1093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;860;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1540;71443;14869;23944;10106;8416;2352;6406;0;1663;712;966;152;279;51;40;0;0;0;11;118;0;29;0;0;44;0;0;0;836;130;0;0;19;0;14;0;0;0;195;0;91
171;Marburg;HE;Urne;181588;77419;975;76444;19623;27414;8749;5494;3616;8796;0;1241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;919;76500;16760;22274;8745;8385;4391;10532;0;968;700;1023;121;254;147;44;0;0;0;15;97;0;38;0;0;78;0;0;0;1174;136;0;0;22;0;17;0;0;0;367;0;212
172;Lahn-Dill;HE;Urne;206532;81474;1293;80181;23122;24978;11063;6936;2676;6539;0;2040;1443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;1249;80225;19003;22058;11961;9472;2935;8010;0;1363;980;1218;243;268;127;48;0;0;0;10;116;0;32;0;0;68;0;0;0;1286;262;0;0;14;0;19;0;0;0;537;0;195
173;Gießen;HE;Urne;217514;83523;1414;82109;22907;24376;10037;6696;3535;9411;0;2159;1653;0;0;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;1209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1600;81923;17708;21588;10178;9214;4476;11650;0;1654;1041;1233;138;295;109;63;0;0;0;21;109;0;73;0;0;123;0;0;0;1217;125;0;0;21;0;20;0;0;0;450;0;417
174;Fulda;HE;Urne;208542;84362;1201;83161;30100;17528;15732;7386;2383;6157;0;1940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1491;256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188;1284;83078;24815;17859;14198;10549;2284;7117;0;1405;725;948;167;256;75;50;0;0;0;9;112;0;16;0;0;69;0;0;0;1417;259;0;0;31;0;26;0;0;0;244;0;447
175;Main-Kinzig – Wetterau II – Schotten;HE;Urne;178307;67112;1244;65868;17389;18825;10993;7592;2155;5523;0;2174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1298;65814;15220;16888;10721;8566;2205;6342;0;1445;662;1174;305;346;65;47;0;0;0;16;118;0;19;0;0;70;0;0;0;1053;83;0;0;28;0;15;0;0;0;219;0;207
176;Hochtaunus;HE;Urne;179842;65528;743;64785;18698;17183;6574;7622;1884;9357;0;1392;0;0;0;733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;746;64782;15671;15597;6858;9996;2178;9512;0;916;541;911;89;412;66;56;0;0;0;5;85;0;19;0;0;80;0;0;0;1065;47;0;0;22;0;13;0;0;0;355;0;288
177;Wetterau I;HE;Urne;176897;63976;1014;62962;16899;18445;6841;7064;2020;7863;0;1744;0;0;0;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;998;62978;14008;15724;7031;9062;2447;9269;0;1156;546;980;193;407;65;66;0;0;0;12;110;0;17;0;0;69;0;0;0;1083;42;0;0;21;0;15;0;0;0;429;0;226
178;Rheingau-Taunus – Limburg;HE;Urne;220466;74970;1112;73858;20917;20441;8105;8261;2340;9865;0;2153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1486;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;1010;73960;17642;17879;8585;10719;2672;10360;0;1232;639;1206;108;337;76;72;0;0;0;16;105;0;14;0;0;91;0;0;0;1337;110;0;0;27;0;28;0;0;0;351;0;354
179;Wiesbaden;HE;Urne;186735;67414;990;66424;16041;17755;6090;6927;3609;11462;0;737;802;0;0;376;0;0;0;0;0;0;0;0;0;0;66;221;0;0;1473;0;0;0;0;0;58;0;0;0;807;0;0;0;0;0;0;0;0;868;66546;12999;16570;6322;9168;3938;11799;0;595;550;828;65;276;78;57;0;0;0;27;89;0;22;0;0;136;0;0;0;1242;63;0;0;11;0;52;0;0;0;1058;0;601
180;Hanau;HE;Urne;176271;67935;1160;66775;17392;20365;8724;7147;2643;7382;0;1580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;1097;66838;14146;17612;8711;8953;2749;8462;0;925;707;1351;148;334;68;62;0;0;0;14;126;0;23;0;0;99;0;0;0;981;44;0;0;20;0;15;0;0;0;1051;0;237
181;Main-Taunus;HE;Urne;195514;71487;910;70577;21732;16197;6370;9589;2303;11261;0;1751;1374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;820;70667;17527;15304;6255;12120;2506;11428;0;933;626;851;54;275;75;63;0;0;0;25;88;0;6;0;0;75;0;0;0;1142;46;0;0;17;0;10;0;0;0;806;0;435
182;Frankfurt am Main I;HE;Urne;201216;72791;930;71861;14615;22161;5142;7884;6626;11931;0;994;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;1364;0;0;0;0;0;0;0;0;0;1059;0;0;0;0;0;0;0;0;917;71874;12249;17451;5151;9964;5769;14476;0;565;728;894;63;334;48;55;0;0;0;47;92;0;51;0;0;121;0;0;0;1044;90;0;0;21;0;26;0;0;0;1934;0;701
183;Frankfurt am Main II;HE;Urne;227207;84126;978;83148;17766;20954;4981;9172;5727;21746;0;1104;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;0;0;0;1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;920;83206;14470;19457;5124;11616;6314;19270;0;669;775;852;45;390;61;100;0;0;0;24;79;0;46;0;0;92;0;0;0;1215;77;0;0;12;0;26;0;0;0;1447;0;1045
184;Groß-Gerau;HE;Urne;174082;63687;1040;62647;15961;20806;6755;5720;2861;6687;0;1447;1232;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;1095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;996;62691;12611;17709;6969;7604;3094;8359;0;1004;723;1021;92;280;63;52;0;0;0;59;97;0;53;0;0;105;0;0;0;866;81;0;0;26;0;21;0;0;0;1580;0;222
185;Offenbach;HE;Urne;219511;81161;1370;79791;20292;21866;7799;7920;4303;12021;0;1583;1109;0;0;675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1574;0;0;0;0;0;0;0;0;0;649;0;0;0;0;0;0;0;0;1496;79665;16824;19734;7878;10591;4402;12482;0;992;774;1162;72;472;56;70;0;0;0;17;99;0;41;0;0;78;0;0;0;1393;42;0;0;22;0;18;0;0;0;1899;0;547
186;Darmstadt;HE;Urne;240763;85193;1183;84010;17872;22379;7197;8236;4882;17983;0;1378;1824;0;0;0;0;0;0;0;0;148;0;0;0;0;0;0;0;0;1878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;1083;84110;14501;21101;7720;10297;5642;16832;0;892;990;1193;90;413;142;53;0;0;0;73;89;0;32;0;0;141;0;0;0;1620;172;0;0;23;0;36;0;0;0;1063;0;995
187;Odenwald;HE;Urne;233901;79502;1512;77990;19848;23959;9278;8207;3132;8881;0;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1984;0;0;0;0;0;0;0;0;0;581;0;0;0;0;0;0;0;106;1577;77925;17124;20461;9659;10332;3152;10001;0;1273;772;1371;118;355;84;72;0;0;0;38;125;0;63;0;0;87;0;0;0;1740;91;0;0;18;0;32;0;0;0;577;0;380
188;Bergstraße;HE;Urne;197782;70238;1002;69236;19136;18701;8789;7758;2245;8843;0;1718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1516;0;0;0;0;0;0;0;0;419;0;0;0;0;0;0;0;0;111;988;69250;15373;18024;8816;9675;2380;9090;0;1075;589;1375;143;334;65;52;0;0;0;10;102;0;14;0;0;75;0;0;0;1375;73;0;0;25;0;22;0;0;0;341;0;222
189;Eichsfeld – Nordhausen – Kyffhäuserkreis;TH;Urne;209203;108059;1618;106441;27477;22358;28005;7414;10716;3457;0;2675;2081;0;0;0;501;0;0;0;0;232;0;0;0;0;0;0;0;0;1525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1506;106553;22818;24276;27698;9719;9806;4325;0;1884;1160;1460;504;351;287;41;0;0;0;160;0;223;0;0;0;79;0;0;0;1439;0;0;0;0;0;0;0;0;0;129;0;194
190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;TH;Urne;212267;104226;1580;102646;22799;22206;30076;6419;10327;3123;0;3256;1658;0;0;0;336;0;0;0;0;274;0;0;0;0;0;0;0;0;2088;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;1480;102746;18170;23191;29710;9159;9586;4169;0;2342;1109;1529;486;398;189;43;0;0;0;199;0;254;0;0;0;81;0;0;0;1797;0;0;0;0;0;0;0;0;0;139;0;195
191;Jena – Sömmerda – Weimarer Land I;TH;Urne;198697;98459;1394;97065;18304;18440;23506;7063;14460;6931;0;3954;2409;0;0;0;0;0;0;0;0;213;0;0;0;0;0;0;0;0;1651;0;0;0;0;0;134;0;0;0;0;0;0;0;0;0;0;0;0;1231;97228;15319;20497;23928;9058;11272;8020;0;2409;1339;1410;445;541;108;64;0;0;0;181;0;199;0;0;0;141;0;0;0;1670;0;0;0;0;0;0;0;0;0;215;0;412
192;Gotha – Ilm-Kreis;TH;Urne;190519;99144;1585;97559;17124;21770;29783;6544;9928;3818;0;3695;1966;0;0;0;0;0;0;0;0;254;0;0;0;0;0;0;0;0;1751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;610;0;316;0;1590;97554;14495;21637;29268;8354;9921;4795;0;2457;1266;1533;338;545;105;91;0;0;0;154;0;283;0;0;0;114;0;0;0;1708;0;0;0;0;0;0;0;0;0;177;0;313
193;Erfurt – Weimar – Weimarer Land II;TH;Urne;217944;104826;1380;103446;17423;24387;21246;7953;15913;10134;0;0;3162;0;0;0;0;0;0;0;0;409;0;0;0;0;0;0;0;0;2819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1233;103593;14571;23484;20938;9820;13690;11515;0;1322;1695;1842;227;815;146;96;0;0;0;205;0;263;0;0;0;155;0;0;0;2102;0;0;0;0;0;0;0;0;0;278;0;429
194;Gera – Greiz – Altenburger Land;TH;Urne;229588;120119;1958;118161;22502;23953;38743;10350;13086;3966;0;0;0;0;0;0;0;0;0;0;0;506;0;0;0;0;0;0;0;0;2114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2941;1688;118431;18627;23763;37603;11706;12217;4662;0;1685;1500;2109;430;534;107;98;0;0;0;341;0;402;0;0;0;134;0;0;0;2036;0;0;0;0;0;0;0;0;0;216;0;261
195;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;TH;Urne;219437;112773;1474;111299;22649;18997;37318;8092;12328;3696;0;3285;2378;0;0;0;250;0;0;0;0;285;0;0;0;0;0;0;0;0;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1455;111318;17492;21542;36169;10357;11421;4356;0;2610;1548;1719;442;447;154;86;0;0;0;202;0;296;0;0;0;96;0;0;0;1904;0;0;0;0;0;0;0;0;0;212;0;265
196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;TH;Urne;230071;117362;1677;115685;27110;35308;28293;7085;8965;2117;0;3333;1588;0;0;900;512;0;0;0;0;277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;1628;115734;18763;26819;35331;9527;11327;4183;0;2824;1321;1471;368;744;298;61;0;0;0;237;0;254;0;0;0;77;0;0;0;1821;0;0;0;0;0;0;0;0;0;136;0;172
197;Neuwied;RP;Urne;238118;71736;1017;70719;19717;20555;10382;6580;2355;5623;0;2901;1264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1122;0;0;0;0;0;0;0;0;166;0;0;0;0;0;0;0;0;54;948;70788;16523;19660;10739;8344;2583;6486;0;2073;801;1003;108;300;99;60;38;0;0;15;0;0;0;0;0;81;0;0;0;1233;0;0;0;0;0;20;0;0;0;414;0;208
198;Ahrweiler;RP;Urne;195109;54300;832;53468;16258;15704;6182;4848;1625;5171;0;2374;0;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;0;0;964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;692;53608;13658;14524;6414;6743;1705;5789;0;1518;559;694;77;310;92;31;36;0;0;17;0;0;0;0;0;44;0;0;0;831;0;0;0;0;0;19;0;0;0;338;0;209
