(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
9;Ostholstein – Stormarn-Nord;901;181112;183138;181112;183138;150786;143092;150786;143092;1114;1301;791;1126;149672;141791;149995;141966;38070;47714;29511;42520;52024;42991;46722;35564;15636;19025;19093;22314;5423;13289;7656;17986;25929;9647;26495;10073;;;;;8232;4122;8935;4036;2636;2582;1355;1603;;;;1729;;2032;;1691;;;1064;1104;;;;182;;;;;1722;;1091;289;;;;102;;;3167;2241;;;;;;;;88;;;;;;;;;;;42;13;;;;;;;;;;;;;;;;;;;222;;;;4642;;;;;;;;;;;389;;431
10;Herzogtum Lauenburg – Stormarn-Süd;901;245473;246277;245473;246277;208042;196903;208042;196903;1411;1576;1041;1316;206631;195327;207001;195587;48275;60593;39862;56422;67642;51872;61517;45364;29009;33949;28850;32475;7445;20550;11090;27725;35418;14053;35556;14682;;;;;12161;5168;14255;6325;3784;3517;1774;2204;;;;2283;;2544;;2237;;2956;1364;1791;;;;829;;;;;2897;;1975;447;;;;217;;;2728;1746;;;;;;;;160;;;;;;;;;;;57;29;;;;;;;;;;;;;;;;;;;309;;;;7664;;;;;;;;;;;125;;651
11;Lübeck;901;178245;179394;178245;179394;142999;131455;142999;131455;1247;1580;829;1218;141752;129875;142170;130237;39809;44315;30026;39704;33695;28266;32037;23628;27477;27809;25444;29229;4028;9700;5547;13626;21972;8538;22254;8827;;;;;10175;4020;14921;5785;1960;1788;1006;1296;;;;1495;;1594;;1531;;2193;1147;1329;;;;663;;;;;2350;765;1529;550;;;;134;;;2664;1666;;;;;;;;196;;;;;;;;;286;189;90;71;;;;;;;;;;;;;;;;;;;198;;;;5307;;;;;;;;;;;698;;507
901;Schleswig-Holstein;999;2262811;2272717;2262811;2272717;1889968;1776145;1889968;1776145;13739;16132;9963;13391;1876229;1760013;1880005;1762754;424485;530301;352546;494055;573541;465975;518424;388399;279298;315633;279923;322763;67541;167191;88147;220039;302259;113641;306165;119566;;;;;115098;55523;146428;64238;25139;26518;13675;17043;;;;20653;;27124;;23407;2021;18090;13729;17870;;;;5305;;;;;23282;1431;16496;4157;;;;1539;58779;35027;76138;55578;;;;;;;;1763;;;;;;;;;286;265;576;322;;;;;;;;;;;;;;;;;3227;;2981;;;;64777;;;;;;;;;;1273;3294;;6057
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;913;212978;214853;212978;214853;171841;156565;171841;156565;2083;2957;1417;2402;169758;153608;170424;154163;34100;45189;24693;49271;35455;31754;32209;26383;5532;12061;9495;12419;4870;11769;5613;13242;60865;25393;54975;24185;;;;;21570;17906;19560;16604;4753;3552;1977;2476;;;2310;2645;;2417;;2207;;1910;;1252;;;;399;;1414;;1023;;;1050;381;;;;151;;;;;;;;;;;;175;;;;;;;;;661;243;183;117;;;;;;;;;;;;;;;;;1952;;706;;;;17653;;;;;;;;;;;0;;1233
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;913;202532;205042;202532;205042;162855;146362;162855;146362;1624;2316;1131;2258;161231;144046;161724;144104;34657;50736;23010;46846;32832;26208;29804;24621;5748;8163;7744;10147;4422;10322;4921;11638;59419;24760;56238;24673;;;;;18099;14949;17342;14979;6054;3531;1880;2384;;;2233;2562;;2796;;2610;;;;1019;;;;332;;;;624;;;997;254;;;;195;;;;;;;;;;;;157;;;;;;;;;;;95;65;;;;;;;;;;;;;;;;;;;385;;;;17075;;;;;;;;;;;2581;;998
14;Rostock – Landkreis Rostock II;913;221164;222705;221164;222705;179109;165329;179109;165329;1541;2319;1089;2352;177568;163010;178020;162977;30034;43932;25368;47280;34403;27672;29910;23103;9400;16556;15929;20941;5037;12242;6057;14852;47597;19882;45612;20658;;;;;45518;29715;30743;21491;3431;2131;1502;1871;;4476;2784;3935;;4744;;3488;;;;2036;;;;408;;1304;;854;;;1702;501;;;;274;;;;;;;;;;;;290;;;;;;;;;623;356;240;152;;;;;;;;;;;;;;;;;1525;;549;;;;17624;;;;;;;;;;;0;;843
15;Vorpommern-Rügen – Vorpommern-Greifswald I;913;237125;241066;237125;241066;186435;168922;186435;168922;1771;2769;1350;3143;184664;166153;185085;165779;26885;40429;19150;41583;39237;33903;32674;30910;9066;12199;11467;14654;4814;11005;6205;13776;68848;33025;65651;31303;;;;;24633;22767;23214;18857;4982;1835;2130;1975;6199;5083;3844;5169;;2805;;2904;;1782;;1576;;;;392;;1094;;797;;;1372;354;;;;201;;;;;;;;;;;;295;;;;;;;;;;226;134;123;;;;;;;;;;;;;;;;;;;471;;;;18773;;;;;;;;;;;0;;910
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;913;215874;221421;215874;221421;168212;154240;168212;154240;2136;3572;1382;3202;166076;150668;166830;151038;22871;37392;16305;40339;33049;31182;28879;28684;3782;6112;4721;6616;5883;11165;5251;11438;75078;36597;71488;35102;;;;;18009;16202;15823;15370;4768;2468;1695;2183;;4765;2511;3803;;3257;;2822;;;;1033;;;;348;;;;518;;;645;204;;;;123;;;;;;;;;;;;220;;;;;;;;;;;94;89;;;;;;;;;;;;;;;;;;;410;;;;19008;;;;;;;;;;2636;1528;;2146
