(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Aurich – Emden;903;189800;191846;189800;191846;155699;137847;155699;137847;1275;2286;1016;1653;154424;135561;154683;136194;63557;71596;44278;59038;34070;24019;36007;24066;7790;12652;12748;17668;3581;11798;5052;12113;31160;;32547;11173;;;;;8939;4861;11652;4671;;4205;1317;1769;4303;4162;2502;2220;;2156;384;1027;;;641;1130;;;;149;;;248;430;;;594;198;;;;82;;;;;;;;;;;70;86;;;;;;;;;;;34;18;;;;;;;;;;;;;;;;;;;161;;;;6448;;;;;;;;;;1024;112;;356
25;Unterems;903;237527;238506;237527;238506;198273;175826;198273;175826;1429;2079;1050;1550;196844;173747;197223;174276;44288;49440;42893;59229;79775;77143;64643;52067;13738;16434;14267;18576;4981;10763;7717;17671;40010;13584;41176;14248;;;;;10839;4358;12955;4650;3213;;1433;856;;;2075;2044;;1866;540;1619;;;863;1649;;;;211;;;271;534;;;677;334;;;;58;;;;;;;;;;;102;103;;;;;;;;;;;27;18;;;;;;;;;;;;;;;;;;;228;;;;7356;;;;;;;;;;;159;;409
26;Friesland – Wilhelmshaven – Wittmund;903;185864;189047;185864;189047;150806;134164;150806;134164;1157;1188;888;1234;149649;132976;149918;132930;52918;60392;38213;50448;40095;29286;39620;28535;8630;13504;12573;17020;3974;9502;5962;13874;29533;10227;30283;10951;;;;;8246;3460;10897;4122;2535;2611;1233;1512;;;2283;2201;1189;1275;550;1155;1508;2651;827;1539;;;;298;;;235;419;1021;;756;266;;;;62;;;;;;;;;;;114;115;;;;;;;;;;68;51;50;;;;;;;;;;;;;;;;;;;199;;;;6122;;;;;;;;;;;0;;363
27;Oldenburg – Ammerland;903;229344;228705;229344;228705;193988;173725;193988;173725;1273;1397;801;1175;192715;172328;193187;172550;66280;65757;46023;55231;46172;34294;46076;32100;28728;35119;31857;40919;5996;12859;8555;17674;25046;8572;24922;8903;;;;;15672;10183;21700;8344;2071;1416;945;1041;;;2028;2009;;1907;337;1729;;;966;1481;;;;428;;1524;269;795;2750;;1722;1006;;471;;247;;;;;;;;;;;173;176;;;;;;;;;;89;55;29;;;;;;;;;;;;;;;;;;;200;;;;7359;;;;;;;;;;;137;;438
28;Delmenhorst – Wesermarsch – Oldenburg-Land;903;225017;226827;225017;226827;185056;163753;185056;163753;1512;1781;966;1595;183544;161972;184090;162158;48627;59377;43836;55621;53762;40410;48103;36649;18021;21202;18435;23973;10208;17278;9048;18571;35331;11999;35955;12987;;;;;12645;4931;13615;5046;3925;2165;1917;1555;;;2396;2310;;1905;403;1698;;2600;862;1545;;;;590;;;289;598;;;1062;347;;;;87;;;;;;;;;;;130;134;;;;;;;;;;;30;23;;;;;;;;;;;;;;;;;1025;;354;;;;7655;;;;;;;;;;;105;;424
29;Cuxhaven – Stade II;903;187074;188602;187074;188602;155165;140739;155165;140739;1133;1067;776;1023;154032;139672;154389;139716;46915;51417;37040;48858;50395;42085;45963;36586;11029;15389;13656;17553;4167;9622;5824;14052;30471;10227;30931;11000;;;;;7968;2694;9281;3672;3087;2102;1232;1535;;2954;2095;2405;;1416;530;1418;;1766;635;1145;;;;231;;;226;433;;;967;225;;;;87;;;;;;;;;;;65;90;;;;;;;;;;;24;16;;;;;;;;;;;;;;;;;;;190;;;;5730;;;;;;;;;;;0;;410
30;Stade I – Rotenburg II;903;197893;198576;197893;198576;167138;151821;167138;151821;1218;1188;765;935;165920;150633;166373;150886;42400;47763;36580;48301;60307;52069;51058;39969;16205;19923;18204;22091;4665;12019;6693;16720;29891;10735;30502;11002;;;;;10351;4340;11789;4301;;;1111;1620;;;1765;1881;;2029;444;1485;;;823;1388;;;;373;;1755;288;691;2101;;1250;378;;;;118;;;;;;;;;;;113;119;;;;;;;;;;;28;17;;;;;;;;;;;;;;;;;;;212;;;;5513;;;;;;;;;;;0;;432
31;Mittelems;903;233785;233253;233785;233253;199529;180543;199529;180543;1215;1330;919;1104;198314;179213;198610;179439;48325;52309;42166;55461;86995;72523;78007;60733;14462;22562;17256;22515;6904;17466;8921;21101;27995;8993;28484;9235;;;;;10169;3996;12611;3969;2832;;1271;723;;;1618;1592;;1364;330;1070;;;764;1521;;;;291;;;219;423;;;731;243;;;;97;;;;;;;;;;;103;132;;;;;;;;;;;28;17;;;;;;;;;;;;;;;;;632;;287;;;;5814;;;;;;;;;;;0;;316
32;Cloppenburg – Vechta;903;225099;223948;225099;223948;187176;164507;187176;164507;1199;1321;1000;1155;185977;163186;186176;163352;32516;33825;29053;40212;85241;80134;73616;62837;11281;17366;13277;18093;6135;14397;8432;19747;38364;12674;38354;12772;;;;;9485;3542;11518;3549;2955;;1704;792;;;1533;1579;;1248;366;1088;;;638;1093;;;;268;;;256;474;;;851;323;;;;80;;;;;;;;;;;104;104;;;;;;;;;;;22;12;;;;;;;;;;;;;;;;;;;231;;;;6221;;;;;;;;;;;0;;329
33;Diepholz – Nienburg I;903;194011;194371;194011;194371;162094;146954;162094;146954;1119;1460;754;982;160975;145494;161340;145972;44317;46455;36829;48196;56921;49116;49088;36915;13005;19702;16558;21139;5318;13671;7375;17628;27351;9683;28344;10372;;;;;9614;4029;10981;3920;4449;;1947;1322;;;1807;1774;;2111;415;1722;;;695;1294;;;;395;;;234;465;;;809;228;;;;113;;;;;;;;;;;93;118;;;;;;;;;;;29;21;;;;;;;;;;;;;;;;;;;212;;;;5924;;;;;;;;;;;727;;350
34;Osterholz – Verden;903;196082;197490;196082;197490;166168;151308;166168;151308;1079;1927;748;1089;165089;149381;165420;150219;40965;48574;38015;49430;59337;50274;46328;36183;18452;21933;20452;24183;4952;13764;6943;15653;28057;;29183;11329;;;;;11072;6375;12057;5253;;4578;953;1494;;;2007;1986;;3883;438;1661;;;701;1134;;;;440;;;248;443;2254;;1177;343;;;;105;;;;;;;;;;;114;131;;;;;;;;;;;36;34;;;;;;;;;;;;;;;;;;;237;;;;6531;;;;;;;;;;;0;;417
35;Rotenburg I – Heidekreis;903;168109;168927;168109;168927;139371;125100;139371;125100;1113;934;772;896;138258;124166;138599;124204;58183;59131;34350;43196;37774;32720;38939;31119;7411;10035;12794;16857;3260;7354;5118;12526;26671;9182;27470;9945;;;;;;3010;9774;3536;2923;2734;1335;1433;;;1693;1754;;;295;1192;;;591;1057;;;;180;;;202;444;2036;;996;341;;;;107;;;;;;;;;;;88;94;;;;;;;;;;;20;14;;;;;;;;;;;;;;;;;;;169;;;;4765;;;;;;;;;;;0;;409
36;Harburg;903;202671;201740;202671;201740;175135;161635;175135;161635;1180;1122;706;893;173955;160513;174429;160742;45738;49773;35733;46765;57718;46711;53030;39850;18423;24120;22501;26777;6047;14395;8478;20426;28905;11007;29323;11671;;;;;10310;4230;12298;4682;3142;3515;1599;2404;;3561;1992;2360;;2850;491;2452;;;704;1193;;;;433;;;261;568;2625;;1461;347;;;;141;;;;;;;;;;;105;130;;;;;;;;;;;31;23;;;;;;;;;;;;;;;;;;;204;;;;6218;;;;;;;;;;1047;351;;520
37;Lüchow-Dannenberg – Lüneburg;903;182679;182673;182679;182673;155019;139183;155019;139183;943;1546;676;1077;154076;137637;154343;138106;42910;38784;32389;41262;40563;34287;37140;29032;25297;34606;25647;30585;3894;9513;5632;13241;23895;8603;25059;9145;;;;;10937;5378;15998;6328;3710;1561;1878;1161;;;1766;1681;1532;2542;566;2399;;2187;802;1489;;;;189;;;258;453;1338;;977;368;;;;147;;;;;;;;;;;88;119;;;;;;;;;;;35;25;;;;;;;;;;;;;;;;;;;146;;;;5962;;;;;;;;;;;176;;482
38;Osnabrück-Land;903;199476;199960;199476;199960;167747;151837;167747;151837;1137;1251;841;1379;166610;150586;166906;150458;40394;44709;37108;48352;60952;54535;53512;42864;16758;22011;16444;22160;4914;13006;7190;16653;29985;9418;30209;10069;;;;;9516;3596;10900;3870;2850;1262;1483;824;;;1508;1397;;2049;481;1760;;;631;1090;;;;300;;;246;403;1241;;703;207;;;;88;;;;;;;;;;;99;89;;;;;;;;;;;35;12;;;;;;;;;;;;;;;;;;;200;;;;6157;;;;;;;;;;;0;;320
39;Stadt Osnabrück;903;192267;195467;192267;195467;161535;149541;161535;149541;1016;1335;666;1031;160519;148206;160869;148510;45259;44876;39355;44919;47727;43316;42264;34462;21954;34140;25671;34546;4178;10090;6650;14627;18266;6695;18542;6903;;;;;18862;6977;17803;6224;1843;;847;543;;;1325;1284;;1918;425;1482;;;693;1341;;;;598;;;223;437;1962;;1259;543;;;;125;;;;;;;;;;;108;153;;;;;;;;;;;51;11;;;;;;;;;;;;;;;;;;;141;;;;5512;;;;;;;;;;468;194;;312
40;Nienburg II – Schaumburg;903;191029;193863;191029;193863;157513;142895;157513;142895;1089;1248;821;1103;156424;141647;156692;141792;49658;50017;38093;49553;44793;43817;42911;33968;11725;18094;15550;19968;4384;8804;5936;14213;31470;11695;32252;12434;;;;;8669;3070;10235;3842;2635;1746;1583;1335;;2800;1985;2078;;1382;317;1457;1651;;763;1211;;;;352;;;248;552;1015;;724;250;;;;72;;;;;;;;;;;131;108;;;;;;;;;;;30;16;;;;;;;;;;;;;;;;;;;189;;;;5745;;;;;;;;;;424;222;;383
41;Stadt Hannover I;903;175419;176770;175419;176770;143749;128894;143749;128894;1066;1217;796;1308;142683;127677;142953;127586;48667;44538;33839;39511;32819;27303;30596;23410;22397;27851;25753;30360;3994;9550;6177;13282;18719;7549;18413;7677;;;;;12047;4662;17020;5768;1081;847;526;691;;1528;1417;1400;;1265;249;1192;;1586;659;1161;;;;1073;727;746;326;681;1908;;1202;674;;138;;103;;;;;;;;;;;125;180;;;;;;;;;324;114;82;55;;;;;;;;;;;;;;;;;;;147;;;;6422;;;;;;;;;;;0;;368
42;Stadt Hannover II;903;189782;190336;189782;190336;159053;143712;159053;143712;987;1184;782;1262;158066;142528;158271;142450;57217;46929;34908;40116;28168;26196;29688;22537;30166;37779;33650;41976;3769;9538;6136;13288;16190;6476;16411;6753;;;;;18042;7390;26103;8831;863;875;529;698;;1937;1446;1479;;1568;220;1440;1382;2428;859;1705;;;;1070;491;979;345;769;1529;;1460;931;;;;122;;;;;;;;;;287;140;199;;;;;;;;;249;146;82;70;;;;;;;;;;;;;;;;;;;149;;;;6145;;;;;;;;;;;0;;466
43;Hannover-Land I;903;227327;231250;227327;231250;192232;174581;192232;174581;1262;1464;981;1879;190970;173117;191251;172702;52313;58297;43419;55464;66485;55185;56899;44529;18120;22490;21751;26219;5102;12557;8731;19550;33139;12942;33246;13295;;;;;10431;3981;13212;4504;2523;;1277;1077;;3080;2331;2637;;1727;418;1564;;1662;722;1355;;;;802;;988;301;692;1846;;988;328;;;;113;;;;;;;;;;;117;141;;;;;;;;;;;50;36;;;;;;;;;;;;;;;;;1011;;339;;;;7450;;;;;;;;;;;208;;396
44;Celle – Uelzen;903;212447;214482;212447;214482;174872;158022;174872;158022;1221;1388;908;1192;173651;156634;173964;156830;40066;50635;36325;48332;61127;51504;51640;40993;16099;18773;17790;21882;5920;13412;7504;17990;34968;14498;35378;14423;;;;;10278;4357;12193;4680;3442;3399;1691;1578;;;2263;2169;;;497;1592;;;803;1454;;;;225;;;282;566;1751;;965;266;;;;128;;;;;;;;;;;101;99;;;;;;;;;;;28;16;;;;;;;;;;;;;;;;;;;189;;;;6315;;;;;;;;;;;56;;437
45;Gifhorn – Peine;903;216950;219966;216950;219966;183851;166592;183851;166592;1205;1568;919;1762;182646;165024;182932;164830;61983;72113;43665;58846;50990;40279;50234;37839;11761;15762;17421;21960;4716;10738;6809;16238;38897;15346;38992;16048;;;;;9066;3619;11876;4147;2664;2084;1404;1627;;2820;2327;2256;;2016;543;1942;;;804;1429;;;;582;;;280;642;1656;;1047;415;;;;184;;;;;;;;;;;139;133;;;;;;;;;;;42;28;;;;;;;;;;;;;;;;;913;;363;;;;6986;;;;;;;;;;;247;;514
46;Hameln-Pyrmont – Holzminden;903;179071;184471;179071;184471;145350;132893;145350;132893;1213;1345;888;1284;144137;131548;144462;131609;47556;56893;35552;48438;41181;33575;39012;29809;10314;13259;13596;17274;4628;9102;5683;13624;30078;11208;30612;11590;;;;;7757;3676;9618;3734;2623;1979;1059;1122;;;1826;1845;;1856;400;1546;;;562;963;;;;416;;;218;463;;;615;211;;;;72;;;;;;;;;;;87;113;;;;;;;;;;;27;10;;;;;;;;;;;;;;;;;;;158;;;;5437;;;;;;;;;;;0;;379
47;Hannover-Land II;903;234055;238323;234055;238323;197778;181202;197778;181202;1282;1654;1064;2110;196496;179548;196714;179092;62406;73088;47504;62024;59010;45721;53988;40612;17552;22283;24000;29201;4926;11883;7843;18320;33774;13377;34337;13850;;;;;10888;4095;14606;4994;2208;1978;1383;1672;3346;2618;2427;2535;;1635;415;1650;;1701;771;1432;;;;752;933;1119;447;867;1453;;1030;421;;;;113;;;;;;;;;;;158;158;;;;;;;;;;;49;35;;;;;;;;;;;;;;;;;;;205;;;;7551;;;;;;;;;;;50;;456
48;Hildesheim;903;211156;215131;211156;215131;176681;161685;176681;161685;1304;1676;919;1907;175377;160009;175762;159778;53926;61857;42610;55439;51421;41230;47276;36504;16511;22973;20303;26565;4369;11507;6534;15397;31963;11387;31742;12161;;;;;12021;5481;14749;5308;2120;1420;991;1054;;;2245;2030;;2153;399;1628;;;810;1432;;;;416;;1506;259;793;1416;;898;309;;264;;143;;;;;;;;;;;100;99;;;;;;;;;;;33;32;;;;;;;;;;;;;;;;;;;233;;;;6580;;;;;;;;;;1630;231;;468
49;Salzgitter – Wolfenbüttel;903;195221;200922;195221;200922;159593;147218;159593;147218;1311;1794;992;1496;158282;145424;158601;145722;48410;56157;38651;53411;44809;39541;42084;33453;10911;15353;13825;18105;3934;9544;5618;13463;33787;14331;33838;14415;;;;;11137;5675;12355;4478;2294;1651;1131;1317;;;2025;2156;1405;1599;538;1362;;;731;1274;;;;743;;1220;268;598;1595;;814;260;;;;86;;;;;;;;;;;105;94;;;;;;;;;;;31;23;;;;;;;;;;;;;;;;;;;179;;;;6408;;;;;;;;;;;353;;484
50;Braunschweig;903;186358;187721;186358;187721;155402;140807;155402;140807;1130;1254;832;1513;154272;139553;154570;139294;51553;51220;34994;42377;38158;31276;34958;25929;21984;28214;27788;33401;4462;9816;6151;14046;20472;8045;20624;8238;;;;;12660;5352;17978;6355;1671;1194;799;844;;;1661;1567;;1640;375;1444;;;871;1652;;;;675;;;286;785;2447;;1729;1012;;352;;180;;;;;;;;;;;145;189;;;;;;;;;250;101;87;52;;;;;;;;;;;;;;;;;;;158;;;;5966;;;;;;;;;;615;2343;;548
51;Helmstedt – Wolfsburg;903;176276;180147;176276;180147;144199;130671;144199;130671;1262;1623;842;1467;142937;129048;143357;129204;40859;54349;33303;45414;44217;34367;39740;31827;9909;11305;12224;15481;4621;9766;5424;13073;31590;12339;31215;12241;;;;;8826;3575;9600;3496;;2113;749;1128;;;1951;1749;;;442;1520;;;694;1192;;;;381;;;290;529;1892;;938;362;;486;;204;;;;;;;;;;;98;118;;;;;;;;;219;;57;26;;;;;;;;;;;;;;;;;;;185;;;;6447;;;;;;;;;;804;748;;463
52;Goslar – Northeim – Göttingen II;903;191421;197519;191421;197519;155587;143611;155587;143611;1419;1544;970;1296;154168;142067;154617;142315;46875;52129;38453;53876;46699;47196;43210;33614;11922;14954;13464;17118;4000;8827;6116;14239;30494;11240;30930;11819;;;;;9187;3835;10716;4251;2556;2031;1170;1228;;;1945;1840;;1797;358;1505;;;720;1184;;;;325;;;246;439;1684;;884;249;;;;84;;;;;;;;;;;100;118;;;;;;;;;;;24;23;;;;;;;;;;;;;;;;;751;;246;;;;6035;;;;;;;;;;;58;;403
53;Göttingen I;903;210202;214542;210202;214542;175553;161876;175553;161876;1348;2399;918;1571;174205;159477;174635;160305;44623;51385;38346;51180;50736;42958;44788;34588;26771;37060;27390;32448;6321;15261;6911;15638;24753;;25266;9785;;;;;15935;8057;19429;8132;2217;;1131;1259;;;1865;1713;;3428;300;1570;;;755;1625;;;;379;;;260;569;2557;;1202;512;;;;136;;;;;;;;;;;127;164;;;;;;;;;292;232;84;46;;;;;;;;;;;;;;;;;;;179;;;;6602;;;;;;;;;;;1096;;561
903;Niedersachsen;999;6043412;6105381;6043412;6105381;5041312;4563142;5041312;4563142;36097;44570;25976;39921;5005215;4518572;5015336;4523221;1469704;1603785;1153523;1498500;1558417;1323070;1410418;1093579;487326;646848;576845;726613;148320;347802;205163;474638;881225;292032;894540;336434;;;;;321569;142785;405519;148657;68432;47466;37628;37214;7649;25460;58107;57931;4126;52585;12466;46369;4541;16581;22360;40158;;;;13565;2151;9837;8029;16955;40077;;30488;11897;;1711;;3484;;;;;;;;;;287;3342;3806;;;;;;;;;1334;750;1242;808;;;;;;;;;;;;;;;;;4332;;6290;;;;189376;;;;;;;;;;6012;7573;;12613
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Bremen I;904;239863;245384;239863;245384;194761;186308;194761;186308;1634;1337;980;1071;193127;184971;193781;185237;48663;55934;42457;53425;46309;39440;41189;32375;36571;39721;35812;44414;5594;13929;7420;18396;22752;9099;22793;9835;;;;;25810;15306;30832;15739;;1853;588;1473;;2440;;2145;;2237;;2008;2227;2835;1341;1977;;;;1455;;;;;3400;1182;2203;843;;322;;212;;;;;;;147;;;526;;325;;;;;;;;;282;147;82;84;;;305;181;;;;;;;;;;;;;800;;444;;;;8007;;;;161;;;;;;719;0;;350
55;Bremen II – Bremerhaven;904;210701;214365;210701;214365;155605;144123;155605;144123;1652;2037;1130;1320;153953;142086;154475;142803;46604;52498;38147;49799;32364;28552;30384;24124;16716;20769;18468;24013;4070;8469;4875;12085;29886;12466;29703;12740;;;;;18598;10617;20629;9613;1758;1799;1030;1438;;;;2372;;1770;;1453;;2629;1241;1932;;;;1559;;908;;;2336;;1633;479;;391;;195;;;;;;;156;;;490;;264;;;;;;;;;454;119;125;76;;;389;205;;;;;;;;;;;;;1167;;489;;;;7107;;;;99;;;;;;;609;;456
904;Bremen;999;450564;459749;450564;459749;350366;330431;350366;330431;3286;3374;2110;2391;347080;327057;348256;328040;95267;108432;80604;103224;78673;67992;71573;56499;53287;60490;54280;68427;9664;22398;12295;30481;52638;21565;52496;22575;;;;;44408;25923;51461;25352;1758;3652;1618;2911;;2440;;4517;;4007;;3461;2227;5464;2582;3909;;;;3014;;908;;;5736;1182;3836;1322;;713;;407;;;;;;;303;;;1016;;589;;;;;;;;;736;266;207;160;;;694;386;;;;;;;;;;;;;1967;;933;;;;15114;;;;260;;;;;;719;609;;806
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Prignitz – Ostprignitz-Ruppin – Havelland I;912;169648;172726;169648;172726;133142;122512;133142;122512;1418;1675;1032;1504;131724;120837;132110;121008;29296;39853;21026;41163;25868;23433;22935;19414;4033;5623;5789;7677;2847;7355;3356;9070;51213;23799;48294;23221;;;;;13871;10845;12913;9754;4596;4549;1915;3060;;;;2557;;1771;;1580;;2180;914;1373;;;;151;;636;;479;;;519;194;;;;111;;;;;;;;;;;;112;;;;;;;;;;;74;86;;;;;;;;;;;;;;;;;;;292;;;;14083;;;;;;;;;;;793;;1006
57;Uckermark – Barnim I;912;180128;182836;180128;182836;142115;130965;142115;130965;1532;1815;1025;1719;140583;129150;141090;129246;27211;38247;19510;40543;25664;22991;22698;19818;5459;7528;6831;9095;3322;10964;3745;10422;53912;26163;50766;25748;;;;;17198;12316;15479;11617;5177;3811;2207;3131;;;;2830;;2090;;1911;2640;2071;1302;1517;;;;241;;786;;516;;;696;196;;412;;233;;;;;;;;;;;;131;;;;;;;;;;;83;60;;;;;;;;;;;;;;;;;;;274;;;;17499;;;;;;;;;;;1771;;1237
58;Oberhavel – Havelland II;912;251733;249331;251733;249331;211139;195208;211139;195208;1823;2470;1296;2120;209316;192738;209843;193088;41825;50697;32268;55193;52000;39996;45593;33377;13889;19026;17620;20663;6039;17322;7579;19802;64557;30863;61546;30793;;;;;19832;15501;19602;12665;6805;8282;2968;5142;;;;6154;;3502;;2732;4369;4330;2316;2360;;;;472;;2267;;1076;;;1444;504;;952;;373;;;;;;;;;;;;244;;;;;;;;;;;138;77;;;;;;;;;;;;;;;;;;;406;;;;18363;;;;;;;;;;;0;;1461
59;Märkisch-Oderland – Barnim II;912;231598;230391;231598;230391;193015;177065;193015;177065;1890;2856;1186;2567;191125;174209;191829;174498;35789;43117;25136;48712;34599;40804;32399;26254;7625;11742;11133;13954;4692;12270;5551;14939;69020;31929;64891;31820;;;;;25447;21700;21637;18004;6648;;3330;6101;;;;5360;;3750;;2865;3047;4425;1842;2393;;;;378;;;;695;2066;;1466;500;;737;;345;;;;;;;;;;;;232;;;;;;;;;;;136;78;;;;;;;;;;;;;;;;;2192;;673;;;;23635;;;;;;;;;;;3735;;1868
60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;912;201899;202955;201899;202955;161157;147618;161157;147618;1806;2239;1250;2039;159351;145379;159907;145579;41062;46642;27517;48423;30938;29236;29339;22274;5956;9474;9602;12211;3717;9266;4627;11934;53611;23931;50225;23845;;;;;17349;12672;17229;12019;4803;5521;2319;3853;;;;3599;;2305;;2173;;2525;1224;1716;;;;290;;840;;626;1915;;1122;419;;401;;270;;;;;;;;;;;;184;;;;;;;;;;;102;82;;;;;;;;;;;;;;;;;;;351;;;;16250;;;;;;;;;;;2566;;1661
61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;912;234264;232797;234264;232797;200726;190547;200726;190547;1615;1702;1090;1662;199111;188845;199636;188885;43332;64271;34038;50965;40956;26050;38291;26287;31629;35452;29116;35865;7959;16872;8600;20210;37796;17302;36922;18658;;;;;27522;14701;29407;19110;3905;3439;1852;3115;;;;4562;;3019;;2977;;3367;1605;2795;;;;469;;;;705;3404;1004;2403;1022;;804;;575;;;;;;;;;;458;;368;;;;;;;;;;;123;79;;;;;;;;;;;;;;;;;1372;;621;;;;16658;;;;;;;;;;1236;2106;;1123
62;Dahme-Spreewald – Teltow-Fläming III;912;241186;239844;241186;239844;200748;184949;200748;184949;1957;2784;1398;2573;198791;182165;199350;182376;35055;47696;29308;51505;47405;36318;39081;29844;10248;13197;12431;15707;4967;14395;6970;18103;66815;31811;63993;32493;;;;;22422;16617;20400;14218;5510;7725;2852;5627;;6492;;5874;;2816;;2645;3126;;1902;1987;;;;594;;1266;;879;2151;;1413;494;;434;;317;;;;;;;;;;;;242;;;;;;;;;;;135;95;;;;;;;;;;;;;;;;;;;467;;;;20398;;;;;;;;;;1092;3398;;1752
63;Frankfurt (Oder) – Oder-Spree;912;187968;191387;187968;191387;149773;142414;149773;142414;1569;1973;1092;1824;148204;140441;148681;140590;30831;39350;20169;41414;27858;22876;24741;19890;4463;8865;7068;9992;3528;9975;4677;12439;56620;30182;52665;28338;;;;;16788;15690;15772;13436;5726;5115;2154;3749;;;;3608;;2915;;2420;;3343;1321;1989;;;;306;;;;495;;;827;373;;751;;347;;;;;;;;;;;;158;;;;;;;;;;304;151;156;;;;;;;;;;;;;;;;;;;403;;;;18733;;;;;;;;;;2390;1075;;1480
64;Cottbus – Spree-Neiße;912;165945;171267;165945;171267;132378;128323;132378;128323;1468;1960;972;1768;130910;126363;131406;126555;30552;34882;18349;36098;22712;21072;20932;17502;;4662;5275;6939;3558;11400;4249;13603;54980;32530;51313;30729;;;;;12818;11156;12144;9670;2882;3375;1615;2818;;;;2516;;2779;;2212;2257;2943;1235;1593;;;;276;;;;392;1151;;742;347;;;;123;;;;;;;;;;;;128;;;;;;;;;;;92;69;;;;;;;;;;;;;;;;;;;326;;;;15134;;;;;;;;;;;1564;;1540
65;Elbe-Elster – Oberspreewald-Lausitz;912;169170;175310;169170;175310;134488;129863;134488;129863;1410;2232;1002;2045;133078;127631;133486;127818;22087;32998;16689;36557;24331;20892;22039;19231;2704;4436;3733;5369;3822;11275;4113;11904;57194;31468;54660;31767;;;;;15935;11430;11641;9269;7005;5212;2757;3913;;243;;2763;;1819;;1547;;2245;1045;1476;;;;176;;53;;477;;;738;244;;8;;141;;;;;;;;;;;;93;;;;;;;;;;;85;60;;;;;;;;;;;;;;;;;;;334;;;;15652;;;;;;;;;;;5552;;2831
