© Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stimmabgabe der Urnen- und Briefwahl bei der Bundestagswahl 2025 nach Wahlkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlkreis-Nummer;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wählende;Ungültige - Erststimmen;Gültige - Erststimmen;SPD - Erststimmen;CDU - Erststimmen;GRÜNE - Erststimmen;FDP - Erststimmen;AfD - Erststimmen;CSU - Erststimmen;Die Linke - Erststimmen;FREIE WÄHLER - Erststimmen;Tierschutzpartei - Erststimmen;dieBasis - Erststimmen;Die PARTEI - Erststimmen;Team Todenhöfer - Erststimmen;PIRATEN - Erststimmen;Volt - Erststimmen;ÖDP - Erststimmen;SSW - Erststimmen;PdH - Erststimmen;Bündnis C - Erststimmen;BP - Erststimmen;MLPD - Erststimmen;PdF - Erststimmen;SGP - Erststimmen;BüSo - Erststimmen;BÜNDNIS DEUTSCHLAND - Erststimmen;BSW - Erststimmen;MERA25 - Erststimmen;WerteUnion - Erststimmen;Übrige - Erststimmen;Ungültige - Zweitstimmen;Gültige - Zweitstimmen;SPD - Zweitstimmen;CDU - Zweitstimmen;GRÜNE - Zweitstimmen;FDP - Zweitstimmen;AfD - Zweitstimmen;CSU - Zweitstimmen;Die Linke - Zweitstimmen;FREIE WÄHLER - Zweitstimmen;Tierschutzpartei - Zweitstimmen;dieBasis - Zweitstimmen;Die PARTEI - Zweitstimmen;Team Todenhöfer - Zweitstimmen;PIRATEN - Zweitstimmen;Volt - Zweitstimmen;ÖDP - Zweitstimmen;SSW - Zweitstimmen;Verjüngungsforschung - Zweitstimmen;PdH - Zweitstimmen;Bündnis C - Zweitstimmen;BP - Zweitstimmen;MLPD - Zweitstimmen;MENSCHLICHE WELT - Zweitstimmen;PdF - Zweitstimmen;SGP - Zweitstimmen;BüSo - Zweitstimmen;BÜNDNIS DEUTSCHLAND - Zweitstimmen;BSW - Zweitstimmen;MERA25 - Zweitstimmen;WerteUnion - Zweitstimmen
012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;MV;Urne;212978;123333;1607;121726;21920;23720;3448;3491;49252;0;14956;3116;0;0;0;0;0;0;0;0;0;0;0;459;0;0;0;1364;0;0;0;0;1189;122144;15888;21417;5858;4137;45229;0;13628;1318;1559;0;0;0;0;670;0;0;0;0;0;0;119;0;0;0;0;495;11826;0;0
013;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;MV;Urne;202532;116334;1240;115094;22373;21766;3364;3090;47963;0;12798;3740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;964;115370;14863;19570;4678;3513;45621;0;12059;1173;1510;0;0;0;0;604;0;0;0;0;0;0;66;0;0;0;0;297;11416;0;0
014;Rostock – Landkreis Rostock II;MV;Urne;221164;122763;1192;121571;19102;22207;5212;3408;38388;0;29605;2172;0;0;0;0;0;0;0;0;0;0;0;407;0;0;0;1070;0;0;0;0;933;121830;15887;19283;9322;4178;36704;0;20560;920;1784;0;0;0;0;944;0;0;0;0;0;0;173;0;0;0;0;374;11701;0;0
015;Vorpommern-Rügen – Vorpommern-Greifswald I;MV;Urne;237125;129064;1287;127777;16280;24912;4818;3270;55141;0;16428;3050;3878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1083;127981;11763;20554;6244;4310;52802;0;15356;1291;2494;0;0;0;0;736;0;0;0;0;0;0;83;0;0;0;0;334;12014;0;0
016;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ;MV;Urne;215874;121752;1661;120091;14518;21318;2266;3988;60906;0;12668;2967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1460;1214;120538;10396;18337;2866;3625;58267;0;10835;1061;1702;0;0;0;0;390;0;0;0;0;0;0;68;0;0;0;0;283;12708;0;0
017;Mecklenburgische Seenplatte II – Landkreis Rostock III;MV;Urne;205056;118404;1700;116704;20771;20552;2018;3056;53656;0;11854;2368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2429;0;0;0;0;1209;117195;11915;19015;3307;3396;52545;0;11510;1065;1373;0;0;0;0;377;0;0;0;0;0;0;62;0;0;0;0;528;12102;0;0
018;Hamburg-Mitte;HH;Urne;243955;115350;1202;114148;31673;17965;21390;3907;15288;0;20412;862;0;0;0;0;0;2363;0;0;0;0;0;288;0;0;0;0;0;0;0;0;875;114475;25396;16515;20182;4643;15102;0;22963;350;1044;0;648;0;0;1430;0;0;0;0;0;0;87;0;0;0;0;174;5941;0;0
019;Hamburg-Altona;HH;Urne;188984;91276;817;90459;21455;17324;23348;2943;8840;0;15721;570;0;0;0;0;0;0;0;0;0;0;0;258;0;0;0;0;0;0;0;0;511;90765;18587;15885;20222;4187;8588;0;17444;190;569;0;322;0;0;1007;0;0;0;0;0;0;68;0;0;0;0;91;3605;0;0
020;Hamburg-Eimsbüttel;HH;Urne;194730;93688;695;92993;24367;17849;24048;3604;9281;0;12922;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;471;93217;20757;17125;20742;4637;9081;0;14718;239;690;0;337;0;0;1181;0;0;0;0;0;0;43;0;0;0;0;124;3543;0;0
021;Hamburg-Nord;HH;Urne;222169;106471;735;105736;28403;27193;22941;3972;11082;0;9417;726;0;0;0;0;0;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;494;105977;23721;25021;21326;6250;11288;0;11906;263;793;0;338;0;0;1244;0;0;0;0;0;0;26;0;0;0;0;121;3680;0;0
