© Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stimmabgabe der Urnen- und Briefwahl bei der Bundestagswahl 2025 nach Wahlkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlkreis-Nummer;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wählende;Ungültige - Erststimmen;Gültige - Erststimmen;SPD - Erststimmen;CDU - Erststimmen;GRÜNE - Erststimmen;FDP - Erststimmen;AfD - Erststimmen;CSU - Erststimmen;Die Linke - Erststimmen;FREIE WÄHLER - Erststimmen;Tierschutzpartei - Erststimmen;dieBasis - Erststimmen;Die PARTEI - Erststimmen;Team Todenhöfer - Erststimmen;PIRATEN - Erststimmen;Volt - Erststimmen;ÖDP - Erststimmen;SSW - Erststimmen;PdH - Erststimmen;Bündnis C - Erststimmen;BP - Erststimmen;MLPD - Erststimmen;PdF - Erststimmen;SGP - Erststimmen;BüSo - Erststimmen;BÜNDNIS DEUTSCHLAND - Erststimmen;BSW - Erststimmen;MERA25 - Erststimmen;WerteUnion - Erststimmen;Übrige - Erststimmen;Ungültige - Zweitstimmen;Gültige - Zweitstimmen;SPD - Zweitstimmen;CDU - Zweitstimmen;GRÜNE - Zweitstimmen;FDP - Zweitstimmen;AfD - Zweitstimmen;CSU - Zweitstimmen;Die Linke - Zweitstimmen;FREIE WÄHLER - Zweitstimmen;Tierschutzpartei - Zweitstimmen;dieBasis - Zweitstimmen;Die PARTEI - Zweitstimmen;Team Todenhöfer - Zweitstimmen;PIRATEN - Zweitstimmen;Volt - Zweitstimmen;ÖDP - Zweitstimmen;SSW - Zweitstimmen;Verjüngungsforschung - Zweitstimmen;PdH - Zweitstimmen;Bündnis C - Zweitstimmen;BP - Zweitstimmen;MLPD - Zweitstimmen;MENSCHLICHE WELT - Zweitstimmen;PdF - Zweitstimmen;SGP - Zweitstimmen;BüSo - Zweitstimmen;BÜNDNIS DEUTSCHLAND - Zweitstimmen;BSW - Zweitstimmen;MERA25 - Zweitstimmen;WerteUnion - Zweitstimmen
044;Celle – Uelzen;NI;Urne;212447;129329;949;128380;28549;43877;10652;4368;29336;0;8022;2409;0;0;0;0;0;1167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763;128566;25694;36783;11865;5578;29634;0;9457;1161;1598;352;565;0;216;641;0;0;0;69;0;0;25;0;0;0;0;130;4798;0;0
045;Gifhorn – Peine;NI;Urne;216950;139623;960;138663;45442;37215;7992;3579;33401;0;7358;1889;0;0;0;0;0;1090;0;0;0;0;0;0;0;0;0;697;0;0;0;0;777;138846;31877;36516;12035;5149;33460;0;9563;983;1632;408;573;0;212;705;0;0;0;93;0;0;30;0;0;0;0;266;5344;0;0
046;Hameln-Pyrmont – Holzminden;NI;Urne;179071;105318;942;104376;33251;28163;6724;3391;24893;0;6176;1778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;757;104561;24364;26672;9079;4190;25312;0;7453;689;1241;290;420;0;166;410;0;0;0;65;0;0;22;0;0;0;0;128;4060;0;0
047;Hannover-Land II;NI;Urne;234055;147517;1034;146483;44894;42368;12245;3681;28845;0;8930;1562;2308;0;0;0;661;989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;894;146623;33610;38272;16960;5935;29156;0;11874;966;1743;312;542;0;322;703;0;0;0;110;0;0;41;0;0;0;0;155;5922;0;0
048;Hildesheim;NI;Urne;211156;129656;1016;128640;38956;36254;10764;3288;26808;0;9163;1474;0;0;0;0;0;954;0;0;0;0;0;0;0;0;0;0;0;0;0;979;753;128903;30204;33056;13817;4925;26622;0;11037;673;1554;283;572;0;190;625;0;0;0;69;0;0;28;0;0;0;0;180;5068;0;0
049;Salzgitter – Wolfenbüttel;NI;Urne;195221;119898;1016;118882;35206;31820;7360;2965;28891;0;8923;1632;0;1018;0;0;0;1067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;840;119058;27815;29800;9382;4228;28895;0;9696;793;1481;373;544;0;197;534;0;0;0;84;0;0;17;0;0;0;0;153;5066;0;0
050;Braunschweig;NI;Urne;186358;102817;862;101955;33954;23654;12653;2902;16769;0;9150;1004;0;0;0;0;0;1327;0;0;0;0;0;179;0;0;0;0;0;0;0;363;709;102108;22472;21544;16556;4006;16857;0;12700;473;1057;256;552;0;196;936;0;0;0;96;0;0;56;0;0;0;0;100;4251;0;0
051;Helmstedt – Wolfsburg;NI;Urne;176276;106288;965;105323;28974;31020;6373;3328;26854;0;6890;0;0;0;0;0;0;1234;0;0;0;0;0;161;0;0;0;0;0;0;0;489;691;105597;23219;27689;8054;4017;26510;0;7374;511;1325;326;511;0;215;613;0;0;0;70;0;0;44;0;0;0;0;151;4968;0;0
052;Goslar – Northeim – Göttingen II;NI;Urne;191421;113490;1035;112455;33285;32458;7983;2958;25401;0;7054;1718;0;0;0;0;0;1051;0;0;0;0;0;0;0;0;0;547;0;0;0;0;764;112726;26992;29825;9089;4545;25717;0;8204;814;1324;264;523;0;187;542;0;0;0;77;0;0;17;0;0;0;0;186;4420;0;0
053;Göttingen I;NI;Urne;210202;124598;1079;123519;31301;34798;17569;4411;20302;0;11810;1495;0;0;0;0;0;1617;0;0;0;0;0;216;0;0;0;0;0;0;0;0;767;123831;26663;30584;18062;4925;20669;0;14046;744;1245;212;532;0;183;766;0;0;0;96;0;0;52;0;0;0;0;143;4909;0;0
054;Bremen I;HB;Urne;239863;123978;1146;122832;30312;27381;21642;3516;18103;0;17541;0;0;0;1394;0;0;1875;0;0;0;0;0;174;0;0;0;528;0;0;0;366;799;123179;25938;24201;21043;4617;18076;0;20795;341;0;0;798;0;0;1207;0;0;98;0;0;0;48;206;0;0;0;286;5435;90;0
055;Bremen II – Bremerhaven;HB;Urne;210701;110552;1221;109331;32129;21501;10413;2897;24848;0;13830;1165;0;0;0;0;0;1429;0;0;0;0;0;332;0;0;0;787;0;0;0;0;959;109593;25826;20112;11546;3512;24685;0;15468;674;0;0;842;0;0;1015;0;0;97;0;0;0;101;310;0;0;0;293;5050;62;0
056;Prignitz – Ostprignitz-Ruppin – Havelland I;BB;Urne;169648;100362;1127;99235;20029;17931;2505;2141;43346;0;10177;3106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;883;99479;14431;15868;3689;2552;41167;0;9535;1263;0;0;624;0;0;311;0;0;0;0;0;0;41;0;0;0;0;228;9770;0;0
057;Uckermark – Barnim I;BB;Urne;180128;101909;1154;100755;17450;16564;3161;2332;44456;0;11897;3170;0;0;1725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;828;101081;12653;14655;3973;2692;42136;0;10708;1348;0;0;846;0;0;429;0;0;0;0;0;0;39;0;0;0;0;198;11404;0;0
058;Oberhavel – Havelland II;BB;Urne;251733;143779;1338;142441;25599;32501;8083;4087;51875;0;13658;3909;0;0;2729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;142779;19691;28033;10451;5294;49676;0;13625;1660;0;0;1438;0;0;781;0;0;0;0;0;0;81;0;0;0;0;285;11764;0;0
059;Märkisch-Oderland – Barnim II;BB;Urne;231598;131681;1349;130332;21514;21382;4347;3080;55499;0;16389;3770;0;0;1891;0;0;1152;0;0;0;0;0;0;0;0;0;1308;0;0;0;0;935;130746;14920;19651;6531;3809;52593;0;14321;1928;0;0;1137;0;0;841;0;0;0;0;0;0;83;0;0;0;0;372;14560;0;0
060;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BB;Urne;201899;115046;1356;113690;27159;20357;3573;2674;43727;0;12138;2930;0;0;0;0;0;1132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1028;114018;18193;19220;5885;3391;41296;0;12233;1403;0;0;817;0;0;658;0;0;0;0;0;0;68;0;0;0;0;241;10613;0;0
061;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BB;Urne;234264;133719;1150;132569;27654;25309;19600;5200;30184;0;18857;2163;0;0;0;0;0;1929;0;0;0;0;0;0;0;0;0;1003;0;0;0;670;829;132890;21188;23534;18046;5823;29543;0;20251;1018;0;0;960;0;0;1324;0;0;0;0;0;0;77;0;0;0;0;408;10718;0;0
062;Dahme-Spreewald – Teltow-Fläming III;BB;Urne;241186;142454;1447;141007;22878;30815;6208;3492;54840;0;15444;3421;0;0;2040;0;0;1323;0;0;0;0;0;0;0;0;0;0;0;0;0;546;1122;141332;18698;25227;7726;4981;52643;0;14481;1772;0;0;1179;0;0;834;0;0;0;0;0;0;88;0;0;0;0;350;13353;0;0
063;Frankfurt (Oder) – Oder-Spree;BB;Urne;187968;111268;1214;110054;20136;18886;2741;2700;48298;0;12168;3908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1217;908;110360;13109;16793;4340;3500;45206;0;11368;1410;0;0;874;0;0;485;0;0;0;0;0;0;103;0;0;0;0;306;12866;0;0
064;Cottbus – Spree-Neiße;BB;Urne;165945;93317;1039;92278;18496;14093;0;2540;45056;0;8332;1670;0;0;1426;0;0;665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;748;92569;11052;12913;2977;3035;42357;0;8189;949;0;0;766;0;0;422;0;0;0;0;0;0;61;0;0;0;0;234;9614;0;0
065;Elbe-Elster – Oberspreewald-Lausitz;BB;Urne;169170;100989;1087;99902;14968;16733;1741;2743;47847;0;11175;4695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;842;100147;11140;15024;2395;3084;45852;0;8545;1824;0;0;750;0;0;488;0;0;0;0;0;0;60;0;0;0;0;246;10739;0;0
066;Altmark – Jerichower Land;ST;Urne;227996;135272;1689;133583;19275;27183;3034;4493;58162;0;16530;4906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1118;134154;14102;23715;3716;4081;56060;0;14241;1926;0;0;918;0;0;587;0;0;0;0;0;0;109;0;0;0;0;353;14346;0;0
067;Börde – Salzlandkreis;ST;Urne;217023;128214;1738;126476;15141;25776;2332;3372;60732;0;13129;3437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1539;0;0;0;1018;1254;126960;11698;21952;2704;3685;58895;0;11528;1515;0;0;811;0;0;538;0;0;0;0;0;0;83;0;0;0;0;523;13028;0;0
068;Harz;ST;Urne;200219;113320;1419;111901;13676;23723;2842;2452;50049;0;13010;2899;0;0;1495;0;0;0;0;0;0;0;0;0;0;0;0;1755;0;0;0;0;1022;112298;11218;19649;3503;3012;47924;0;11372;1443;0;0;1040;0;0;411;0;0;0;0;0;0;54;0;0;0;0;549;12123;0;0
069;Magdeburg;ST;Urne;222983;117458;1671;115787;17459;24081;5630;3035;44728;0;16800;2323;0;0;0;0;0;0;0;0;0;0;0;495;0;0;0;1236;0;0;0;0;998;116460;12947;19539;6818;3503;42881;0;15475;1000;0;0;1070;0;0;1005;0;0;0;0;0;0;149;0;0;0;0;445;11628;0;0
070;Anhalt – Dessau – Wittenberg;ST;Urne;227853;130334;1493;128841;12083;34682;5022;2763;56342;0;12947;5002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1040;129294;12017;25129;4117;3823;55231;0;12205;2118;0;0;890;0;0;551;0;0;0;0;0;0;90;0;0;0;0;300;12823;0;0
071;Halle;ST;Urne;224552;121951;1554;120397;19018;25431;5615;3396;43163;0;18619;1858;0;0;1840;0;0;0;0;0;0;0;0;332;0;0;0;1125;0;0;0;0;1088;120863;13195;20461;9090;4259;40828;0;17745;1071;0;0;1187;0;0;975;0;0;0;0;0;0;136;0;0;0;0;385;11531;0;0
072;Burgenland – Saalekreis;ST;Urne;203597;116377;1276;115101;10092;24697;2255;3348;57674;0;12225;4163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;647;911;115466;9138;19078;2768;3745;55448;0;9820;1448;0;0;851;0;0;630;0;0;0;0;0;0;64;0;0;0;0;295;12181;0;0
073;Mansfeld;ST;Urne;210496;123360;1927;121433;11458;23536;2055;3901;59009;0;14212;4004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3258;1305;122055;10337;20454;2508;3860;58563;0;10632;1416;0;0;687;0;0;391;0;0;0;0;0;0;72;0;0;0;0;318;12817;0;0
074;Berlin-Mitte;BE;Urne;207445;98226;819;97407;16561;12817;21860;2570;10246;0;24782;263;998;0;838;507;0;0;0;0;0;0;0;88;0;54;0;136;5281;406;0;0;720;97506;14833;12001;18716;3694;10635;0;27470;173;900;0;549;348;0;868;0;0;0;0;0;0;67;0;126;46;18;109;6698;255;0
075;Berlin-Pankow;BE;Urne;235392;113386;1369;112017;13186;16422;26902;2983;24246;0;25927;1224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447;680;0;0;0;0;637;112749;13851;14758;19740;3792;22836;0;24751;369;1463;0;842;108;0;1042;0;0;0;0;0;0;48;0;169;26;69;170;8603;112;0
076;Berlin-Reinickendorf;BE;Urne;172428;83011;1180;81831;17297;22893;9645;2919;17630;0;10770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;677;0;0;0;0;805;82206;13616;19338;9746;3766;17108;0;10605;248;1387;0;450;251;0;513;0;0;0;0;0;0;27;0;131;18;30;162;4738;72;0
077;Berlin-Spandau – Charlottenburg Nord;BE;Urne;176536;86760;1323;85437;22491;20269;6971;2711;19972;0;10815;0;0;0;1933;0;0;0;0;0;0;0;0;275;0;0;0;0;0;0;0;0;899;85861;15111;18301;8411;3316;19502;0;11864;220;1674;0;658;261;0;505;0;0;0;0;0;0;62;0;142;24;31;119;5568;92;0
078;Berlin-Steglitz-Zehlendorf;BE;Urne;214757;101376;1037;100339;21740;28127;21527;4199;13137;0;10072;926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;611;0;0;0;0;567;100809;17441;24171;19211;6173;13222;0;12718;292;1145;0;450;195;0;865;0;0;0;0;0;0;17;0;149;19;24;152;4497;68;0
079;Berlin-Charlottenburg-Wilmersdorf;BE;Urne;195504;92234;887;91347;21547;22137;20711;4081;9881;0;11216;0;0;0;1392;0;0;0;0;0;0;0;0;0;0;0;0;382;0;0;0;0;547;91687;16211;19295;18533;6013;10099;0;14279;130;762;0;424;145;0;827;0;0;0;0;0;0;17;0;81;8;17;125;4624;97;0
080;Berlin-Tempelhof-Schöneberg;BE;Urne;229238;107463;1268;106195;21498;23913;24021;2874;14984;0;14542;0;2331;0;0;1119;0;0;0;0;0;0;0;0;0;0;136;353;0;0;0;424;858;106605;18166;20049;19062;4157;15204;0;19920;247;1364;0;580;362;0;749;0;0;0;0;0;0;41;0;127;23;46;160;6188;160;0
081;Berlin-Neukölln;BE;Urne;192506;87907;1056;86851;15850;15812;7771;1691;13869;0;27401;412;1351;0;749;1358;0;0;0;0;0;0;0;192;0;0;0;338;0;0;0;57;824;87083;13485;14320;11420;2535;13848;0;22631;217;1203;0;501;440;0;442;0;0;0;0;0;0;87;0;86;20;26;159;5471;192;0
082;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BE;Urne;218729;106658;1229;105429;13750;9876;29205;2479;10147;0;38385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;589;0;0;0;998;594;106064;14237;9131;24702;2948;9595;0;34887;140;1003;0;834;197;0;917;0;0;0;0;0;0;69;0;117;17;23;159;6866;222;0
083;Berlin-Treptow-Köpenick;BE;Urne;206841;108710;842;107868;8622;14040;4531;1893;26994;0;43118;509;1898;0;0;0;0;0;0;0;0;0;0;77;0;0;62;232;5892;0;0;0;786;107924;12477;15095;11458;3185;28151;0;23491;427;1808;0;733;132;0;793;0;0;0;0;0;0;59;0;212;15;47;180;9576;85;0
084;Berlin-Marzahn-Hellersdorf;BE;Urne;195867;98305;990;97315;7594;25047;3301;1250;34724;0;15950;1101;0;0;0;0;0;0;0;0;0;0;0;204;0;0;0;367;7777;0;0;0;822;97483;9308;14345;4988;2481;36186;0;15608;589;2039;0;619;114;0;633;0;0;0;0;0;0;75;0;237;32;47;212;9912;58;0
085;Berlin-Lichtenberg;BE;Urne;196799;98774;978;97796;7901;15823;3815;1407;26339;0;32954;471;1932;0;0;0;0;0;0;0;0;0;0;0;0;0;97;295;6762;0;0;0;862;97912;10541;12581;9211;2464;26847;0;22358;320;1851;0;694;116;0;766;0;0;0;0;0;0;55;0;214;26;50;182;9548;88;0
086;Aachen I;NW;Urne;172442;87559;2345;85214;17112;26644;22120;3857;0;0;9295;2364;0;0;0;0;0;1863;0;0;0;0;0;0;0;0;0;1959;0;0;0;0;746;86813;15224;19095;19156;4131;10769;0;12096;204;585;136;441;128;0;816;0;0;0;0;0;0;28;0;129;0;0;144;3633;74;24
087;Aachen II;NW;Urne;224835;114078;4959;109119;33136;40792;7481;5969;0;0;9750;9423;0;0;0;0;0;2568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1135;112943;22537;31980;9733;4791;26118;0;8884;717;1387;235;523;209;0;552;0;0;0;0;0;0;16;0;152;0;0;121;4876;48;64
088;Heinsberg;NW;Urne;192359;105877;1212;104665;19439;40716;7257;3068;24762;0;6557;1668;0;0;0;0;0;1198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;917;104960;17166;34215;8416;4396;25080;0;7183;713;1526;331;532;160;0;632;0;0;0;0;0;0;15;0;167;0;0;123;4197;32;76
089;Düren;NW;Urne;199301;100297;983;99314;21195;35890;6761;2776;24638;0;6413;1641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;825;99472;17359;29628;7897;4195;24887;0;7315;576;1437;222;481;132;0;490;0;0;0;0;0;0;19;0;182;0;0;147;4408;24;73
090;Rhein-Erft-Kreis I;NW;Urne;247391;128117;1229;126888;32655;40959;11904;4587;25426;0;9207;1323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;827;0;0;0;0;864;127253;24151;36649;14032;6396;25414;0;10347;520;1522;262;500;259;0;747;0;0;0;0;0;0;19;0;211;0;0;230;5866;52;76
091;Euskirchen – Rhein-Erft-Kreis II;NW;Urne;248663;125118;1472;123646;24374;43586;11042;5042;28219;0;7859;1457;0;0;0;0;0;1441;0;0;0;0;0;0;0;0;0;626;0;0;0;0;935;124183;20570;37998;12545;6077;28250;0;8831;721;1492;359;572;160;0;761;0;0;0;0;0;0;17;0;183;0;0;282;5243;47;75
092;Köln I;NW;Urne;190951;84659;975;83684;20773;18693;15224;2532;13812;0;10652;653;0;0;0;0;0;1155;0;0;0;0;0;190;0;0;0;0;0;0;0;0;630;84029;15766;16654;13655;3537;13170;0;13795;223;783;167;431;195;0;710;0;0;0;0;0;0;60;0;155;0;0;108;4515;78;27
093;Köln II;NW;Urne;243912;112339;746;111593;18155;29182;38349;4129;8394;0;10699;395;0;0;0;0;0;1865;0;0;0;0;0;0;0;0;0;332;0;0;0;93;446;111893;19575;25393;28201;6945;8810;0;16424;177;654;140;474;105;0;1003;0;0;0;0;0;0;22;0;149;0;0;115;3611;60;35
094;Köln III;NW;Urne;206670;95582;936;94646;24122;16790;23295;2635;13608;0;11876;596;0;0;0;0;0;1388;0;0;0;0;0;0;336;0;0;0;0;0;0;0;607;94975;18287;16464;19235;3278;13252;0;16806;214;789;179;469;237;0;720;0;0;0;0;0;0;46;0;161;0;0;101;4637;73;27
095;Bonn;NW;Urne;228194;121692;1243;120449;26235;37232;28116;3028;12321;0;10908;555;0;0;0;0;0;1740;0;0;0;0;0;0;314;0;0;0;0;0;0;0;797;120895;21141;28914;26076;6239;13258;0;16529;228;722;250;523;172;0;1260;0;0;0;0;0;0;40;0;157;0;0;93;5133;98;62
096;Rhein-Sieg-Kreis I;NW;Urne;238140;122096;1289;120807;26168;39668;12448;5144;26091;0;7998;1701;0;0;0;0;0;1589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;833;121263;20329;35261;13876;6175;25891;0;9412;626;1473;335;639;192;0;888;0;0;0;0;0;0;22;0;195;0;0;169;5650;36;94
097;Rhein-Sieg-Kreis II;NW;Urne;214269;110478;1011;109467;18871;44268;13565;3673;19507;0;6848;1105;0;0;0;0;0;1630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;665;109813;17381;34860;15575;6294;19535;0;8076;419;1011;265;476;138;0;913;0;0;0;0;0;0;13;0;149;0;0;157;4454;27;70
098;Oberbergischer Kreis;NW;Urne;204353;114046;1209;112837;22310;38757;8946;3714;29105;0;7337;1682;0;0;0;0;0;986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1004;113042;18808;32963;9758;5138;28678;0;7815;700;1448;415;622;145;0;591;0;0;0;0;0;0;30;0;183;0;0;206;5402;23;117
099;Rheinisch-Bergischer Kreis;NW;Urne;214554;112704;843;111861;20569;44761;14534;5400;17149;0;6576;940;0;0;0;0;0;1385;0;0;0;0;0;0;0;0;0;547;0;0;0;0;670;112034;19938;35419;15972;6250;18078;0;8228;554;1193;286;520;112;0;892;0;0;0;0;0;0;41;0;139;0;0;171;4142;30;69
100;Leverkusen – Köln IV;NW;Urne;206279;104718;1207;103511;32838;24678;10078;3262;19418;0;10629;1087;0;0;0;0;0;1303;0;0;0;0;0;218;0;0;0;0;0;0;0;0;823;103895;21039;23566;13249;4164;19359;0;13226;365;1213;241;621;237;0;742;0;0;0;0;0;0;86;0;157;0;0;112;5392;61;65
101;Wuppertal I;NW;Urne;196546;112043;1209;110834;36306;25098;8486;3257;23183;0;11205;1204;0;0;0;0;0;1291;0;0;0;0;0;0;0;0;0;0;0;0;0;804;850;111193;21418;24104;12758;4543;22839;0;14827;434;1358;266;611;224;0;769;0;0;0;0;0;0;71;0;145;0;0;117;6576;71;62
102;Solingen – Remscheid – Wuppertal II;NW;Urne;216618;121896;1187;120709;32114;36456;9533;4043;26088;0;10107;0;0;0;0;0;0;1631;0;0;0;0;0;312;0;0;0;0;0;0;0;425;925;120971;22995;31733;12483;5815;25785;0;11342;451;1535;291;760;294;0;849;0;0;0;0;0;0;85;0;185;0;0;161;6098;51;58
103;Mettmann I;NW;Urne;200860;105025;978;104047;22804;34891;11949;4777;20290;0;7845;0;0;0;0;0;0;1491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;688;104337;18658;30103;12217;6080;20043;0;8394;387;1331;231;493;214;0;734;0;0;0;0;0;0;28;0;207;0;0;128;4971;40;78
104;Mettmann II;NW;Urne;156872;84633;897;83736;20262;27386;8651;3356;17399;0;6429;0;0;0;0;0;0;0;0;0;0;0;0;253;0;0;0;0;0;0;0;0;594;84039;15567;24096;8810;4524;17111;0;6907;305;1091;154;468;158;0;478;0;0;0;0;0;0;56;0;140;0;0;91;3994;34;55
105;Düsseldorf I;NW;Urne;224445;109432;1047;108385;23436;36100;17895;5630;13280;0;9134;535;0;0;0;0;0;1653;0;0;0;0;0;177;0;0;0;545;0;0;0;0;616;108816;18867;29853;18853;8452;13407;0;11528;230;822;180;442;168;0;876;0;0;0;0;0;0;72;0;162;0;0;152;4622;68;62
106;Düsseldorf II;NW;Urne;188875;93018;973;92045;21320;24428;15042;3718;14729;0;9990;481;0;0;0;0;0;1245;0;0;0;0;0;221;0;0;0;484;0;0;387;0;622;92396;17001;21197;14252;5024;14668;0;11960;251;911;160;418;196;0;778;0;0;0;0;0;0;58;0;123;0;0;157;5030;91;121
107;Neuss I;NW;Urne;210819;108347;1143;107204;28159;35478;8268;4424;22206;0;8669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;796;107551;19236;31823;10623;5625;22140;0;9198;377;1374;336;526;248;0;559;0;0;0;0;0;0;33;0;164;0;0;121;5019;62;87
108;Mönchengladbach;NW;Urne;181209;96489;1297;95192;25101;32128;8605;3179;20599;0;0;952;0;0;2304;0;0;1358;0;0;0;0;0;0;0;0;0;714;0;0;252;0;778;95711;17482;26746;8575;4323;20416;0;9836;410;1248;223;534;145;0;520;0;0;0;0;0;0;24;0;114;0;0;204;4765;48;98
109;Krefeld I – Neuss II;NW;Urne;196586;107429;1106;106323;23724;37493;11079;5724;18607;0;7971;1725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;704;106725;19042;33427;12282;6723;18579;0;8465;521;1281;262;500;222;0;491;0;0;0;0;0;0;32;0;167;0;0;132;4487;47;65
110;Viersen;NW;Urne;223739;118235;1174;117061;23662;43907;11293;4701;22965;0;7822;1440;0;0;0;0;0;1271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;821;117414;20601;37749;12239;6539;22804;0;8309;665;1579;276;682;160;0;622;0;0;0;0;0;0;19;0;185;0;0;171;4704;31;79
111;Kleve;NW;Urne;223650;107688;965;106723;22340;40393;8786;3724;21845;0;7198;1243;0;0;0;0;0;1194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;835;106853;19093;35486;10117;4902;21792;0;7654;690;1354;249;503;84;0;604;0;0;0;0;0;0;23;0;167;0;0;139;3911;27;58
112;Wesel I;NW;Urne;204087;112404;1047;111357;30299;36318;8066;3943;23325;0;7444;1274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;688;0;0;0;0;777;111627;24669;32473;9601;4838;23338;0;8162;543;1576;211;700;161;0;418;0;0;0;0;0;0;46;0;171;0;0;221;4419;26;54
113;Krefeld II – Wesel II;NW;Urne;173314;94716;1025;93691;27864;27607;7392;3215;18845;0;6678;1061;0;0;0;0;0;1029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;698;94018;20331;24652;9447;4461;18656;0;8560;431;1244;192;529;166;0;477;0;0;0;0;0;0;47;0;132;0;0;107;4482;50;54
114;Duisburg I;NW;Urne;159961;84491;977;83514;30962;17033;5893;2111;17346;0;8343;818;0;0;0;0;0;790;0;0;0;0;0;218;0;0;0;0;0;0;0;0;674;83817;20638;17385;7910;2815;17067;0;9892;322;1269;176;500;323;0;439;0;0;0;0;0;0;90;0;158;0;0;112;4606;76;39
115;Duisburg II;NW;Urne;152391;79914;1079;78835;25432;14112;4502;1671;23447;0;8176;916;0;0;0;0;0;0;0;0;0;0;0;242;0;0;0;0;0;0;0;337;869;79045;18845;13641;4462;2066;22129;0;9861;309;1238;147;422;371;0;226;0;0;0;0;0;0;94;0;100;0;0;119;4892;79;44
116;Oberhausen – Wesel III;NW;Urne;193877;105322;1081;104241;31163;25460;7407;3011;26104;0;9251;0;0;0;0;1394;0;0;0;0;0;0;0;451;0;0;0;0;0;0;0;0;764;104558;24460;23521;8272;3571;25438;0;9781;347;1660;199;677;375;0;432;0;0;0;0;0;0;79;0;176;0;0;170;5296;51;53
117;Mülheim – Essen I;NW;Urne;177448;98356;943;97413;30951;26207;8026;3339;19973;0;7454;1463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;610;97746;22263;25305;9764;4251;19645;0;8415;449;1339;164;573;196;0;434;0;0;0;0;0;0;57;0;129;0;0;104;4556;43;59
118;Essen II;NW;Urne;152295;78684;933;77751;22589;17715;5468;1829;20728;0;8183;945;0;0;0;0;0;0;0;0;0;0;0;294;0;0;0;0;0;0;0;0;713;77971;17238;15821;6011;2308;19865;0;8936;280;1188;109;512;219;0;420;0;0;0;0;0;0;120;0;102;0;0;100;4678;37;27
