# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;Sonstige;dar. FREIE WÄHLER;dar. BSW
Bund;1;Urne;w;1956-1965;3047817;33730;697747;787780;299366;87325;682670;149285;185790;124124;64197;21094
Bund;1;Urne;w;<=1955;3408282;60569;930446;1208985;208581;105583;430601;200599;174638;88281;44045;20151
Bund;1;Brief;Summe;Summe;18497796;122588;3818566;4912682;2430313;617110;2335437;1859573;1255281;1146246;603371;116743
Bund;1;Brief;Summe;2001-2007;1129284;5438;220544;160979;206171;55018;132707;76291;188817;83318;36077;5569
Bund;1;Brief;Summe;1991-2000;2480776;11761;420754;392816;530670;114307;306425;184521;306876;212646;95073;10758
Bund;1;Brief;Summe;1981-1990;2568580;14594;401605;560330;441606;86139;410801;240418;202623;210464;105863;16334
Bund;1;Brief;Summe;1966-1980;4049176;25003;697288;1096665;512760;123626;668834;436789;204639;283572;161810;25087
Bund;1;Brief;Summe;1956-1965;3601078;26492;814843;1030054;421373;97381;461620;388842;160184;200288;117374;24953
Bund;1;Brief;Summe;<=1955;4668903;39299;1263530;1671838;317733;140639;355051;532712;192142;155958;87174;34042
Bund;1;Brief;m|d|o;Summe;8425277;55597;1598536;2286872;1008996;303767;1316379;878147;487683;489300;258037;43960
Bund;1;Brief;m|d|o;2001-2007;509944;2834;88117;86964;77043;32061;84302;42503;56465;39654;17215;2023
Bund;1;Brief;m|d|o;1991-2000;1142317;5765;176517;197347;217803;63264;179224;90051;117748;94597;42646;3890
Bund;1;Brief;m|d|o;1981-1990;1237676;6416;176171;276103;195507;45039;239051;118601;86544;94245;47250;6016
Bund;1;Brief;m|d|o;1966-1980;1889711;10433;291994;530646;218550;57288;374630;211326;78306;116538;66714;8726
