# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: SPD;Erststimme: CDU;Erststimme: GRÜNE;Erststimme: FDP;Erststimme: AfD;Erststimme: CSU;Erststimme: Die Linke;Erststimme: Sonstige;Erststimme: dar. FREIE WÄHLER;Erststimme: dar. BSW
NI;m|d|o;Summe;dar. BSW;83042;2481;17584;12654;1476;4143;14869;;19275;10560;4550;
NI;m|d|o;2001-2007;Summe;177664;986;43122;35661;15364;10704;42328;;22620;6881;2570;
NI;m|d|o;2001-2007;ungültig;574;391;42;49;;;54;;38;;;
NI;m|d|o;2001-2007;SPD;25342;11;19634;2406;700;609;281;;987;714;92;
NI;m|d|o;2001-2007;CDU;26188;132;2614;21165;364;759;612;;148;394;155;
NI;m|d|o;2001-2007;GRÜNE;17776;;5557;757;10144;87;6;;833;392;11;
NI;m|d|o;2001-2007;FDP;14093;92;1347;4864;177;6836;578;;94;106;54;
NI;m|d|o;2001-2007;AfD;43440;34;867;2994;80;750;38265;;306;144;72;
NI;m|d|o;2001-2007;CSU;;;;;;;;;;;;
NI;m|d|o;2001-2007;Die Linke;31168;33;9595;639;2949;149;265;;16837;701;229;
NI;m|d|o;2001-2007;Sonstige;19084;295;3466;2786;949;1514;2266;;3378;4429;1956;
NI;m|d|o;2001-2007;dar. FREIE WÄHLER;1517;;163;149;91;66;82;;88;878;872;
NI;m|d|o;2001-2007;dar. BSW;8298;94;1770;1471;146;884;1235;;1878;820;388;
NI;m|d|o;1991-2000;Summe;320278;1192;70834;66996;39818;13248;78216;;35218;14755;5990;
NI;m|d|o;1991-2000;ungültig;798;694;;34;;;71;;;;;
NI;m|d|o;1991-2000;SPD;39509;16;32346;2906;2036;196;293;;1000;715;267;
NI;m|d|o;1991-2000;CDU;53777;6;4486;45573;805;570;1024;;343;971;476;
NI;m|d|o;1991-2000;GRÜNE;44608;9;12505;1643;27723;228;41;;1708;752;50;
NI;m|d|o;1991-2000;FDP;17607;116;1827;5956;451;8361;491;;181;225;185;
NI;m|d|o;1991-2000;AfD;81502;44;1404;5194;216;1312;71874;;485;974;611;
NI;m|d|o;1991-2000;CSU;;;;;;;;;;;;
NI;m|d|o;1991-2000;Die Linke;45219;42;10721;1306;6528;236;203;;25384;798;158;
NI;m|d|o;1991-2000;Sonstige;37258;265;7545;4384;2059;2346;4219;;6117;10321;4243;
NI;m|d|o;1991-2000;dar. FREIE WÄHLER;3488;;305;449;29;81;164;;83;2378;2089;
NI;m|d|o;1991-2000;dar. BSW;17419;143;3542;2679;437;1504;2576;;4018;2520;869;
NI;m|d|o;1981-1990;Summe;366606;1795;73240;99744;38705;10930;106022;;23118;13050;5842;
NI;m|d|o;1981-1990;ungültig;1075;644;28;129;55;;175;;38;6;;
NI;m|d|o;1981-1990;SPD;46918;27;40237;2869;1748;373;346;;720;598;175;
NI;m|d|o;1981-1990;CDU;87399;47;6471;75716;623;1267;1810;;322;1142;753;
NI;m|d|o;1981-1990;GRÜNE;47902;89;12766;2041;30978;244;39;;918;827;237;
NI;m|d|o;1981-1990;FDP;16039;40;1899;6324;187;6652;677;;115;146;99;
NI;m|d|o;1981-1990;AfD;110976;225;1839;7851;10;764;98535;;681;1070;573;
NI;m|d|o;1981-1990;CSU;;;;;;;;;;;;
NI;m|d|o;1981-1990;Die Linke;24806;45;5141;873;3799;10;144;;14281;512;171;
NI;m|d|o;1981-1990;Sonstige;31491;678;4860;3941;1305;1619;4296;;6043;8749;3835;
NI;m|d|o;1981-1990;dar. FREIE WÄHLER;3631;55;241;746;92;143;285;;72;1997;1991;
NI;m|d|o;1981-1990;dar. BSW;14494;457;2636;2306;138;720;2642;;4133;1463;456;
NI;m|d|o;1966-1980;Summe;608419;3231;138882;202202;46539;15898;158692;;25209;17765;10039;
NI;m|d|o;1966-1980;ungültig;2193;1186;354;286;56;;270;;34;6;;
NI;m|d|o;1966-1980;SPD;105916;278;91975;6581;3656;216;602;;1838;770;245;
NI;m|d|o;1966-1980;CDU;185971;360;11509;165165;1672;2132;3225;;398;1511;831;
NI;m|d|o;1966-1980;GRÜNE;61296;139;16989;3880;37741;275;66;;897;1309;330;
NI;m|d|o;1966-1980;FDP;24375;24;1299;10011;141;11441;1104;;202;154;115;
NI;m|d|o;1966-1980;AfD;163180;235;2324;10244;120;792;147378;;553;1535;1120;
NI;m|d|o;1966-1980;CSU;;;;;;;;;;;;
NI;m|d|o;1966-1980;Die Linke;27746;70;7451;1379;2062;239;364;;15389;792;472;
NI;m|d|o;1966-1980;Sonstige;37741;939;6982;4656;1092;804;5684;;5897;11688;6925;
NI;m|d|o;1966-1980;dar. FREIE WÄHLER;5127;;404;547;185;;121;;94;3777;3610;
NI;m|d|o;1966-1980;dar. BSW;20176;564;3891;2746;99;696;4546;;4464;3171;1646;
NI;m|d|o;1956-1965;Summe;472809;2901;149283;160440;37127;10063;88571;;15648;8776;4799;
NI;m|d|o;1956-1965;ungültig;2089;1582;184;150;;;65;;58;50;35;
NI;m|d|o;1956-1965;SPD;124591;99;112787;6255;3056;237;684;;1063;410;220;
NI;m|d|o;1956-1965;CDU;152446;403;10174;136314;950;1323;1934;;597;750;548;
NI;m|d|o;1956-1965;GRÜNE;48714;;14916;2222;30430;163;;;585;398;37;
NI;m|d|o;1956-1965;FDP;16579;113;951;7225;38;7202;734;;104;212;123;
NI;m|d|o;1956-1965;AfD;88477;80;1343;3902;107;579;81781;;141;543;448;
NI;m|d|o;1956-1965;CSU;;;;;;;;;;;;
NI;m|d|o;1956-1965;Die Linke;18412;15;4919;709;1938;65;313;;10149;305;132;
NI;m|d|o;1956-1965;Sonstige;21500;607;4008;3664;608;494;3060;;2950;6109;3255;
NI;m|d|o;1956-1965;dar. FREIE WÄHLER;3213;22;268;636;;69;58;;;2161;2081;
NI;m|d|o;1956-1965;dar. BSW;13187;491;3000;2340;294;254;2644;;2520;1644;800;
NI;m|d|o;<=1955;Summe;517926;5427;187128;218859;27210;14428;48890;;12163;3821;1935;
NI;m|d|o;<=1955;ungültig;4175;2582;413;764;21;88;251;;14;43;;
NI;m|d|o;<=1955;SPD;166847;781;153700;7910;2787;302;99;;1093;175;61;
NI;m|d|o;<=1955;CDU;206511;773;10401;191245;823;1733;954;;245;337;159;
NI;m|d|o;<=1955;GRÜNE;36792;61;11864;2729;21213;166;30;;596;133;;
NI;m|d|o;<=1955;FDP;24359;194;1702;10454;65;11326;473;;10;134;112;
NI;m|d|o;<=1955;AfD;50653;161;860;3319;53;500;45461;;126;173;173;
NI;m|d|o;<=1955;CSU;;;;;;;;;;;;
NI;m|d|o;<=1955;Die Linke;15221;10;4698;784;1735;74;216;;7454;251;;
NI;m|d|o;<=1955;Sonstige;13368;864;3491;1654;513;240;1405;;2625;2576;1430;
NI;m|d|o;<=1955;dar. FREIE WÄHLER;1423;;207;158;7;6;40;;28;977;844;
NI;m|d|o;<=1955;dar. BSW;9467;731;2745;1111;362;85;1227;;2263;942;391;
NI;w;Summe;Summe;2577611;20565;807215;774515;282564;73049;358505;;187593;73605;37256;
NI;w;Summe;ungültig;15072;9414;1980;1251;397;247;1079;;234;469;156;
NI;w;Summe;SPD;644401;2049;556163;40031;27393;2532;2258;;9825;4151;1948;
NI;w;Summe;CDU;698125;1929;43793;621312;7930;8407;7263;;2838;4654;2888;
NI;w;Summe;GRÜNE;319757;238;84350;18783;204013;1295;259;;7756;3063;348;
NI;w;Summe;FDP;92110;259;7792;31674;1433;45686;2348;;1340;1580;843;
NI;w;Summe;AfD;356313;967;6912;19956;366;3718;318574;;2395;3426;1842;
NI;w;Summe;CSU;;;;;;;;;;;;
NI;w;Summe;Die Linke;242947;382;68117;8366;30907;1640;1569;;128273;3693;1000;
NI;w;Summe;Sonstige;208887;5327;38108;33143;10126;9525;25157;;34932;52570;28230;
NI;w;Summe;dar. FREIE WÄHLER;19228;62;2139;2257;214;916;1013;;622;12006;11343;
NI;w;Summe;dar. BSW;106334;3287;21745;19190;2646;4972;17800;;21946;14748;8005;
NI;w;2001-2007;Summe;170382;283;51511;20209;20433;5952;20438;;44899;6657;2751;
NI;w;2001-2007;ungültig;403;107;26;61;34;9;7;;86;73;48;
NI;w;2001-2007;SPD;23490;6;18453;1288;1352;427;157;;1351;456;141;
NI;w;2001-2007;CDU;15308;6;1258;12397;358;578;379;;235;97;68;
NI;w;2001-2007;GRÜNE;17776;;5455;492;10287;189;106;;1122;126;;
NI;w;2001-2007;FDP;5858;;940;1313;157;2800;154;;283;210;95;
NI;w;2001-2007;AfD;20404;8;474;1149;74;321;17721;;274;383;260;
NI;w;2001-2007;CSU;;;;;;;;;;;;
NI;w;2001-2007;Die Linke;68531;28;21464;1321;7224;657;102;;36681;1054;165;
NI;w;2001-2007;Sonstige;18611;127;3440;2188;947;972;1812;;4867;4257;1974;
NI;w;2001-2007;dar. FREIE WÄHLER;1213;;115;8;23;45;76;;81;864;795;
NI;w;2001-2007;dar. BSW;8647;54;1961;1235;202;308;1049;;2630;1208;758;
NI;w;1991-2000;Summe;314420;1454;85085;57656;51154;9583;48462;;46410;14617;6272;
NI;w;1991-2000;ungültig;712;548;63;21;;;9;;;70;;
NI;w;1991-2000;SPD;50709;210;40120;4050;3401;330;344;;1663;591;468;
NI;w;1991-2000;CDU;47389;103;4553;38381;740;1043;1357;;338;875;453;
NI;w;1991-2000;GRÜNE;50367;;11877;2432;33262;158;24;;1781;832;77;
NI;w;1991-2000;FDP;11870;9;1513;3507;235;5738;155;;271;442;244;
NI;w;1991-2000;AfD;47142;51;1520;2384;13;436;41766;;559;413;215;
NI;w;1991-2000;CSU;;;;;;;;;;;;
NI;w;1991-2000;Die Linke;64801;88;17436;1175;10681;201;297;;33942;981;212;
NI;w;1991-2000;Sonstige;41430;445;8001;5705;2822;1677;4511;;7857;10412;4603;
NI;w;1991-2000;dar. FREIE WÄHLER;2647;;228;356;40;79;127;;37;1779;1540;
NI;w;1991-2000;dar. BSW;20241;298;4989;3741;621;842;3069;;4383;2299;1491;
NI;w;1981-1990;Summe;366837;2024;90834;95402;48687;11066;73879;;29342;15601;7945;
NI;w;1981-1990;ungültig;1164;782;31;123;94;35;21;;12;67;;
NI;w;1981-1990;SPD;62676;;51678;4408;3865;214;271;;1523;717;266;
NI;w;1981-1990;CDU;81107;176;5502;69529;1759;1102;1370;;764;906;422;
NI;w;1981-1990;GRÜNE;57193;83;14856;3104;36313;317;53;;1648;819;180;
NI;w;1981-1990;FDP;13969;7;1633;4936;157;6096;643;;217;279;108;
NI;w;1981-1990;AfD;74653;15;1039;4894;52;943;66587;;425;699;429;
NI;w;1981-1990;CSU;;;;;;;;;;;;
NI;w;1981-1990;Die Linke;34367;15;9703;1339;4160;278;232;;17997;644;278;
NI;w;1981-1990;Sonstige;41708;947;6393;7070;2287;2081;4701;;6757;11472;6263;
NI;w;1981-1990;dar. FREIE WÄHLER;3405;;275;443;81;250;233;;72;2051;1959;
NI;w;1981-1990;dar. BSW;20726;505;3455;4248;399;896;3167;;4420;3635;1991;
NI;w;1966-1980;Summe;613297;3971;172729;185965;68364;17403;108480;;35597;20787;11678;
NI;w;1966-1980;ungültig;2962;1797;251;120;232;84;308;;82;89;39;
NI;w;1966-1980;SPD;136189;153;114658;9677;7263;501;535;;2310;1093;490;
NI;w;1966-1980;CDU;165866;106;11633;146068;1646;2117;1700;;873;1724;1131;
NI;w;1966-1980;GRÜNE;81512;;22013;5430;51741;238;61;;1401;627;91;
NI;w;1966-1980;FDP;21083;79;1189;7760;270;10464;616;;327;379;331;
NI;w;1966-1980;AfD;107821;249;1864;5899;43;1094;96679;;821;1172;618;
NI;w;1966-1980;CSU;;;;;;;;;;;;
NI;w;1966-1980;Die Linke;40263;69;10600;1991;4744;244;455;;21538;623;285;
NI;w;1966-1980;Sonstige;57600;1519;10522;9020;2425;2661;8125;;8246;15081;8693;
NI;w;1966-1980;dar. FREIE WÄHLER;5936;62;778;688;29;212;245;;14;3908;3676;
NI;w;1966-1980;dar. BSW;29881;963;5947;5188;557;1756;5888;;5520;4062;2128;
NI;w;1956-1965;Summe;492565;4231;168465;155203;53607;12775;67682;;19466;11138;5842;
NI;w;1956-1965;ungültig;2791;1814;415;164;31;44;269;;54;;;
NI;w;1956-1965;SPD;148680;434;130358;8311;6217;470;348;;1719;824;380;
NI;w;1956-1965;CDU;141264;509;8141;127416;1395;1381;1524;;321;577;469;
NI;w;1956-1965;GRÜNE;63676;21;16157;3674;41933;177;15;;1207;493;;
NI;w;1956-1965;FDP;15901;6;959;5274;184;8844;252;;202;180;52;
NI;w;1956-1965;AfD;67591;232;1283;3416;184;522;61054;;257;642;246;
NI;w;1956-1965;CSU;;;;;;;;;;;;
NI;w;1956-1965;Die Linke;20539;45;5078;1265;2588;121;296;;10922;223;29;
NI;w;1956-1965;Sonstige;32124;1169;6075;5684;1076;1215;3924;;4783;8199;4666;
NI;w;1956-1965;dar. FREIE WÄHLER;4411;;590;393;41;156;266;;351;2613;2581;
NI;w;1956-1965;dar. BSW;17360;881;3275;3222;537;913;2959;;3176;2397;941;
NI;w;<=1955;Summe;620110;8603;238591;260080;40319;16270;39565;;11878;4805;2768;
NI;w;<=1955;ungültig;7039;4365;1194;763;6;74;465;;;170;70;
NI;w;<=1955;SPD;222657;1245;200894;12297;5295;590;604;;1259;472;203;
NI;w;<=1955;CDU;247191;1030;12706;227522;2033;2187;933;;307;474;345;
NI;w;<=1955;GRÜNE;49232;134;13992;3650;30477;216;;;597;167;;
NI;w;<=1955;FDP;23430;158;1557;8884;429;11744;527;;39;91;13;
NI;w;<=1955;AfD;38702;413;731;2215;;401;34766;;58;117;74;
NI;w;<=1955;CSU;;;;;;;;;;;;
NI;w;<=1955;Die Linke;14445;138;3838;1274;1510;139;186;;7194;167;32;
NI;w;<=1955;Sonstige;17414;1120;3677;3475;569;919;2084;;2423;3147;2031;
NI;w;<=1955;dar. FREIE WÄHLER;1617;;153;369;;173;66;;65;791;791;
NI;w;<=1955;dar. BSW;9479;586;2117;1557;329;257;1668;;1817;1147;696;
HB;Summe;Summe;Summe;350366;3286;95267;78673;53287;9664;52638;;44408;13143;1758;
HB;Summe;Summe;ungültig;2110;1458;309;159;30;3;102;;31;18;15;
HB;Summe;Summe;SPD;80604;347;69096;3549;3953;330;278;;2169;881;120;
HB;Summe;Summe;CDU;71573;68;3761;63905;1014;817;971;;467;569;92;
HB;Summe;Summe;GRÜNE;54280;64;8072;1493;40849;87;14;;2518;1183;14;
HB;Summe;Summe;FDP;12295;10;924;3724;178;6870;236;;156;198;4;
HB;Summe;Summe;AfD;52496;152;636;2342;19;404;48080;;412;451;106;
HB;Summe;Summe;CSU;;;;;;;;;;;;
HB;Summe;Summe;Die Linke;51461;166;8795;985;6150;230;307;;33957;871;34;
HB;Summe;Summe;Sonstige;25547;1021;3673;2515;1096;924;2649;;4697;8971;1373;
HB;Summe;Summe;dar. FREIE WÄHLER;1618;16;76;196;51;29;46;;96;1108;785;
HB;Summe;Summe;dar. BSW;15114;933;2657;1921;368;756;2293;;3853;2333;297;
HB;Summe;2001-2007;Summe;23164;137;4859;1929;3264;941;2598;;8366;1070;125;
HB;Summe;2001-2007;ungültig;97;94;;;;3;;;;;;
HB;Summe;2001-2007;SPD;2866;2;2188;177;155;39;39;;226;40;;
HB;Summe;2001-2007;CDU;1594;;124;1164;46;105;80;;41;34;;
HB;Summe;2001-2007;GRÜNE;2935;;533;57;1875;;12;;295;162;11;
HB;Summe;2001-2007;FDP;844;2;93;109;5;578;3;;35;20;;
HB;Summe;2001-2007;AfD;2573;;46;136;;66;2263;;34;29;29;
HB;Summe;2001-2007;CSU;;;;;;;;;;;;
HB;Summe;2001-2007;Die Linke;10306;;1689;76;1107;61;62;;7179;132;17;
HB;Summe;2001-2007;Sonstige;1948;39;185;209;76;89;139;;557;653;67;
HB;Summe;2001-2007;dar. FREIE WÄHLER;89;;;17;;;;;33;39;24;
HB;Summe;2001-2007;dar. BSW;1194;39;132;159;42;79;95;;458;189;2;
HB;Summe;1991-2000;Summe;49154;215;9539;6011;9531;1802;7386;;11982;2688;135;
HB;Summe;1991-2000;ungültig;69;64;;;;;;;3;3;;
HB;Summe;1991-2000;SPD;6235;;5018;329;432;2;28;;343;84;29;
HB;Summe;1991-2000;CDU;4951;;312;4164;114;146;149;;23;43;;
HB;Summe;1991-2000;GRÜNE;9202;6;1293;183;6580;15;;;811;315;;
HB;Summe;1991-2000;FDP;1940;;114;384;37;1249;45;;78;33;;
HB;Summe;1991-2000;AfD;7236;11;105;423;;7;6597;;72;21;4;
HB;Summe;1991-2000;CSU;;;;;;;;;;;;
HB;Summe;1991-2000;Die Linke;14280;14;1932;89;2134;67;140;;9548;356;4;
HB;Summe;1991-2000;Sonstige;5240;120;764;440;235;316;427;;1104;1834;99;
HB;Summe;1991-2000;dar. FREIE WÄHLER;90;;3;4;20;;;;;64;10;
HB;Summe;1991-2000;dar. BSW;2803;106;480;359;56;261;372;;774;396;24;
HB;Summe;1981-1990;Summe;50155;439;8929;9206;9163;1296;10751;;7329;3041;479;
HB;Summe;1981-1990;ungültig;190;190;;;;;;;;;;
HB;Summe;1981-1990;SPD;6872;59;5433;290;519;39;12;;430;89;;
HB;Summe;1981-1990;CDU;8073;;305;7233;94;26;213;;125;79;27;
HB;Summe;1981-1990;GRÜNE;8919;;949;148;7145;31;;;351;296;3;
HB;Summe;1981-1990;FDP;1471;;115;316;2;896;50;;10;82;;
HB;Summe;1981-1990;AfD;10439;;69;395;;85;9683;;94;113;32;
HB;Summe;1981-1990;CSU;;;;;;;;;;;;
HB;Summe;1981-1990;Die Linke;8368;26;1210;227;1193;21;49;;5432;211;;
HB;Summe;1981-1990;Sonstige;5823;163;849;597;211;199;744;;887;2173;418;
HB;Summe;1981-1990;dar. FREIE WÄHLER;474;;18;25;32;26;28;;;345;221;
HB;Summe;1981-1990;dar. BSW;3383;135;659;504;21;130;660;;778;497;132;
HB;Summe;1966-1980;Summe;78034;740;19952;18088;12109;1726;15079;;6899;3442;523;
HB;Summe;1966-1980;ungültig;433;323;59;;30;;16;;5;;;
HB;Summe;1966-1980;SPD;16789;78;14311;748;637;101;83;;467;363;43;
HB;Summe;1966-1980;CDU;16612;;891;14650;312;96;266;;147;251;47;
HB;Summe;1966-1980;GRÜNE;13062;43;1820;575;10031;35;;;248;310;;
HB;Summe;1966-1980;FDP;2237;;189;844;23;1158;11;;;12;4;
HB;Summe;1966-1980;AfD;15250;61;217;598;19;164;13950;;94;147;12;
HB;Summe;1966-1980;CSU;;;;;;;;;;;;
HB;Summe;1966-1980;Die Linke;7819;52;1663;200;827;28;40;;4934;74;11;
HB;Summe;1966-1980;Sonstige;5833;183;802;473;232;143;713;;1003;2285;406;
HB;Summe;1966-1980;dar. FREIE WÄHLER;403;;;79;;;15;;;308;204;
HB;Summe;1966-1980;dar. BSW;3360;174;618;357;37;143;574;;863;594;95;
HB;Summe;1956-1965;Summe;67936;846;20370;16144;10749;1607;11127;;5286;1808;311;
HB;Summe;1956-1965;ungültig;426;291;27;45;;;39;;24;;;
HB;Summe;1956-1965;SPD;18071;94;15674;793;923;17;61;;316;192;47;
HB;Summe;1956-1965;CDU;14746;7;1112;13047;212;88;90;;92;99;17;
HB;Summe;1956-1965;GRÜNE;11345;2;1713;330;8846;4;;;354;98;;
HB;Summe;1956-1965;FDP;2160;8;143;563;28;1238;97;;32;51;;
HB;Summe;1956-1965;AfD;11343;6;116;589;;47;10433;;56;95;29;
HB;Summe;1956-1965;CSU;;;;;;;;;;;;
HB;Summe;1956-1965;Die Linke;5866;59;1081;279;526;49;16;;3781;76;2;
HB;Summe;1956-1965;Sonstige;3979;380;504;499;213;162;391;;632;1198;216;
HB;Summe;1956-1965;dar. FREIE WÄHLER;345;14;23;38;;3;;;63;204;184;
HB;Summe;1956-1965;dar. BSW;2569;348;422;329;163;129;388;;470;319;30;
HB;Summe;<=1955;Summe;81924;909;31618;27295;8471;2292;5698;;4546;1095;184;
HB;Summe;<=1955;ungültig;895;496;223;114;;;47;;;15;15;
HB;Summe;<=1955;SPD;29770;114;26471;1211;1286;131;56;;388;114;;
HB;Summe;<=1955;CDU;25597;62;1018;23648;237;355;174;;40;64;2;
HB;Summe;<=1955;GRÜNE;8817;13;1764;200;6373;2;2;;459;4;;
HB;Summe;<=1955;FDP;3644;;271;1509;82;1751;31;;;;;
HB;Summe;<=1955;AfD;5656;73;83;202;;35;5153;;63;47;;
HB;Summe;<=1955;CSU;;;;;;;;;;;;
HB;Summe;<=1955;Die Linke;4822;16;1220;114;362;4;;;3083;22;;
HB;Summe;<=1955;Sonstige;2724;137;569;297;130;14;235;;514;829;167;
HB;Summe;<=1955;dar. FREIE WÄHLER;217;2;32;34;;;3;;;148;142;
HB;Summe;<=1955;dar. BSW;1805;131;346;214;49;14;204;;510;338;14;
HB;m|d|o;Summe;Summe;167834;1650;43525;38796;22605;4967;30287;;18956;7048;652;
HB;m|d|o;Summe;ungültig;847;651;55;57;30;3;30;;3;18;15;
HB;m|d|o;Summe;SPD;36496;206;31703;1702;1340;135;199;;766;444;47;
HB;m|d|o;Summe;CDU;35281;49;1757;31513;453;391;528;;267;323;39;
HB;m|d|o;Summe;GRÜNE;24064;33;3690;757;17728;70;14;;1106;666;11;
HB;m|d|o;Summe;FDP;6589;10;420;2154;84;3611;132;;68;110;4;
HB;m|d|o;Summe;AfD;30510;135;395;1310;19;245;27962;;219;225;57;
HB;m|d|o;Summe;CSU;;;;;;;;;;;;
HB;m|d|o;Summe;Die Linke;21165;18;3729;246;2308;116;152;;14228;368;4;
HB;m|d|o;Summe;Sonstige;12881;548;1776;1057;643;397;1268;;2300;4893;475;
HB;m|d|o;Summe;dar. FREIE WÄHLER;743;;5;62;51;26;28;;36;535;310;
HB;m|d|o;Summe;dar. BSW;7253;542;1305;859;185;249;1074;;1843;1196;115;
HB;m|d|o;2001-2007;Summe;10919;92;2169;1289;1375;476;1843;;2950;726;44;
HB;m|d|o;2001-2007;ungültig;72;69;;;;3;;;;;;
HB;m|d|o;2001-2007;SPD;1506;2;1162;78;99;6;39;;88;32;;
HB;m|d|o;2001-2007;CDU;1021;;78;772;2;57;80;;3;30;;
HB;m|d|o;2001-2007;GRÜNE;1520;;239;55;1032;;12;;84;97;11;
HB;m|d|o;2001-2007;FDP;461;2;44;86;3;289;3;;16;20;;
HB;m|d|o;2001-2007;AfD;1838;;43;116;;50;1581;;19;29;29;
HB;m|d|o;2001-2007;CSU;;;;;;;;;;;;
HB;m|d|o;2001-2007;Die Linke;3338;;500;37;237;47;2;;2434;82;2;
HB;m|d|o;2001-2007;Sonstige;1160;19;103;144;2;24;126;;308;435;2;
HB;m|d|o;2001-2007;dar. FREIE WÄHLER;20;;;;;;;;5;15;;
HB;m|d|o;2001-2007;dar. BSW;701;19;50;144;;17;81;;263;127;;
HB;m|d|o;1991-2000;Summe;25003;147;5175;3191;4433;1181;4520;;4953;1404;24;
HB;m|d|o;1991-2000;ungültig;55;49;;;;;;;3;3;;
HB;m|d|o;1991-2000;SPD;3216;;2891;87;136;2;;;100;;;
HB;m|d|o;1991-2000;CDU;2676;;218;2222;80;88;36;;20;12;;
HB;m|d|o;1991-2000;GRÜNE;4425;6;618;135;3130;2;;;353;180;;
HB;m|d|o;1991-2000;FDP;1319;;103;219;37;872;31;;52;5;;
HB;m|d|o;1991-2000;AfD;4521;11;46;233;;5;4155;;59;12;;
HB;m|d|o;1991-2000;CSU;;;;;;;;;;;;
HB;m|d|o;1991-2000;Die Linke;5824;;854;28;875;39;100;;3829;99;;
HB;m|d|o;1991-2000;Sonstige;2968;80;446;267;174;173;198;;537;1093;24;
HB;m|d|o;1991-2000;dar. FREIE WÄHLER;71;;3;4;20;;;;;45;8;
HB;m|d|o;1991-2000;dar. BSW;1466;80;273;190;49;123;182;;310;258;2;
HB;m|d|o;1981-1990;Summe;25941;199;4420;4832;4117;736;6370;;3483;1786;183;
HB;m|d|o;1981-1990;ungültig;103;103;;;;;;;;;;
HB;m|d|o;1981-1990;SPD;3410;28;2749;169;193;24;12;;164;71;;
HB;m|d|o;1981-1990;CDU;4258;;177;3802;45;9;98;;95;31;3;
HB;m|d|o;1981-1990;GRÜNE;4425;;519;68;3394;31;;;225;188;;
HB;m|d|o;1981-1990;FDP;841;;71;237;;467;20;;;46;;
HB;m|d|o;1981-1990;AfD;6399;;47;268;;85;5910;;71;19;;
HB;m|d|o;1981-1990;CSU;;;;;;;;;;;;
HB;m|d|o;1981-1990;Die Linke;3482;2;470;18;385;;17;;2503;88;;
HB;m|d|o;1981-1990;Sonstige;3023;65;387;270;100;121;312;;424;1343;180;
HB;m|d|o;1981-1990;dar. FREIE WÄHLER;318;;2;22;32;26;28;;;208;114;
HB;m|d|o;1981-1990;dar. BSW;1565;65;322;224;19;58;282;;355;241;50;
HB;m|d|o;1966-1980;Summe;38524;337;9765;9192;5101;740;8808;;2825;1756;211;
HB;m|d|o;1966-1980;ungültig;195;132;34;;30;;;;;;;
HB;m|d|o;1966-1980;SPD;8214;29;7070;431;260;41;83;;132;168;;
HB;m|d|o;1966-1980;CDU;8425;;418;7437;156;62;147;;93;112;31;
HB;m|d|o;1966-1980;GRÜNE;5566;19;912;247;4101;33;;;108;146;;
HB;m|d|o;1966-1980;FDP;1106;;73;486;;536;4;;;7;4;
HB;m|d|o;1966-1980;AfD;8957;59;142;352;19;65;8171;;36;113;12;
HB;m|d|o;1966-1980;CSU;;;;;;;;;;;;
HB;m|d|o;1966-1980;Die Linke;3342;;748;69;379;;32;;2060;54;;
HB;m|d|o;1966-1980;Sonstige;2720;99;368;170;157;3;372;;396;1155;164;
HB;m|d|o;1966-1980;dar. FREIE WÄHLER;203;;;36;;;;;;167;112;
HB;m|d|o;1966-1980;dar. BSW;1438;93;262;101;2;3;272;;378;327;34;
HB;m|d|o;1956-1965;Summe;32665;396;9317;8229;4542;633;6241;;2309;998;155;
HB;m|d|o;1956-1965;ungültig;191;125;15;42;;;8;;;;;
HB;m|d|o;1956-1965;SPD;8262;60;7064;458;379;;32;;129;140;47;
HB;m|d|o;1956-1965;CDU;7524;2;479;6764;123;2;56;;19;79;6;
HB;m|d|o;1956-1965;GRÜNE;4913;;808;189;3700;4;;;162;50;;
HB;m|d|o;1956-1965;FDP;925;8;42;297;4;493;47;;;32;;
HB;m|d|o;1956-1965;AfD;6319;4;39;277;;32;5924;;3;40;15;
HB;m|d|o;1956-1965;CSU;;;;;;;;;;;;
HB;m|d|o;1956-1965;Die Linke;2616;2;586;66;221;30;2;;1673;35;2;
