# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;Sonstige;dar. FREIE WÄHLER;dar. BSW
SH;1;Summe;1966-1980;468621;2836;89359;142742;68664;14576;94366;;23432;32645;8614;
SH;1;Summe;1956-1965;365649;2726;94323;119056;54982;9999;50961;;13425;20178;4323;
SH;1;Summe;<=1955;439804;5028;133944;191246;43458;14612;30314;;8206;12995;1642;
SH;1;m|d|o;Summe;912681;6018;186540;285774;115964;34936;180855;;48834;53761;12465;
SH;1;m|d|o;2001-2007;60122;358;10899;11210;7729;4182;13444;;7941;4359;792;
SH;1;m|d|o;1991-2000;116600;290;18204;20341;20896;6803;27748;;12136;10182;2335;
SH;1;m|d|o;1981-1990;131388;944;18708;31848;20686;5711;36787;;8228;8477;2449;
SH;1;m|d|o;1966-1980;229379;1175;38834;72809;28414;6474;56435;;9803;15434;4057;
SH;1;m|d|o;1956-1965;177797;903;42088;62149;21627;4890;30184;;6580;9375;2188;
SH;1;m|d|o;<=1955;197395;2348;57808;87416;16611;6876;16256;;4145;5934;644;
SH;1;w;Summe;977287;7721;237945;287767;163334;32605;121404;;66264;60246;12674;
SH;1;w;2001-2007;60582;435;13217;6366;12232;2115;6076;;14661;5481;597;
SH;1;w;1991-2000;113247;389;21358;18954;27216;4653;16672;;15932;8073;1590;
SH;1;w;1981-1990;133954;733;24474;31778;23435;4890;25890;;11136;11618;2797;
SH;1;w;1966-1980;239242;1661;50526;69933;40250;8102;37931;;13628;17211;4557;
SH;1;w;1956-1965;187852;1823;52235;56907;33355;5109;20777;;6845;10803;2136;
SH;1;w;<=1955;242410;2680;76136;103830;26847;7737;14058;;4061;7061;998;
SH;2;Summe;Summe;1889968;9963;352546;518424;279923;88147;306165;;146428;188372;13675;64777
SH;2;Summe;2001-2007;120704;403;13904;13134;16130;7296;20695;;33894;15249;1129;4852
SH;2;Summe;1991-2000;229847;482;26796;31797;43209;13556;45081;;38467;30460;2207;11366
SH;2;Summe;1981-1990;265343;742;31363;54410;44571;12114;64609;;22767;34766;3055;13144
SH;2;Summe;1966-1980;468621;2276;72799;128715;74157;18688;94086;;26267;51633;4467;18210
SH;2;Summe;1956-1965;365649;1913;84338;111156;56110;12840;51428;;14266;33598;2119;11063
SH;2;Summe;<=1955;439804;4148;123346;179212;45746;23654;30266;;10767;22666;700;6141
SH;2;m|d|o;Summe;912681;4056;154755;257043;118537;48674;186368;;60286;82961;6073;27983
SH;2;m|d|o;2001-2007;60122;161;6561;8192;6965;5121;14995;;11241;6885;380;1660
SH;2;m|d|o;1991-2000;116600;301;12908;16119;19065;8349;28660;;16043;15155;1258;5716
SH;2;m|d|o;1981-1990;131388;335;13304;28008;20147;6981;38725;;9522;14366;1251;4980
SH;2;m|d|o;1966-1980;229379;992;31272;65842;31390;9121;57149;;11164;22448;2102;7477
SH;2;m|d|o;1956-1965;177797;585;37183;57805;23155;6827;30553;;6799;14889;870;5450
SH;2;m|d|o;<=1955;197395;1681;53527;81076;17816;12274;16285;;5517;9218;212;2700
SH;2;w;Summe;977287;5907;197791;261381;161386;39473;119797;;86142;105411;7602;36794
SH;2;w;2001-2007;60582;242;7343;4942;9164;2175;5700;;22653;8363;749;3192
SH;2;w;1991-2000;113247;180;13888;15677;24144;5207;16421;;22424;15305;948;5650
SH;2;w;1981-1990;133954;407;18059;26402;24425;5132;25884;;13245;20400;1804;8164
SH;2;w;1966-1980;239242;1283;41526;62873;42767;9566;36938;;15103;29186;2365;10734
SH;2;w;1956-1965;187852;1327;47156;53351;32955;6012;20875;;7466;18710;1248;5613
SH;2;w;<=1955;242410;2467;69819;98136;27930;11380;13980;;5250;13448;488;3441
HH;1;Summe;Summe;1050805;8507;292325;232067;214621;35299;114714;;129995;23277;9714;
HH;1;Summe;2001-2007;68727;511;16118;7911;13373;3384;5394;;20295;1741;442;
HH;1;Summe;1991-2000;179824;770;37646;21748;51417;8589;14673;;39013;5968;2109;
HH;1;Summe;1981-1990;185884;839;40073;33181;50470;6378;22390;;26228;6325;2495;
HH;1;Summe;1966-1980;255215;2249;64663;61221;55689;6906;35636;;23319;5533;2514;
HH;1;Summe;1956-1965;165097;1405;55733;40954;26764;3508;22100;;12217;2416;1348;
HH;1;Summe;<=1955;196058;2734;78091;67053;16909;6534;14521;;8923;1295;805;
HH;1;m|d|o;Summe;493332;3913;128599;117158;92666;19209;66195;;55454;10136;3929;
HH;1;m|d|o;2001-2007;32312;252;7389;4516;5715;2263;3935;;7423;819;210;
HH;1;m|d|o;1991-2000;83846;505;18119;12269;20465;5099;9093;;15801;2495;871;
