# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;
# ;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m;w
HB;2;Zweitstimmenseite mehrere Kreuze;222;67;155
HB;2;Sonstige Ursachen;186;64;122
NW;Summe;Ungültige Erststimmen;92465;42443;50022
NW;Summe;Ungültige Zweitstimmen;72954;32999;39955
NW;Beide;Summe;51397;23332;28064
NW;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;19196;8109;11087
NW;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;6472;2675;3797
NW;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;4642;2230;2412
NW;Beide;Beide Seiten mehrere Kreuze;14265;7220;7045
NW;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;859;450;408
NW;Beide;Beide Seiten sonstige Ursachen;5963;2648;3314
NW;1;Summe;41068;19110;21958
NW;1;Erststimmenseite leer oder durchgestrichen;35208;16473;18735
NW;1;Erststimmenseite mehrere Kreuze;4689;2209;2480
NW;1;Sonstige Ursachen;1171;428;743
NW;2;Summe;21557;9666;11891
NW;2;Zweitstimmenseite leer oder durchgestrichen;16717;7059;9658
NW;2;Zweitstimmenseite mehrere Kreuze;4225;2233;1993
NW;2;Sonstige Ursachen;615;375;241
HE;Summe;Ungültige Erststimmen;44706;20929;23777
HE;Summe;Ungültige Zweitstimmen;39829;16947;22882
HE;Beide;Summe;26401;11516;14885
HE;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;15649;6678;8971
HE;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1559;598;961
HE;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1747;806;941
HE;Beide;Beide Seiten mehrere Kreuze;5653;2738;2915
HE;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;257;84;172
HE;Beide;Beide Seiten sonstige Ursachen;1536;612;924
HE;1;Summe;18305;9413;8892
HE;1;Erststimmenseite leer oder durchgestrichen;17231;8979;8252
HE;1;Erststimmenseite mehrere Kreuze;1032;392;640
HE;1;Sonstige Ursachen;42;42;0
HE;2;Summe;13428;5431;7997
HE;2;Zweitstimmenseite leer oder durchgestrichen;11444;4603;6841
