# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;dar. FREIE WÄHLER;dar. dieBasis
Bund;1;Urne;w;1952 - 1961;2081177;33010;518199;652176;234397;132338;103242;206406;90872;110538;43021;33983
Bund;1;Urne;w;1951 und früher;2463021;66367;864094;840234;136666;129140;94761;132620;136535;62604;24825;17710
Bund;1;Brief;Summe;Summe;22146336;173778;4926181;5731162;1437863;1875275;1005511;3474602;1797008;1724956;762875;306790
Bund;1;Brief;Summe;1997 - 2003;1514600;9131;188865;268831;59521;226267;106101;403309;83264;169311;59435;18772
Bund;1;Brief;Summe;1987 - 1996;2945447;18013;388850;563313;167792;343220;200436;757653;172285;333884;127470;45616
Bund;1;Brief;Summe;1977 - 1986;2735071;18204;482044;555390;228528;259569;131990;556851;200605;301889;129210;56260
Bund;1;Brief;Summe;1962 - 1976;5581622;40666;1189452;1379378;472687;479526;208989;862919;441522;506482;239664;107033
Bund;1;Brief;Summe;1952 - 1961;4211264;34927;959582;1298159;286296;281834;180229;547311;369460;253466;127460;50877
Bund;1;Brief;Summe;1951 und früher;5158333;52837;1717387;1666091;223039;284859;177766;346559;529871;159924;79636;28231
Bund;1;Brief;m;Summe;10154412;79203;2242588;2568043;842245;945752;450913;1449103;822445;754120;340603;114800
Bund;1;Brief;m;1997 - 2003;685851;3869;90975;121166;34318;133331;37206;147849;40028;77108;26583;8276
Bund;1;Brief;m;1987 - 1996;1385113;8798;185789;264129;96217;194126;89039;307255;85426;154334;57233;17242
Bund;1;Brief;m;1977 - 1986;1310889;8017;232895;254136;136228;134936;62104;248401;95511;138661;59904;21397
Bund;1;Brief;m;1962 - 1976;2593000;18759;572849;617270;282101;227203;94643;358685;208560;212931;106092;39242
