# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien geringfügig vom amtlichen Endergebnis ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: CDU;Erststimme: SPD;Erststimme: AfD;Erststimme: FDP;Erststimme: DIE LINKE;Erststimme: GRÜNE;Erststimme: CSU;Erststimme: Sonstige;Erststimme: dar. FREIE WÄHLER;Erststimme: dar. dieBasis
HB;m;1962 - 1976;Ungültig;385;268;;57;26;;;35;;;;
HB;m;1962 - 1976;CDU;6922;82;6232;147;123;199;2;92;;45;32;2
HB;m;1962 - 1976;SPD;12513;62;629;9975;102;139;448;869;;290;45;11
HB;m;1962 - 1976;AfD;5241;34;211;173;4410;85;50;40;;239;93;70
HB;m;1962 - 1976;FDP;4038;18;1248;373;73;2069;70;49;;138;50;
HB;m;1962 - 1976;DIE LINKE;2967;37;32;666;28;42;1755;300;;105;;15
HB;m;1962 - 1976;GRÜNE;7546;5;397;1594;3;77;401;4808;;261;20;31
HB;m;1962 - 1976;CSU;;;;;;;;;;;;
HB;m;1962 - 1976;Sonstige;2753;16;155;328;71;109;188;9;;1879;500;429
HB;m;1962 - 1976;dar. FREIE WÄHLER;554;3;17;60;;37;;;;438;367;12
HB;m;1962 - 1976;dar. dieBasis;440;8;;3;10;;15;;;405;21;381
HB;m;1952 - 1961;Summe;26975;213;5688;10650;2720;1125;2011;3531;;1037;278;302
HB;m;1952 - 1961;Ungültig;128;88;2;37;;;;;;;;
HB;m;1952 - 1961;CDU;4817;36;4307;271;36;49;52;46;;20;;
HB;m;1952 - 1961;SPD;10273;45;460;8810;59;78;226;552;;43;27;
HB;m;1952 - 1961;AfD;2924;17;195;91;2500;8;48;24;;41;20;21
HB;m;1952 - 1961;FDP;1762;16;483;161;37;938;2;4;;120;56;20
HB;m;1952 - 1961;DIE LINKE;2132;4;30;260;59;20;1437;238;;84;11;
HB;m;1952 - 1961;GRÜNE;4098;2;175;1000;;28;169;2661;;61;;7
HB;m;1952 - 1961;CSU;;;;;;;;;;;;
HB;m;1952 - 1961;Sonstige;842;6;37;20;28;2;77;4;;668;164;254
HB;m;1952 - 1961;dar. FREIE WÄHLER;184;3;;9;2;;;;;171;159;12
HB;m;1952 - 1961;dar. dieBasis;240;;;;26;2;;;;212;;212
HB;m;1951 und früher;Summe;33055;409;10202;14862;1449;1579;1281;2589;;685;168;157
HB;m;1951 und früher;Ungültig;300;177;52;28;33;;;10;;;;
HB;m;1951 und früher;CDU;9109;39;8508;313;37;122;;79;;12;10;
HB;m;1951 und früher;SPD;14536;99;611;12935;62;56;143;582;;47;20;
HB;m;1951 und früher;AfD;1468;3;131;83;1177;22;12;11;;30;9;
HB;m;1951 und früher;FDP;2484;15;706;302;24;1351;;68;;17;;
HB;m;1951 und früher;DIE LINKE;1580;;25;395;35;;934;127;;64;8;22
HB;m;1951 und früher;GRÜNE;2771;37;139;748;;28;109;1708;;2;;
HB;m;1951 und früher;CSU;;;;;;;;;;;;
HB;m;1951 und früher;Sonstige;806;38;31;58;82;;82;2;;511;122;135
HB;m;1951 und früher;dar. FREIE WÄHLER;142;;9;9;;;7;;;118;98;
HB;m;1951 und früher;dar. dieBasis;175;;;10;28;;;2;;135;;135
HB;w;Summe;Summe;172775;1753;35517;57571;8287;10284;13197;35797;;10368;1949;2387
HB;w;Summe;Ungültig;1427;925;38;230;123;10;;35;;66;;35
HB;w;Summe;CDU;29988;202;26316;1605;253;848;85;448;;232;69;26
HB;w;Summe;SPD;55733;294;2539;44838;378;652;1622;4908;;502;144;63
HB;w;Summe;AfD;8398;25;468;401;6822;151;79;36;;416;119;125
HB;w;Summe;FDP;14068;103;3703;1336;271;7620;141;375;;519;196;27
HB;w;Summe;DIE LINKE;12311;19;262;1705;122;83;7918;1682;;521;7;62
HB;w;Summe;GRÜNE;39371;54;1636;6075;9;393;2718;27709;;777;23;31
HB;w;Summe;CSU;;;;;;;;;;;;
HB;w;Summe;Sonstige;11480;131;554;1382;309;528;634;605;;7336;1390;2019
HB;w;Summe;dar. FREIE WÄHLER;1576;10;46;170;28;49;10;21;;1243;1171;46
HB;w;Summe;dar. dieBasis;2052;23;21;28;53;72;54;;;1801;22;1734
HB;w;1997 - 2003;Summe;12670;54;1226;2500;471;1226;2154;3880;;1158;91;135
HB;w;1997 - 2003;Ungültig;9;9;;;;;;;;;;
HB;w;1997 - 2003;CDU;970;11;671;153;;82;12;40;;;;
HB;w;1997 - 2003;SPD;2038;17;81;1284;26;82;187;305;;57;17;
HB;w;1997 - 2003;AfD;458;;12;;395;11;22;2;;16;;14
HB;w;1997 - 2003;FDP;1511;5;271;129;28;870;47;101;;60;19;9
HB;w;1997 - 2003;DIE LINKE;1988;4;51;171;10;20;1202;396;;134;3;33
HB;w;1997 - 2003;GRÜNE;4219;7;65;463;;87;542;2817;;238;;
HB;w;1997 - 2003;CSU;;;;;;;;;;;;
HB;w;1997 - 2003;Sonstige;1477;;76;301;12;74;141;219;;653;52;80
HB;w;1997 - 2003;dar. FREIE WÄHLER;88;;;;;13;2;21;;52;52;
HB;w;1997 - 2003;dar. dieBasis;95;;;2;7;;;;;85;;77
HB;w;1987 - 1996;Summe;23073;195;2597;4493;815;2039;2792;7864;;2277;394;328
HB;w;1987 - 1996;Ungültig;157;110;;;22;;;7;;19;;
HB;w;1987 - 1996;CDU;1901;15;1478;135;35;181;3;45;;10;;
HB;w;1987 - 1996;SPD;4199;25;244;2884;45;102;183;568;;150;33;43
HB;w;1987 - 1996;AfD;920;8;57;24;663;61;;24;;83;37;16
HB;w;1987 - 1996;FDP;2237;18;405;248;7;1316;11;83;;149;59;11
HB;w;1987 - 1996;DIE LINKE;2527;3;7;194;22;37;1666;483;;115;;12
HB;w;1987 - 1996;GRÜNE;8607;;250;776;;120;816;6472;;173;;
HB;w;1987 - 1996;CSU;;;;;;;;;;;;
HB;w;1987 - 1996;Sonstige;2524;17;158;232;21;223;113;182;;1577;265;246
HB;w;1987 - 1996;dar. FREIE WÄHLER;307;5;25;41;;10;;;;226;200;7
HB;w;1987 - 1996;dar. dieBasis;202;3;;;2;9;;;;189;;187
HB;w;1977 - 1986;Summe;21501;327;3752;5412;1527;1204;1832;5673;;1773;216;544
HB;w;1977 - 1986;Ungültig;277;194;;;22;10;;26;;26;;13
HB;w;1977 - 1986;CDU;2952;35;2478;156;2;107;22;58;;92;22;26
HB;w;1977 - 1986;SPD;4849;28;268;3778;22;81;122;495;;56;1;
HB;w;1977 - 1986;AfD;1511;5;115;39;1241;20;9;3;;81;4;45
HB;w;1977 - 1986;FDP;1706;43;489;119;69;883;;32;;71;26;7
HB;w;1977 - 1986;DIE LINKE;1777;8;11;245;57;19;1162;167;;109;1;13
HB;w;1977 - 1986;GRÜNE;6484;10;298;854;;17;395;4813;;98;;31
HB;w;1977 - 1986;CSU;;;;;;;;;;;;
HB;w;1977 - 1986;Sonstige;1945;5;94;221;114;68;124;79;;1241;161;410
HB;w;1977 - 1986;dar. FREIE WÄHLER;212;;13;35;;;;;;164;155;7
HB;w;1977 - 1986;dar. dieBasis;385;;;;31;26;24;;;304;2;276
HB;w;1962 - 1976;Summe;43708;406;8856;13907;2765;2612;2924;8870;;3369;743;888
HB;w;1962 - 1976;Ungültig;174;143;11;;19;;;2;;;;
HB;w;1962 - 1976;CDU;7372;81;6517;294;83;192;2;104;;98;35;
HB;w;1962 - 1976;SPD;14135;73;692;10730;186;253;397;1714;;88;31;
HB;w;1962 - 1976;AfD;2625;8;148;110;2181;;;;;178;46;50
HB;w;1962 - 1976;FDP;3510;18;820;293;157;1971;59;57;;135;39;
HB;w;1962 - 1976;DIE LINKE;2547;;65;496;12;7;1660;179;;128;2;4
HB;w;1962 - 1976;GRÜNE;9705;15;458;1585;9;101;594;6727;;216;21;
HB;w;1962 - 1976;CSU;;;;;;;;;;;;
HB;w;1962 - 1976;Sonstige;3640;69;146;398;118;87;210;86;;2526;569;834
HB;w;1962 - 1976;dar. FREIE WÄHLER;614;3;2;39;24;2;7;;;536;502;32
HB;w;1962 - 1976;dar. dieBasis;843;8;17;;13;2;28;;;775;20;750
HB;w;1952 - 1961;Summe;28888;335;5467;11586;1628;1278;2237;5334;;1023;298;277
HB;w;1952 - 1961;Ungültig;250;212;3;35;;;;;;;;
HB;w;1952 - 1961;CDU;4861;25;4260;287;117;102;27;42;;;;
HB;w;1952 - 1961;SPD;11293;39;413;9379;33;32;505;823;;69;52;
HB;w;1952 - 1961;AfD;1730;5;67;130;1433;57;7;;;31;8;
HB;w;1952 - 1961;FDP;1785;16;379;218;2;1046;22;48;;53;33;
HB;w;1952 - 1961;DIE LINKE;2103;5;65;388;22;;1390;198;;35;;
HB;w;1952 - 1961;GRÜNE;5784;18;236;1020;;32;252;4194;;31;2;
HB;w;1952 - 1961;CSU;;;;;;;;;;;;
HB;w;1952 - 1961;Sonstige;1082;16;43;129;20;9;34;29;;803;203;277
HB;w;1952 - 1961;dar. FREIE WÄHLER;223;3;6;46;;;;;;169;166;
HB;w;1952 - 1961;dar. dieBasis;275;;;;;;;;;275;;273
HB;w;1951 und früher;Summe;42936;436;13619;19673;1081;1925;1257;4177;;768;207;215
HB;w;1951 und früher;Ungültig;559;257;24;195;61;;;;;22;;22
HB;w;1951 und früher;CDU;11933;34;10913;580;15;184;18;159;;31;12;
HB;w;1951 und früher;SPD;19219;112;841;16783;66;102;228;1003;;83;10;20
HB;w;1951 und früher;AfD;1154;;70;98;909;2;41;7;;26;24;
HB;w;1951 und früher;FDP;3318;4;1340;329;7;1534;1;53;;50;20;
HB;w;1951 und früher;DIE LINKE;1370;;63;210;;;838;258;;;;
HB;w;1951 und früher;GRÜNE;4571;4;330;1377;;35;119;2686;;20;;
HB;w;1951 und früher;CSU;;;;;;;;;;;;
HB;w;1951 und früher;Sonstige;812;24;38;101;24;68;11;10;;536;140;173
HB;w;1951 und früher;dar. FREIE WÄHLER;132;;;9;3;24;;;;96;96;
HB;w;1951 und früher;dar. dieBasis;252;13;4;26;;35;2;;;172;;171
NW;Summe;Summe;Summe;9960984;92465;2973458;3068628;705020;851337;317869;1500696;;451511;97511;109356
NW;Summe;Summe;Ungültig;72954;52290;8609;5961;1959;1280;916;666;;1273;278;531
NW;Summe;Summe;CDU;2566719;9593;2286437;97204;26630;85457;4163;40812;;16424;6105;1817
NW;Summe;Summe;SPD;2880226;9320;171682;2348191;22957;58046;31399;204776;;33855;8422;2097
NW;Summe;Summe;AfD;717510;3907;42870;32052;584573;25184;4300;2489;;22136;3979;10978
NW;Summe;Summe;FDP;1130154;3705;318548;113853;24209;599307;7524;37717;;25291;7726;2829
NW;Summe;Summe;DIE LINKE;366947;1864;8621;71079;7551;7002;192728;57729;;20372;2876;2078
NW;Summe;Summe;GRÜNE;1587067;2857;84823;300673;2210;26557;40165;1093649;;36132;2595;1299
NW;Summe;Summe;CSU;;;;;;;;;;;;
NW;Summe;Summe;Sonstige;639407;8930;51868;99615;34932;48504;36674;62858;;296027;65531;87728
NW;Summe;Summe;dar. FREIE WÄHLER;64990;595;6735;4707;2666;4101;1335;2163;;42688;38540;1131
NW;Summe;Summe;dar. dieBasis;99217;811;2896;2743;7070;3859;2511;2041;;77287;2480;71879
NW;Summe;1997 - 2003;Summe;789205;4801;128286;172485;33526;132021;52650;206543;;58892;7975;7376
NW;Summe;1997 - 2003;Ungültig;3739;2605;444;132;54;203;59;58;;185;49;47
NW;Summe;1997 - 2003;CDU;88445;169;69493;6311;1463;6840;255;2825;;1091;327;101
NW;Summe;1997 - 2003;SPD;136324;202;12076;92896;674;7534;3046;16222;;3674;630;107
NW;Summe;1997 - 2003;AfD;35483;48;2417;2175;25918;3150;314;104;;1357;131;677
NW;Summe;1997 - 2003;FDP;159048;135;29912;18071;2518;94940;1533;7336;;4602;810;290
NW;Summe;1997 - 2003;DIE LINKE;54961;166;818;7639;235;1644;28049;13393;;3017;188;48
NW;Summe;1997 - 2003;GRÜNE;208571;160;6363;28501;136;5276;11229;149491;;7415;126;146
NW;Summe;1997 - 2003;CSU;;;;;;;;;;;;
NW;Summe;1997 - 2003;Sonstige;102635;1315;6764;16760;2528;12436;8165;17115;;37551;5714;5960
NW;Summe;1997 - 2003;dar. FREIE WÄHLER;5585;83;596;518;81;738;265;287;;3017;2799;70
NW;Summe;1997 - 2003;dar. dieBasis;6265;;274;266;218;433;351;178;;4545;202;4138
NW;Summe;1987 - 1996;Summe;1287745;9364;244023;312874;93779;155515;68055;302213;;101922;17886;17170
NW;Summe;1987 - 1996;Ungültig;8155;6487;558;394;104;111;125;109;;267;54;117
NW;Summe;1987 - 1996;CDU;184537;355;151503;11865;3189;10936;522;4013;;2154;675;182
NW;Summe;1987 - 1996;SPD;249781;259;20032;182329;2441;8605;4686;25387;;6043;763;262
NW;Summe;1987 - 1996;AfD;93822;150;5551;5349;74162;4589;209;336;;3478;537;1410
NW;Summe;1987 - 1996;FDP;194619;380;42214;19593;4661;111707;1749;8596;;5720;1605;637
NW;Summe;1987 - 1996;DIE LINKE;76925;287;1160;13402;1072;1361;38766;15489;;5388;283;198
NW;Summe;1987 - 1996;GRÜNE;318537;331;10675;52791;607;5497;11353;227362;;9922;779;185
NW;Summe;1987 - 1996;CSU;;;;;;;;;;;;
NW;Summe;1987 - 1996;Sonstige;161368;1117;12330;27151;7542;12710;10646;20921;;68951;13189;14180
NW;Summe;1987 - 1996;dar. FREIE WÄHLER;11009;21;1166;881;503;868;293;540;;6734;5775;168
NW;Summe;1987 - 1996;dar. dieBasis;15056;103;672;479;1574;998;236;399;;10593;506;9483
NW;Summe;1977 - 1986;Summe;1274065;7614;323596;319466;133618;123488;46257;235147;;84878;15941;22254
NW;Summe;1977 - 1986;Ungültig;5787;4757;293;337;140;71;97;;;91;;
NW;Summe;1977 - 1986;CDU;261350;383;222122;13089;4669;11515;842;5577;;3153;1031;246
NW;Summe;1977 - 1986;SPD;277446;342;21902;210175;4004;7694;4091;24262;;4976;878;384
NW;Summe;1977 - 1986;AfD;133968;227;8108;5438;109372;5172;802;301;;4547;948;2420
NW;Summe;1977 - 1986;FDP;159764;305;44573;15113;4384;85163;940;4968;;4317;1433;550
NW;Summe;1977 - 1986;DIE LINKE;51759;95;1656;9847;1426;941;26420;7186;;4189;400;558
NW;Summe;1977 - 1986;GRÜNE;262523;152;14287;45999;268;4317;6094;184122;;7284;386;263
NW;Summe;1977 - 1986;CSU;;;;;;;;;;;;
NW;Summe;1977 - 1986;Sonstige;121469;1353;10653;19467;9355;8614;6972;8733;;56322;10865;17832
NW;Summe;1977 - 1986;dar. FREIE WÄHLER;11329;25;1139;954;526;589;325;528;;7244;6511;197
NW;Summe;1977 - 1986;dar. dieBasis;20508;38;587;610;2225;923;585;294;;15247;321;14394
NW;Summe;1962 - 1976;Summe;2733306;22295;786046;846291;241348;218787;76955;413183;;128402;32687;39342
NW;Summe;1962 - 1976;Ungültig;17455;14137;1314;562;555;115;289;193;;290;41;174
NW;Summe;1962 - 1976;CDU;673861;1266;591061;26538;8952;24654;1528;14171;;5691;2395;688
NW;Summe;1962 - 1976;SPD;819110;2162;48433;651373;9476;17685;9896;68177;;11908;3440;895
NW;Summe;1962 - 1976;AfD;244170;1236;13823;11140;200857;6599;1557;933;;8025;1573;3973
NW;Summe;1962 - 1976;FDP;297665;670;89346;29410;7422;151301;2030;10713;;6773;2630;997
NW;Summe;1962 - 1976;DIE LINKE;88894;402;2184;17538;2568;1461;48599;10991;;5151;1522;861
NW;Summe;1962 - 1976;GRÜNE;430433;724;26069;85821;630;6460;6216;296802;;7711;1028;398
NW;Summe;1962 - 1976;CSU;;;;;;;;;;;;
NW;Summe;1962 - 1976;Sonstige;161718;1697;13815;23909;10888;10513;6839;11204;;82853;20058;31355
NW;Summe;1962 - 1976;dar. FREIE WÄHLER;20597;119;2256;1256;833;1278;220;481;;14155;12601;423
NW;Summe;1962 - 1976;dar. dieBasis;36119;315;882;1011;2091;1136;567;811;;29306;942;27251
NW;Summe;1952 - 1961;Summe;1777011;18836;545285;661171;128511;107075;48397;217681;;50056;14910;14799
NW;Summe;1952 - 1961;Ungültig;14205;10185;1440;1045;544;215;253;205;;319;111;96
NW;Summe;1952 - 1961;CDU;484801;1685;435132;18596;4988;13404;441;8174;;2381;1056;247
NW;Summe;1952 - 1961;SPD;644950;2042;32472;545379;4325;7904;6470;41853;;4504;1770;394
NW;Summe;1952 - 1961;AfD;132293;973;7329;5274;110613;3422;867;460;;3356;550;1646
NW;Summe;1952 - 1961;FDP;151695;838;48251;16621;3039;76021;893;3764;;2268;784;223
NW;Summe;1952 - 1961;DIE LINKE;60361;502;1465;14275;1344;864;32992;7078;;1841;334;301
NW;Summe;1952 - 1961;GRÜNE;231028;682;14929;52910;330;2649;3797;153007;;2724;182;217
NW;Summe;1952 - 1961;CSU;;;;;;;;;;;;
NW;Summe;1952 - 1961;Sonstige;57677;1930;4267;7071;3326;2597;2684;3140;;32662;10122;11676
NW;Summe;1952 - 1961;dar. FREIE WÄHLER;9583;142;817;504;473;474;92;293;;6788;6388;171
NW;Summe;1952 - 1961;dar. dieBasis;13806;226;262;212;797;167;481;288;;11373;378;10541
NW;Summe;1951 und früher;Summe;2099652;29554;946222;756342;74239;114451;25555;125928;;27361;8113;8415
NW;Summe;1951 und früher;Ungültig;23612;14118;4561;3490;562;566;93;102;;120;22;98
NW;Summe;1951 und früher;CDU;873725;5735;817125;20805;3368;18109;575;6053;;1954;620;353
NW;Summe;1951 und früher;SPD;752615;4312;36767;666039;2036;8625;3210;28876;;2750;940;54
NW;Summe;1951 und früher;AfD;77774;1273;5642;2675;63651;2253;552;356;;1373;240;853
NW;Summe;1951 und früher;FDP;167364;1377;64252;15045;2185;80175;378;2341;;1611;464;132
NW;Summe;1951 und früher;DIE LINKE;34047;413;1338;8378;906;731;17903;3591;;787;148;113
NW;Summe;1951 und früher;GRÜNE;135975;808;12499;34651;240;2359;1476;82866;;1076;95;89
NW;Summe;1951 und früher;CSU;;;;;;;;;;;;
NW;Summe;1951 und früher;Sonstige;34540;1518;4037;5258;1292;1634;1367;1745;;17690;5583;6724
NW;Summe;1951 und früher;dar. FREIE WÄHLER;6887;205;761;594;250;154;140;34;;4749;4465;102
NW;Summe;1951 und früher;dar. dieBasis;7464;129;220;165;165;202;291;69;;6223;130;6071
NW;m;Summe;Summe;4811771;42103;1407497;1454496;435730;445398;154788;648147;;223612;48051;46455
NW;m;Summe;Ungültig;32806;23462;3854;2692;858;547;438;264;;689;175;331
NW;m;Summe;CDU;1189723;3924;1064950;41035;16342;38850;1612;15508;;7502;2947;793
NW;m;Summe;SPD;1341358;4192;71536;1111516;13276;26408;14510;82649;;17272;4228;941
NW;m;Summe;AfD;447270;2087;27004;18895;368280;14614;2720;1148;;12523;2223;6004
NW;m;Summe;FDP;617863;1860;180229;55132;14736;328931;3223;19360;;14391;4718;1161
NW;m;Summe;DIE LINKE;189678;1219;3922;38952;4583;2869;99767;27219;;11148;1006;800
NW;m;Summe;GRÜNE;708261;1374;35585;145614;1177;12620;15851;477386;;18655;1149;517
NW;m;Summe;CSU;;;;;;;;;;;;
NW;m;Summe;Sonstige;284811;3985;20417;40659;16479;20561;16667;24612;;141432;31605;35909
NW;m;Summe;dar. FREIE WÄHLER;32788;283;3364;2405;1409;2079;724;890;;21635;19420;462
NW;m;Summe;dar. dieBasis;40422;339;1120;1110;3214;1311;909;659;;31759;1155;29386
NW;m;1997 - 2003;Summe;396603;2583;66356;82936;20621;85052;20689;86623;;31743;4468;3588
NW;m;1997 - 2003;Ungültig;1955;1331;246;81;;154;;58;;86;;47
NW;m;1997 - 2003;CDU;44697;96;35288;3068;1020;3462;93;1014;;658;246;
NW;m;1997 - 2003;SPD;63104;94;4849;44497;266;3475;1124;6785;;2013;373;107
NW;m;1997 - 2003;AfD;22065;;1573;949;16381;1922;270;60;;909;131;451
NW;m;1997 - 2003;FDP;105511;135;18881;10697;1620;66173;534;4374;;3096;708;50
NW;m;1997 - 2003;DIE LINKE;22368;81;261;3523;51;514;11450;4921;;1569;58;48
NW;m;1997 - 2003;GRÜNE;87848;49;2593;12763;85;2990;3637;62346;;3384;33;56
NW;m;1997 - 2003;CSU;;;;;;;;;;;;
NW;m;1997 - 2003;Sonstige;49054;797;2665;7358;1198;6361;3581;7065;;20029;2919;2829
NW;m;1997 - 2003;dar. FREIE WÄHLER;2948;58;368;358;46;344;162;112;;1502;1406;39
NW;m;1997 - 2003;dar. dieBasis;2957;;131;161;107;186;51;46;;2275;159;2069
NW;m;1987 - 1996;Summe;649255;4363;124013;153656;58191;90538;32809;129522;;56162;8380;8156
NW;m;1987 - 1996;Ungültig;3927;2919;314;337;57;27;;109;;164;;117
NW;m;1987 - 1996;CDU;92872;92;77032;5344;1928;5713;111;1729;;923;235;77
NW;m;1987 - 1996;SPD;117949;154;8186;87212;1391;4957;2193;10243;;3614;263;104
NW;m;1987 - 1996;AfD;57699;41;3257;3416;46332;2501;60;105;;1985;258;723
NW;m;1987 - 1996;FDP;117062;184;25518;11080;3516;67975;805;4489;;3496;760;426
NW;m;1987 - 1996;DIE LINKE;40852;223;483;7655;776;677;20326;7423;;3289;94;36
NW;m;1987 - 1996;GRÜNE;140113;137;3981;26171;246;2624;4292;97034;;5627;287;176
NW;m;1987 - 1996;CSU;;;;;;;;;;;;
NW;m;1987 - 1996;Sonstige;78782;613;5242;12440;3946;6065;5022;8390;;37064;6482;6496
NW;m;1987 - 1996;dar. FREIE WÄHLER;5974;21;650;415;275;466;126;254;;3767;3128;51
NW;m;1987 - 1996;dar. dieBasis;6838;54;245;299;841;411;52;118;;4817;254;4203
NW;m;1977 - 1986;Summe;621713;3324;155806;148544;81943;63268;22473;103282;;43071;8215;10019
NW;m;1977 - 1986;Ungültig;2288;1936;177;45;;34;97;;;;;
NW;m;1977 - 1986;CDU;123894;284;106142;5506;2812;5247;314;2049;;1540;564;72
NW;m;1977 - 1986;SPD;125064;118;8114;97211;2198;3328;1523;10027;;2545;343;143
NW;m;1977 - 1986;AfD;83317;155;4938;3273;68707;2966;493;84;;2701;452;1638
NW;m;1977 - 1986;FDP;87960;206;25807;7131;2754;46339;545;2756;;2424;909;240
NW;m;1977 - 1986;DIE LINKE;27209;95;747;5132;897;257;13759;3952;;2371;215;308
NW;m;1977 - 1986;GRÜNE;117268;113;5543;22410;83;1836;2578;80947;;3759;133;44
NW;m;1977 - 1986;CSU;;;;;;;;;;;;
NW;m;1977 - 1986;Sonstige;54711;418;4340;7835;4494;3262;3164;3468;;27730;5600;7573
NW;m;1977 - 1986;dar. FREIE WÄHLER;6037;25;550;428;389;257;187;142;;4060;3578;128
NW;m;1977 - 1986;dar. dieBasis;8426;;318;164;812;304;223;;;6605;21;6337
NW;m;1962 - 1976;Summe;1346033;10333;397526;405263;152794;105737;38259;176706;;59413;15937;15875
NW;m;1962 - 1976;Ungültig;7733;6337;551;239;257;47;164;;;138;41;71
NW;m;1962 - 1976;CDU;334142;586;296528;11385;5772;11465;633;5119;;2653;1087;481
NW;m;1962 - 1976;SPD;385712;892;21547;313387;5827;7496;4622;26608;;5333;1757;304
NW;m;1962 - 1976;AfD;155311;720;8656;6610;129710;3645;1001;566;;4404;802;2020
NW;m;1962 - 1976;FDP;153911;232;51565;12938;3883;75935;806;4926;;3626;1675;347
NW;m;1962 - 1976;DIE LINKE;46284;347;1155;9311;1549;723;25590;5191;;2418;408;288
NW;m;1962 - 1976;GRÜNE;195638;367;11976;42188;429;3017;2791;130609;;4262;621;114
NW;m;1962 - 1976;CSU;;;;;;;;;;;;
NW;m;1962 - 1976;Sonstige;67302;852;5550;9205;5367;3409;2652;3688;;36578;9547;12250
NW;m;1962 - 1976;dar. FREIE WÄHLER;10126;65;1220;640;334;565;75;231;;6994;6237;160
NW;m;1962 - 1976;dar. dieBasis;14406;140;332;259;1237;376;218;264;;11580;464;10634
NW;m;1952 - 1961;Summe;868696;8663;259240;325008;78296;51498;26000;97320;;22672;7386;5908
NW;m;1952 - 1961;Ungültig;6555;4540;760;467;168;103;177;61;;279;111;96
NW;m;1952 - 1961;CDU;227267;935;204407;8242;2969;5784;253;3644;;1033;519;80
NW;m;1952 - 1961;SPD;313641;1092;14552;268538;2585;3619;3375;17492;;2387;1012;228
NW;m;1952 - 1961;AfD;81648;387;4570;3228;68954;2116;552;174;;1668;385;640
NW;m;1952 - 1961;FDP;76473;448;26373;7189;1613;37393;435;1912;;1109;421;71
NW;m;1952 - 1961;DIE LINKE;33628;246;530;8788;753;403;17959;3798;;1152;149;101
NW;m;1952 - 1961;GRÜNE;106377;385;6594;26343;204;1073;1703;68985;;1089;37;38
NW;m;1952 - 1961;CSU;;;;;;;;;;;;
NW;m;1952 - 1961;Sonstige;23107;630;1453;2212;1050;1007;1548;1254;;13954;4751;4656
NW;m;1952 - 1961;dar. FREIE WÄHLER;4598;37;368;210;149;329;92;152;;3262;3068;84
NW;m;1952 - 1961;dar. dieBasis;5462;99;36;181;162;34;258;180;;4511;257;4171
NW;m;1951 und früher;Summe;929471;12837;404555;339089;43885;49304;14556;54694;;10551;3664;2909
NW;m;1951 und früher;Ungültig;10348;6400;1807;1523;376;183;;37;;22;22;
NW;m;1951 und früher;CDU;366851;1931;345553;7490;1842;7178;208;1953;;695;297;84
NW;m;1951 und früher;SPD;335888;1842;14288;300670;1010;3533;1673;11494;;1379;479;54
NW;m;1951 und früher;AfD;47229;783;4011;1419;38195;1464;344;159;;855;195;532
NW;m;1951 und früher;FDP;76945;655;32086;6098;1349;35116;99;903;;639;245;27
NW;m;1951 und früher;DIE LINKE;19337;228;747;4543;557;294;10684;1935;;350;82;18
NW;m;1951 und früher;GRÜNE;61018;323;4897;15738;131;1080;850;37465;;534;38;89
NW;m;1951 und früher;CSU;;;;;;;;;;;;
NW;m;1951 und früher;Sonstige;11854;675;1167;1608;424;457;699;748;;6077;2305;2105
NW;m;1951 und früher;dar. FREIE WÄHLER;3105;77;208;353;217;118;82;;;2050;2003;
NW;m;1951 und früher;dar. dieBasis;2333;45;58;46;55;;107;50;;1971;;1971
NW;w;Summe;Summe;5149213;50362;1565961;1614132;269290;405939;163081;852549;;227899;49460;62901
NW;w;Summe;Ungültig;40148;28828;4755;3269;1101;733;477;402;;583;103;200
NW;w;Summe;CDU;1376996;5668;1221487;56169;10288;46608;2551;25304;;8921;3157;1024
NW;w;Summe;SPD;1538868;5128;100146;1236675;9681;31639;16889;122127;;16584;4195;1156
NW;w;Summe;AfD;270240;1820;15866;13156;216293;10570;1580;1341;;9613;1756;4974
