# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# Für das Bundesgebiet wurde eine separate Hochrechnung durchgeführt. Die Kumulation einzelner Merkmalsgruppen in den Länderergebnissen weichen daher geringfügig zu den entsprechenden Bundesergebnissen ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: CDU;Erststimme: SPD;Erststimme: DIE LINKE;Erststimme: GRÜNE;Erststimme: CSU;Erststimme: FDP;Erststimme: AfD;Erststimme: Sonstige;Erststimme: dar. NPD;Erststimme: dar. FREIE WÄHLER
NW;Summe;1958 - 1972;Summe;2978241;31918;1017210;934649;201574;231027;;230600;295882;35380;;9589
NW;Summe;1958 - 1972;Ungültig;19453;14465;1627;1543;395;180;;233;716;295;;0
NW;Summe;1958 - 1972;CDU;882581;2303;747641;57220;5548;28471;;34328;5217;1853;;706
NW;Summe;1958 - 1972;SPD;767743;1932;38393;654395;16839;32788;;10933;9641;2823;;1109
NW;Summe;1958 - 1972;DIE LINKE;234212;717;9958;50553;143235;16440;;4347;5656;3306;;522
NW;Summe;1958 - 1972;GRÜNE;267455;414;30880;90509;6171;132450;;4720;661;1650;;253
NW;Summe;1958 - 1972;FDP;370088;1300;154516;39914;4655;9086;;152479;6519;1618;;477
NW;Summe;1958 - 1972;AfD;341748;4882;22818;22859;12182;1902;;14194;257188;5723;;1290
NW;Summe;1958 - 1972;Sonstige;94961;5906;11377;17656;12550;9709;;9365;10284;18113;;5233
NW;Summe;1958 - 1972;dar. NPD;5226;78;501;461;673;60;;393;2924;135;;109
NW;Summe;1958 - 1972;dar. FREIE WÄHLER;8664;144;1363;1696;688;217;;1195;494;2867;;2205
NW;Summe;1948 - 1957;Summe;1593807;20044;599367;541903;101857;76075;;116620;128406;9535;;2662
NW;Summe;1948 - 1957;Ungültig;14614;10137;1676;1365;322;96;;226;710;82;;32
NW;Summe;1948 - 1957;CDU;517656;1720;459800;28832;2452;8726;;13974;1746;407;;146
NW;Summe;1948 - 1957;SPD;466589;1697;20606;415562;7902;10542;;6199;3320;761;;154
NW;Summe;1948 - 1957;DIE LINKE;133707;581;7021;32189;79727;8600;;2086;2465;1039;;207
NW;Summe;1948 - 1957;GRÜNE;90141;92;10013;32590;2278;42772;;1635;335;426;;48
NW;Summe;1948 - 1957;FDP;198562;1165;86330;18661;1860;2677;;85057;2288;523;;257
NW;Summe;1948 - 1957;AfD;150088;3058;11252;8291;4809;502;;5392;115324;1461;;249
NW;Summe;1948 - 1957;Sonstige;22450;1593;2670;4413;2508;2162;;2050;2218;4836;;1570
NW;Summe;1948 - 1957;dar. NPD;1168;136;32;245;65;58;;113;414;105;;26
NW;Summe;1948 - 1957;dar. FREIE WÄHLER;2702;35;313;609;160;144;;276;217;947;;858
NW;Summe;1947 und früher;Summe;2099011;38439;1046317;677276;58014;43280;;135558;95840;4290;;1040
NW;Summe;1947 und früher;Ungültig;32634;20883;6296;3668;335;231;;704;495;21;;0
NW;Summe;1947 und früher;CDU;934392;5438;874766;25709;1541;4990;;20128;1561;258;;28
NW;Summe;1947 und früher;SPD;629249;5367;23531;577950;5405;7820;;6080;2774;323;;205
NW;Summe;1947 und früher;DIE LINKE;76673;710;5154;20274;44267;3099;;1519;1238;412;;0
NW;Summe;1947 und früher;GRÜNE;59016;628;10577;21758;831;23570;;1452;141;60;;0
NW;Summe;1947 und früher;FDP;239672;1323;114189;17660;1236;2273;;100213;2423;356;;40
NW;Summe;1947 und früher;AfD;114329;2997;9853;7384;3327;294;;4164;85790;521;;49
NW;Summe;1947 und früher;Sonstige;13046;1094;1950;2872;1073;1003;;1298;1417;2339;;718
NW;Summe;1947 und früher;dar. NPD;899;73;156;152;65;0;;88;303;63;;0
NW;Summe;1947 und früher;dar. FREIE WÄHLER;2022;157;304;316;66;66;;231;287;595;;497
NW;m;Summe;Summe;4767909;58350;1687345;1490698;327237;240914;;391645;498746;72974;;13981
NW;m;Summe;Ungültig;35300;25122;4098;3116;552;311;;675;1015;410;;0
NW;m;Summe;CDU;1363832;4255;1205492;73082;6673;20432;;43385;7695;2819;;696
NW;m;Summe;SPD;1234028;4326;59638;1074203;23709;34585;;17198;15513;4856;;999
NW;m;Summe;DIE LINKE;385341;1563;15490;89431;235382;22331;;5609;7983;7552;;800
NW;m;Summe;GRÜNE;301542;689;36352;112123;9775;132694;;5595;1043;3271;;354
NW;m;Summe;FDP;676581;2468;299325;64000;6617;11769;;276772;11209;4421;;919
NW;m;Summe;AfD;584276;8922;46937;39996;17109;2903;;25804;434591;8014;;1710
NW;m;Summe;Sonstige;187010;11004;20014;34748;27420;15888;;16607;19698;41632;;8504
NW;m;Summe;dar. NPD;13928;278;1304;1581;846;177;;745;8425;571;;140
NW;m;Summe;dar. FREIE WÄHLER;14381;359;2597;2945;904;565;;1667;1265;4080;;3387
NW;m;1993 - 1999;Summe;377355;4709;117365;109888;31672;29966;;47484;25798;10474;;1715
NW;m;1993 - 1999;Ungültig;2754;1973;156;391;30;57;;27;40;78;;0
NW;m;1993 - 1999;CDU;80718;205;64120;8767;621;2012;;4229;393;372;;146
NW;m;1993 - 1999;SPD;82452;92;8320;63049;2561;3965;;2740;1041;682;;67
NW;m;1993 - 1999;DIE LINKE;33418;156;1478;7754;20068;2555;;518;229;661;;28
NW;m;1993 - 1999;GRÜNE;33245;97;4933;10276;1935;14032;;1274;93;605;;33
NW;m;1993 - 1999;FDP;77967;170;30629;9086;1090;2101;;32731;1186;975;;245
NW;m;1993 - 1999;AfD;30543;274;3395;2959;626;527;;2250;20080;432;;125
NW;m;1993 - 1999;Sonstige;36258;1742;4334;7605;4741;4717;;3716;2735;6668;;1070
NW;m;1993 - 1999;dar. NPD;1657;0;191;165;30;0;;62;1117;92;;43
NW;m;1993 - 1999;dar. FREIE WÄHLER;1172;0;239;326;32;137;;113;131;193;;156
NW;m;1983 - 1992;Summe;609108;5943;185091;172263;58700;39314;;60527;67160;20112;;3191
NW;m;1983 - 1992;Ungültig;3259;2355;265;206;78;54;;128;27;148;;0
NW;m;1983 - 1992;CDU;134722;76;112910;10384;1203;3016;;5434;1179;520;;80
NW;m;1983 - 1992;SPD;128870;167;8209;104073;4162;5753;;2466;2738;1303;;90
NW;m;1983 - 1992;DIE LINKE;64823;175;2306;14402;39926;3805;;709;961;2538;;188
NW;m;1983 - 1992;GRÜNE;46505;0;6587;16075;2541;19243;;924;172;963;;69
NW;m;1983 - 1992;FDP;101974;273;42734;10430;857;2166;;42495;1897;1123;;278
NW;m;1983 - 1992;AfD;76055;513;6464;7066;1425;545;;3956;55037;1050;;306
NW;m;1983 - 1992;Sonstige;52900;2384;5615;9627;8507;4734;;4416;5149;12468;;2181
NW;m;1983 - 1992;dar. NPD;3632;65;423;429;114;23;;126;2249;204;;0
NW;m;1983 - 1992;dar. FREIE WÄHLER;3384;151;844;686;197;121;;359;150;876;;782
NW;m;1973 - 1982;Summe;620880;6781;210672;160299;48104;37895;;60313;81552;15263;;2342
NW;m;1973 - 1982;Ungültig;3009;2322;229;57;30;38;;66;233;34;;0
NW;m;1973 - 1982;CDU;163271;388;139411;10312;1037;3195;;7185;1111;632;;84
NW;m;1973 - 1982;SPD;119942;501;7860;98214;2353;4915;;2406;2890;803;;144
NW;m;1973 - 1982;DIE LINKE;54084;62;1906;11413;33748;3760;;657;1237;1302;;27
NW;m;1973 - 1982;GRÜNE;46270;0;6047;16382;1288;21203;;775;214;359;;30
NW;m;1973 - 1982;FDP;98404;164;42611;9538;919;1570;;40746;1818;1037;;165
NW;m;1973 - 1982;AfD;95090;909;8483;7162;2454;495;;4692;69183;1712;;306
NW;m;1973 - 1982;Sonstige;40809;2435;4125;7220;6274;2719;;3787;4865;9384;;1585
NW;m;1973 - 1982;dar. NPD;4095;55;321;516;225;35;;262;2551;131;;42
NW;m;1973 - 1982;dar. FREIE WÄHLER;3003;124;639;415;197;162;;291;380;796;;639
NW;m;1958 - 1972;Summe;1484508;15860;489819;469003;103639;87186;;110517;188465;20020;;5004
NW;m;1958 - 1972;Ungültig;8782;6357;863;602;226;79;;98;406;151;;0
NW;m;1958 - 1972;CDU;400478;864;349265;21628;2239;8588;;13653;3246;995;;354
NW;m;1958 - 1972;SPD;388190;916;17695;336455;8186;13297;;4751;5409;1481;;537
NW;m;1958 - 1972;DIE LINKE;121273;472;4656;26699;74908;7000;;1992;3450;2096;;382
NW;m;1958 - 1972;GRÜNE;111732;286;12261;42818;2725;50763;;1472;348;1059;;197
NW;m;1958 - 1972;FDP;191432;577;85702;19255;2071;3836;;75752;3460;779;;172
NW;m;1958 - 1972;AfD;219438;3160;15035;13753;7055;877;;9148;166921;3489;;707
NW;m;1958 - 1972;Sonstige;43183;3228;4344;7792;6231;2746;;3651;5223;9969;;2655
NW;m;1958 - 1972;dar. NPD;3390;24;306;307;412;60;;184;2042;55;;29
NW;m;1958 - 1972;dar. FREIE WÄHLER;4840;25;675;1138;357;81;;664;250;1651;;1273
NW;m;1948 - 1957;Summe;772523;9871;267878;272588;55006;29982;;53601;78770;4827;;1219
NW;m;1948 - 1957;Ungültig;5753;4196;732;457;93;31;;55;188;0;;0
NW;m;1948 - 1957;CDU;221589;920;198937;11548;1037;2516;;5351;1068;212;;31
NW;m;1948 - 1957;SPD;234754;680;9494;211797;3820;4033;;2634;1887;409;;77
NW;m;1948 - 1957;DIE LINKE;71419;379;2998;17881;43662;3568;;876;1346;710;;174
NW;m;1948 - 1957;GRÜNE;39807;58;3589;16202;1023;17763;;796;124;251;;25
NW;m;1948 - 1957;FDP;96399;748;43746;8318;987;1073;;39834;1433;260;;58
NW;m;1948 - 1957;AfD;93717;2121;7446;4686;3321;305;;3413;71502;922;;218
NW;m;1948 - 1957;Sonstige;9085;769;937;1698;1063;693;;641;1221;2063;;635
NW;m;1948 - 1957;dar. NPD;785;136;32;105;65;58;;63;300;26;;26
NW;m;1948 - 1957;dar. FREIE WÄHLER;1290;0;135;326;88;32;;161;161;386;;359
NW;m;1947 und früher;Summe;903534;15186;416519;306659;30116;16571;;59203;57002;2278;;509
NW;m;1947 und früher;Ungültig;11743;7919;1853;1402;95;53;;301;120;0;;0
NW;m;1947 und früher;CDU;363053;1802;340849;10442;537;1106;;7532;697;88;;0
NW;m;1947 und früher;SPD;279821;1969;8062;260614;2626;2623;;2203;1548;177;;84
NW;m;1947 und früher;DIE LINKE;40323;321;2145;11282;23069;1644;;858;760;245;;0
NW;m;1947 und früher;GRÜNE;23983;249;2934;10369;263;9689;;354;91;33;;0
NW;m;1947 und früher;FDP;110404;536;53902;7373;694;1023;;45216;1415;246;;0
NW;m;1947 und früher;AfD;69433;1945;6114;4371;2228;155;;2344;51867;408;;49
NW;m;1947 und früher;Sonstige;4774;446;659;806;604;279;;395;504;1080;;377
NW;m;1947 und früher;dar. NPD;369;0;32;59;0;0;;49;166;63;;0
NW;m;1947 und früher;dar. FREIE WÄHLER;692;59;66;53;33;31;;79;193;178;;178
NW;w;Summe;Summe;5170552;65941;2069607;1583000;299394;400446;;395590;301031;55543;;12504
NW;w;Summe;Ungültig;49784;34060;6915;4714;790;488;;882;1536;401;;32
NW;w;Summe;CDU;1850181;6941;1589616;114018;10612;55440;;63983;6177;3395;;945
NW;w;Summe;SPD;1323848;6061;75999;1120604;27447;55005;;21817;12840;4074;;1148
NW;w;Summe;DIE LINKE;351563;1225;20180;76797;206037;30610;;6499;5726;4489;;262
NW;w;Summe;GRÜNE;443428;781;64820;136102;14145;215214;;8502;1023;2842;;280
NW;w;Summe;FDP;616471;2248;259845;63517;6468;14223;;259200;8365;2604;;1036
NW;w;Summe;AfD;344149;4695;25348;29268;11682;2244;;16239;250215;4458;;923
NW;w;Summe;Sonstige;191127;9930;26885;37981;22212;27222;;18469;15149;33280;;7877
NW;w;Summe;dar. NPD;7800;207;665;1155;404;30;;908;3685;745;;201
NW;w;Summe;dar. FREIE WÄHLER;13497;287;2526;2462;833;774;;1572;808;4235;;3428
NW;w;1993 - 1999;Summe;376013;4321;122078;112893;30678;53354;;29758;14168;8763;;937
NW;w;1993 - 1999;Ungültig;2367;2001;102;149;0;35;;25;31;23;;0
NW;w;1993 - 1999;CDU;103332;281;78754;12082;857;6025;;4518;268;548;;86
NW;w;1993 - 1999;SPD;83289;40;8571;60565;3207;6783;;2518;1149;457;;34
NW;w;1993 - 1999;DIE LINKE;34839;72;1650;7858;18559;5117;;500;293;790;;0
NW;w;1993 - 1999;GRÜNE;58497;94;8891;17477;3310;26467;;1290;57;911;;39
NW;w;1993 - 1999;FDP;43797;0;18038;5275;533;2095;;16842;611;402;;68
NW;w;1993 - 1999;AfD;16722;126;1439;2272;455;138;;1328;10454;510;;36
NW;w;1993 - 1999;Sonstige;33169;1707;4633;7215;3757;6695;;2736;1304;5123;;674
NW;w;1993 - 1999;dar. NPD;829;0;114;96;0;0;;66;435;117;;60
NW;w;1993 - 1999;dar. FREIE WÄHLER;1145;0;292;337;0;162;;24;26;304;;251
NW;w;1983 - 1992;Summe;633062;5293;211683;192084;52382;67139;;50246;40159;14077;;2834
NW;w;1983 - 1992;Ungültig;3226;2321;312;212;81;77;;39;138;47;;0
NW;w;1983 - 1992;CDU;181918;331;142312;17381;2276;9520;;8128;932;1038;;228
NW;w;1983 - 1992;SPD;146011;258;10960;114495;5267;8765;;2603;2617;1045;;116
NW;w;1983 - 1992;DIE LINKE;56571;136;3159;11839;32724;5538;;929;835;1411;;89
NW;w;1983 - 1992;GRÜNE;75141;0;11965;23805;3464;33911;;934;300;762;;81
NW;w;1983 - 1992;FDP;76358;68;31990;9041;977;1565;;30782;1434;501;;175
NW;w;1983 - 1992;AfD;45930;402;4154;6157;1593;331;;2688;30182;424;;148
NW;w;1983 - 1992;Sonstige;47908;1776;6831;9155;6000;7432;;4144;3721;8849;;1997
NW;w;1983 - 1992;dar. NPD;2564;34;161;455;52;30;;241;1303;287;;26
NW;w;1983 - 1992;dar. FREIE WÄHLER;2964;35;592;381;189;253;;427;169;919;;748
NW;w;1973 - 1982;Summe;650984;6844;247169;172444;43650;63311;;56129;50814;10622;;2173
NW;w;1973 - 1982;Ungültig;3767;2725;350;238;70;31;;109;161;84;;0
NW;w;1973 - 1982;CDU;215422;454;175394;16413;1750;9918;;9444;1464;586;;136
NW;w;1973 - 1982;SPD;133731;333;9188;106504;3460;8260;;3071;2182;733;;229
NW;w;1973 - 1982;DIE LINKE;48578;179;3037;9946;29165;4029;;844;795;582;;0
NW;w;1973 - 1982;GRÜNE;68700;146;11278;19352;2103;34260;;1094;91;376;;82
NW;w;1973 - 1982;FDP;86229;253;38131;7911;959;2459;;34627;1399;490;;249
NW;w;1973 - 1982;AfD;57920;456;4428;5113;1922;415;;3379;41567;639;;125
NW;w;1973 - 1982;Sonstige;36636;2297;5363;6967;4222;3939;;3562;3154;7132;;1352
NW;w;1973 - 1982;dar. NPD;1658;46;71;217;27;0;;304;813;181;;35
NW;w;1973 - 1982;dar. FREIE WÄHLER;2822;0;538;640;208;77;;323;218;818;;681
NW;w;1958 - 1972;Summe;1493733;16059;527390;465647;97935;143840;;120084;107417;15360;;4585
NW;w;1958 - 1972;Ungültig;10671;8108;764;941;169;101;;135;309;144;;0
NW;w;1958 - 1972;CDU;482103;1439;398376;35592;3309;19883;;20676;1971;858;;352
NW;w;1958 - 1972;SPD;379553;1016;20698;317940;8653;19492;;6182;4232;1341;;572
NW;w;1958 - 1972;DIE LINKE;112938;245;5302;23854;68327;9440;;2355;2205;1210;;140
NW;w;1958 - 1972;GRÜNE;155723;129;18619;47691;3446;81687;;3248;313;590;;56
NW;w;1958 - 1972;FDP;178656;723;68814;20659;2585;5250;;76728;3059;839;;305
NW;w;1958 - 1972;AfD;122310;1722;7783;9106;5127;1025;;5045;90267;2234;;583
NW;w;1958 - 1972;Sonstige;51778;2678;7034;9864;6319;6964;;5715;5061;8144;;2578
NW;w;1958 - 1972;dar. NPD;1836;54;195;154;261;0;;210;882;80;;80
NW;w;1958 - 1972;dar. FREIE WÄHLER;3824;119;688;558;332;136;;532;244;1216;;931
NW;w;1948 - 1957;Summe;821284;10172;331489;269315;46850;46094;;63019;49636;4708;;1443
NW;w;1948 - 1957;Ungültig;8862;5941;944;907;229;65;;171;522;82;;32
NW;w;1948 - 1957;CDU;296067;800;260863;17283;1415;6210;;8623;677;195;;115
NW;w;1948 - 1957;SPD;231835;1017;11113;203765;4082;6509;;3566;1433;352;;77
NW;w;1948 - 1957;DIE LINKE;62287;202;4023;14308;36064;5032;;1210;1119;329;;32
NW;w;1948 - 1957;GRÜNE;50334;34;6423;16388;1255;25009;;839;211;176;;23
NW;w;1948 - 1957;FDP;102163;417;42585;10343;873;1604;;45223;855;263;;199
NW;w;1948 - 1957;AfD;56371;937;3805;3605;1487;197;;1979;43822;539;;31
NW;w;1948 - 1957;Sonstige;13365;824;1733;2715;1445;1468;;1409;997;2773;;934
NW;w;1948 - 1957;dar. NPD;383;0;0;140;0;0;;49;114;80;;0
NW;w;1948 - 1957;dar. FREIE WÄHLER;1412;35;178;283;72;111;;115;56;561;;499
NW;w;1947 und früher;Summe;1195477;23252;629797;370617;27898;26708;;76355;38838;2012;;531
NW;w;1947 und früher;Ungültig;20891;12964;4443;2266;240;178;;403;375;21;;0
NW;w;1947 und früher;CDU;571339;3635;533917;15267;1004;3884;;12595;864;170;;28
NW;w;1947 und früher;SPD;349428;3398;15469;317336;2778;5197;;3878;1226;146;;121
NW;w;1947 und früher;DIE LINKE;36351;390;3009;8992;21198;1455;;661;479;167;;0
NW;w;1947 und früher;GRÜNE;35033;379;7643;11388;568;13880;;1097;50;27;;0
NW;w;1947 und früher;FDP;129268;787;60287;10287;542;1250;;54997;1008;109;;40
NW;w;1947 und früher;AfD;44896;1052;3739;3014;1098;139;;1820;33923;113;;0
NW;w;1947 und früher;Sonstige;8271;648;1291;2066;469;724;;903;913;1258;;341
NW;w;1947 und früher;dar. NPD;530;73;123;93;65;0;;39;137;0;;0
NW;w;1947 und früher;dar. FREIE WÄHLER;1330;98;238;263;32;35;;152;95;417;;319
HE;Summe;Summe;Summe;3395441;50889;1185393;974954;220145;270221;;238437;375528;79874;4423;48199
HE;Summe;Summe;Ungültig;46541;30725;6482;4392;728;778;;1092;1748;596;32;229
HE;Summe;Summe;CDU;1033200;4481;879350;61519;6066;32477;;33025;8887;7395;134;6054
HE;Summe;Summe;SPD;788427;3260;41012;672186;16840;31206;;9429;8974;5519;139;3463
HE;Summe;Summe;DIE LINKE;271158;1617;11468;63410;160230;19246;;3225;5857;6105;0;2407
HE;Summe;Summe;GRÜNE;323736;1187;45758;97985;10848;158725;;4706;1046;3481;0;1516
HE;Summe;Summe;FDP;386742;2044;156100;33984;3298;9635;;167669;9030;4982;28;3805
HE;Summe;Summe;AfD;398712;2060;28960;19563;6253;1546;;10088;325614;4628;1027;2718
HE;Summe;Summe;Sonstige;146925;5515;16261;21914;15882;16609;;9203;14372;47169;3062;28007
HE;Summe;Summe;dar. NPD;11904;174;933;971;260;216;;633;5586;3132;2822;264
HE;Summe;Summe;dar. FREIE WÄHLER;28507;258;3543;2961;790;794;;1563;1152;17446;21;16985
HE;Summe;1993 - 1999;Summe;257069;3884;71339;74482;22993;36792;;21099;16786;9693;478;3929
HE;Summe;1993 - 1999;Ungültig;2742;2027;244;253;23;129;;0;41;24;0;0
HE;Summe;1993 - 1999;CDU;57969;356;41752;7331;367;4138;;2358;649;1017;0;622
HE;Summe;1993 - 1999;SPD;52525;111;5232;38286;2073;4378;;1335;594;517;24;252
HE;Summe;1993 - 1999;DIE LINKE;27670;192;1133;7038;14680;3237;;452;253;685;0;186
HE;Summe;1993 - 1999;GRÜNE;40399;164;6704;11157;2029;19001;;834;135;374;0;95
HE;Summe;1993 - 1999;FDP;32789;149;11226;4418;471;1597;;13721;698;508;0;184
HE;Summe;1993 - 1999;AfD;18320;74;1558;1619;258;128;;1022;13232;429;141;196
HE;Summe;1993 - 1999;Sonstige;24656;810;3490;4381;3092;4184;;1377;1184;6138;313;2394
HE;Summe;1993 - 1999;dar. NPD;1012;33;138;74;0;60;;38;394;275;249;26
HE;Summe;1993 - 1999;dar. FREIE WÄHLER;1920;0;350;394;48;0;;82;166;880;0;777
HE;Summe;1983 - 1992;Summe;416054;6221;124047;112242;36576;43232;;31558;46207;15971;1065;7535
HE;Summe;1983 - 1992;Ungültig;4602;4001;301;83;16;69;;45;87;0;0;0
HE;Summe;1983 - 1992;CDU;105620;281;81992;9917;945;5370;;4162;1222;1732;21;1331
HE;Summe;1983 - 1992;SPD;81108;154;5858;64142;2428;4826;;1369;1461;869;50;354
HE;Summe;1983 - 1992;DIE LINKE;42929;170;1991;9750;25452;3391;;354;451;1370;0;241
HE;Summe;1983 - 1992;GRÜNE;47677;121;6619;14033;1959;23093;;785;389;677;0;244
HE;Summe;1983 - 1992;FDP;49281;124;19382;5061;524;1502;;21129;876;684;0;511
HE;Summe;1983 - 1992;AfD;48408;271;4096;2900;612;265;;1250;38106;908;320;357
HE;Summe;1983 - 1992;Sonstige;36428;1099;3809;6355;4639;4716;;2464;3615;9730;673;4496
HE;Summe;1983 - 1992;dar. NPD;3515;0;348;470;131;25;;103;1696;742;616;81
HE;Summe;1983 - 1992;dar. FREIE WÄHLER;5177;18;626;830;32;230;;474;163;2804;0;2715
HE;Summe;1973 - 1982;Summe;433060;5752;145130;106770;30541;39549;;29858;59906;15554;855;9373
HE;Summe;1973 - 1982;Ungültig;4928;3751;432;296;74;23;;38;208;106;0;0
HE;Summe;1973 - 1982;CDU;125386;452;102058;9235;1104;5679;;4268;1261;1329;33;1099
HE;Summe;1973 - 1982;SPD;78801;140;5148;63826;1834;4329;;1077;1264;1183;28;763
HE;Summe;1973 - 1982;DIE LINKE;36517;53;1800;8158;22187;2179;;363;1034;741;0;292
HE;Summe;1973 - 1982;GRÜNE;48349;65;8056;13590;1305;23535;;850;196;752;0;281
HE;Summe;1973 - 1982;FDP;49754;222;20702;5049;498;1375;;19537;1281;1089;28;749
HE;Summe;1973 - 1982;AfD;62297;126;4295;3045;816;243;;1786;51265;721;117;427
HE;Summe;1973 - 1982;Sonstige;27028;943;2638;3571;2722;2186;;1940;3397;9632;648;5763
HE;Summe;1973 - 1982;dar. NPD;3286;24;133;188;52;0;;275;1889;725;601;125
HE;Summe;1973 - 1982;dar. FREIE WÄHLER;5717;28;653;227;303;54;;438;172;3843;21;3695
HE;Summe;1958 - 1972;Summe;1027276;13578;328196;286470;72192;97967;;68542;134765;25566;1250;17575
HE;Summe;1958 - 1972;Ungültig;11313;8134;1075;872;278;218;;268;367;101;0;74
HE;Summe;1958 - 1972;CDU;286231;1066;240098;17612;1746;11009;;9447;3003;2249;30;1984
HE;Summe;1958 - 1972;SPD;229258;1062;10940;194582;5405;9896;;2345;3153;1875;37;1387
HE;Summe;1958 - 1972;DIE LINKE;88840;610;3333;18678;54112;6461;;950;2364;2333;0;1133
HE;Summe;1958 - 1972;GRÜNE;118668;428;15101;34745;3405;62191;;1387;204;1207;0;625
HE;Summe;1958 - 1972;FDP;111465;432;44679;8655;1109;3237;;48528;3001;1823;0;1531
HE;Summe;1958 - 1972;AfD;141518;392;9181;6068;2508;568;;3360;118128;1311;267;864
HE;Summe;1958 - 1972;Sonstige;39984;1452;3789;5257;3628;4387;;2257;4547;14667;916;9977
HE;Summe;1958 - 1972;dar. NPD;2766;23;193;143;53;90;;104;1283;877;844;33
HE;Summe;1958 - 1972;dar. FREIE WÄHLER;9430;183;954;960;258;433;;286;450;5905;0;5832
HE;Summe;1948 - 1957;Summe;561085;8994;188066;180656;38888;33241;;38422;64283;8535;416;6213
HE;Summe;1948 - 1957;Ungültig;8168;5353;952;636;190;173;;301;413;149;32;45
HE;Summe;1948 - 1957;CDU;165351;777;144080;9277;1347;3097;;4960;1236;577;25;552
HE;Summe;1948 - 1957;SPD;150379;645;6058;132805;3185;4626;;1409;1131;520;0;256
HE;Summe;1948 - 1957;DIE LINKE;49709;310;1892;12558;29518;2898;;709;1011;812;0;434
HE;Summe;1948 - 1957;GRÜNE;43244;178;5035;15307;1563;20318;;364;122;356;0;180
HE;Summe;1948 - 1957;FDP;62245;517;24244;5397;434;1151;;28521;1376;606;0;557
HE;Summe;1948 - 1957;AfD;69676;565;4359;3089;1388;249;;1480;57744;803;101;549
HE;Summe;1948 - 1957;Sonstige;12314;648;1445;1586;1263;730;;678;1250;4714;259;3641
HE;Summe;1948 - 1957;dar. NPD;724;60;87;56;0;0;;63;199;259;259;0
HE;Summe;1948 - 1957;dar. FREIE WÄHLER;4149;0;621;421;149;55;;160;160;2584;0;2535
HE;Summe;1947 und früher;Summe;700897;12460;328614;214334;18955;19439;;48959;53581;4555;360;3573
HE;Summe;1947 und früher;Ungültig;14789;7458;3479;2252;146;165;;440;633;215;0;110
HE;Summe;1947 und früher;CDU;292643;1548;269370;8147;557;3184;;7831;1516;490;24;466
HE;Summe;1947 und früher;SPD;196356;1148;7777;178546;1915;3151;;1894;1371;555;0;451
HE;Summe;1947 und früher;DIE LINKE;25493;282;1319;7227;14281;1080;;397;744;164;0;120
HE;Summe;1947 und früher;GRÜNE;25398;230;4242;9153;587;10586;;485;0;114;0;92
HE;Summe;1947 und früher;FDP;81208;601;35868;5404;261;773;;36232;1798;272;0;272
HE;Summe;1947 und früher;AfD;58493;632;5470;2841;671;93;;1191;47139;456;82;324
HE;Summe;1947 und früher;Sonstige;6515;562;1089;764;537;407;;488;380;2288;254;1737
HE;Summe;1947 und früher;dar. NPD;600;33;34;40;24;40;;49;126;254;254;0
HE;Summe;1947 und früher;dar. FREIE WÄHLER;2113;29;340;129;0;23;;123;40;1430;0;1430
HE;m;Summe;Summe;1645169;22302;540868;473081;112896;102951;;117437;233024;42610;2755;23780
HE;m;Summe;Ungültig;19144;12821;2335;1789;404;299;;426;923;147;0;13
HE;m;Summe;CDU;440899;1639;383174;23501;2622;9045;;12566;4853;3498;0;2743
HE;m;Summe;SPD;381344;1275;19024;328717;7925;12289;;4081;5048;2984;103;1611
HE;m;Summe;DIE LINKE;139815;947;4800;33872;83582;8364;;1230;3220;3800;0;1592
HE;m;Summe;GRÜNE;132518;530;17456;44462;4283;61480;;1946;582;1778;0;712
HE;m;Summe;FDP;209860;1169;88571;18588;1458;4380;;87440;5281;2974;0;2283
HE;m;Summe;AfD;250540;990;19156;11723;3688;834;;5882;205365;2901;750;1608
HE;m;Summe;Sonstige;71047;2931;6351;10429;8934;6259;;3866;7751;24527;1903;13217
HE;m;Summe;dar. NPD;7530;152;606;709;138;0;;263;3661;2002;1793;163
HE;m;Summe;dar. FREIE WÄHLER;12279;115;1485;1158;316;151;;432;444;8179;0;7909
HE;m;1993 - 1999;Summe;129588;2130;36264;36310;12132;14367;;12948;10294;5143;277;1986
