# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# Für das Bundesgebiet wurde eine separate Hochrechnung durchgeführt. Die Kumulation einzelner Merkmalsgruppen in den Länderergebnissen weichen daher geringfügig zu den entsprechenden Bundesergebnissen ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: CDU;Erststimme: SPD;Erststimme: DIE LINKE;Erststimme: GRÜNE;Erststimme: CSU;Erststimme: FDP;Erststimme: AfD;Erststimme: Sonstige;Erststimme: dar. NPD;Erststimme: dar. FREIE WÄHLER
Bund;Summe;1973 - 1982;FDP;704903;1917;244946;56031;9763;19950;50066;291537;16330;14361;79;7939
Bund;Summe;1973 - 1982;AfD;953560;4848;57146;43676;21257;5153;18167;31591;744209;27513;3869;9816
Bund;Summe;1973 - 1982;Sonstige;435105;11896;36733;46587;52707;37466;16681;25525;54149;153361;5457;58892
Bund;Summe;1973 - 1982;dar. NPD;42242;433;2564;2496;1435;670;553;2072;24403;7616;4754;1180
Bund;Summe;1973 - 1982;dar. FREIE WÄHLER;80898;854;7838;6349;2878;2631;8048;5069;4190;43040;98;37990
Bund;Summe;1958 - 1972;Summe;13918027;146749;3810567;3338116;1169518;1296186;871771;941843;1900570;442707;13987;208034
Bund;Summe;1958 - 1972;Ungültig;103588;74589;8129;7871;2259;1459;1400;1538;4713;1630;97;533
Bund;Summe;1958 - 1972;CDU;3425034;11556;2849926;207204;40746;137956;;126557;31080;20008;274;10999
Bund;Summe;1958 - 1972;SPD;2746613;9193;135027;2244909;80838;145415;28350;35566;38144;29170;355;15766
Bund;Summe;1958 - 1972;DIE LINKE;1279220;4967;51378;198670;852669;85481;7628;17676;30961;29789;294;10080
Bund;Summe;1958 - 1972;GRÜNE;1447613;3862;148112;374542;48332;788084;31297;23250;4839;25295;40;9035
Bund;Summe;1958 - 1972;CSU;773402;2660;;29754;3197;26102;661085;20166;6469;23969;0;15095
Bund;Summe;1958 - 1972;FDP;1422660;6404;465115;121042;19919;45285;83085;624087;33884;23838;243;14095
Bund;Summe;1958 - 1972;AfD;2090839;13858;104071;86092;56550;11911;33377;56302;1674435;54243;5069;20325
Bund;Summe;1958 - 1972;Sonstige;629057;19659;48807;68032;65007;54492;25549;36701;76044;234765;7617;112108
Bund;Summe;1958 - 1972;dar. NPD;46103;990;2422;2129;2537;400;560;1597;25382;10086;6679;1273
Bund;Summe;1958 - 1972;dar. FREIE WÄHLER;157237;1937;11254;13805;6126;5609;13872;9302;7239;88093;194;79479
Bund;Summe;1948 - 1957;Summe;7693131;103820;2310567;2042977;710235;446291;518411;505296;906420;149114;5214;75016
Bund;Summe;1948 - 1957;Ungültig;80774;53780;8238;7115;2398;897;1693;1535;3967;1150;125;386
Bund;Summe;1948 - 1957;CDU;2067428;10168;1803937;102260;25093;42399;;61001;15194;7378;30;4189
Bund;Summe;1948 - 1957;SPD;1775691;8114;79975;1512410;50726;59600;18233;20456;15521;10657;107;5535
Bund;Summe;1948 - 1957;DIE LINKE;800459;4119;34872;128807;552507;39075;3822;11021;15754;10481;18;4113
Bund;Summe;1948 - 1957;GRÜNE;519000;1918;54350;151201;19057;265882;10764;9134;1762;4932;54;1749
Bund;Summe;1948 - 1957;CSU;462664;2124;;15694;1612;7190;413331;10983;3749;7980;0;4866
Bund;Summe;1948 - 1957;FDP;784904;5312;262791;64165;10458;15063;46623;355344;16708;8441;0;5498
Bund;Summe;1948 - 1957;AfD;1004932;11174;51988;39925;29147;4045;15469;24772;809441;18971;2024;6283
Bund;Summe;1948 - 1957;Sonstige;197277;7111;14416;21401;19238;12141;8475;11049;24323;79123;2856;42398
Bund;Summe;1948 - 1957;dar. NPD;13644;642;608;842;463;298;257;633;6609;3292;2603;253
Bund;Summe;1948 - 1957;dar. FREIE WÄHLER;63259;1222;3653;6175;2521;1918;4795;3343;3202;36430;22;33095
Bund;Summe;1947 und früher;Summe;9728612;177697;3839435;2582370;594405;294125;836062;603993;704858;95668;3043;50723
Bund;Summe;1947 und früher;Ungültig;169926;98988;30866;19440;2949;1989;6072;3486;4760;1375;51;713
Bund;Summe;1947 und früher;CDU;3484719;23929;3209260;101327;19916;32514;;78888;13328;5556;240;3042
Bund;Summe;1947 und früher;SPD;2408826;18459;95882;2131631;50243;46128;20778;22629;15445;7631;103;4359
Bund;Summe;1947 und früher;DIE LINKE;647289;4524;31252;96240;470550;17592;2862;7495;11959;4815;143;1804
Bund;Summe;1947 und früher;GRÜNE;359698;3020;52078;106123;9436;168403;9115;7117;1453;2954;18;1188
Bund;Summe;1947 und früher;CSU;775759;4706;;16566;1228;6549;719560;15618;3743;7789;0;4588
Bund;Summe;1947 und früher;FDP;962317;5911;356200;61399;8157;12808;56476;438935;15660;6771;48;3789
Bund;Summe;1947 und früher;AfD;791007;12122;51487;36123;21844;1899;11766;21350;625010;9407;767;3499
Bund;Summe;1947 und früher;Sonstige;129071;6038;12411;13520;10082;6241;9433;8475;13500;49372;1673;27742
Bund;Summe;1947 und früher;dar. NPD;7930;512;732;656;348;130;183;310;3272;1787;1484;111
Bund;Summe;1947 und früher;dar. FREIE WÄHLER;44839;1028;2874;3499;1732;1285;5274;2700;2225;24222;24;23049
Bund;m;Summe;Summe;22757980;274037;6296759;5567376;2002937;1459836;1517208;1623874;3298126;717826;28243;277767
Bund;m;Summe;Ungültig;200192;141663;19652;16259;4196;1778;3905;3204;7256;2279;157;622
Bund;m;Summe;CDU;5299230;20782;4594621;273786;48552;114575;;168879;48433;29602;481;14293
Bund;m;Summe;SPD;4633487;18106;224991;3870414;133088;172019;47062;59474;63172;45161;504;20419
Bund;m;Summe;DIE LINKE;2189501;8987;72020;363987;1474396;126255;12086;25862;46476;59432;408;13769
Bund;m;Summe;GRÜNE;1706000;5355;166680;494317;73885;856943;36231;29888;6945;35754;75;9046
Bund;m;Summe;CSU;1280483;4702;;40047;3500;23044;1135228;31733;11439;30790;0;19464
Bund;m;Summe;FDP;2666886;12476;928408;219040;30722;63648;172094;1137649;60566;42283;266;20950
Bund;m;Summe;AfD;3676203;28148;209251;159851;88876;17197;67336;103515;2914942;87086;10785;31102
Bund;m;Summe;Sonstige;1105998;33818;81136;129675;145723;84377;43265;63670;138897;385439;15567;148101
Bund;m;Summe;dar. NPD;111603;2185;6238;6519;3734;1565;1731;3927;65086;20619;13942;2158
Bund;m;Summe;dar. FREIE WÄHLER;208771;3038;17062;19286;8105;6105;20255;12553;11397;110970;191;99952
Bund;m;1993 - 1999;Summe;1694779;20330;402414;416491;165674;173296;109102;176190;146987;84297;1629;23053
Bund;m;1993 - 1999;Ungültig;13189;10358;928;891;71;175;159;234;194;180;0;28
Bund;m;1993 - 1999;CDU;300217;1080;232899;31504;3241;12031;;14418;2212;2833;26;945
Bund;m;1993 - 1999;SPD;305590;706;27987;224488;10583;18094;5840;8130;4480;5282;87;1924
Bund;m;1993 - 1999;DIE LINKE;176106;561;6005;34828;104100;17674;1138;2669;1243;7888;33;1000
Bund;m;1993 - 1999;GRÜNE;192427;612;21770;49476;13390;88962;5661;5693;1056;5808;22;1079
Bund;m;1993 - 1999;CSU;79817;321;;3133;317;2621;67008;2945;374;3098;0;1826
Bund;m;1993 - 1999;FDP;280317;1126;84649;32128;4203;10352;16236;120082;5111;6428;0;2212
Bund;m;1993 - 1999;AfD;167573;885;12701;11431;3284;1966;5674;8507;118041;5083;500;1838
Bund;m;1993 - 1999;Sonstige;179542;4681;15476;28611;26484;21420;7385;13512;14275;47698;962;12200
Bund;m;1993 - 1999;dar. NPD;10713;95;721;812;99;211;296;528;6282;1670;811;174
Bund;m;1993 - 1999;dar. FREIE WÄHLER;15757;173;1556;1962;559;887;1824;1217;777;6804;0;6071
Bund;m;1983 - 1992;Summe;3001418;29800;707161;655466;328018;246168;187482;249353;435091;162879;5903;49670
Bund;m;1983 - 1992;Ungültig;19674;16306;966;566;320;155;191;226;583;361;0;114
Bund;m;1983 - 1992;CDU;555205;1024;450542;40180;7745;19478;;23156;6702;6377;40;2379
Bund;m;1983 - 1992;SPD;490462;975;32333;380107;18759;23934;6111;9749;10510;7984;142;2432
Bund;m;1983 - 1992;DIE LINKE;342655;760;10092;56086;221559;27015;2322;4010;5037;15774;21;2037
Bund;m;1983 - 1992;GRÜNE;263648;328;25249;70174;16110;131325;6053;5004;1712;7691;54;1621
