# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;
# ;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m;w
NW;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;25995;11385;14609
NW;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;9569;3485;6083
NW;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;6359;2187;4172
NW;Beide;Beide Seiten mehrere Kreuze;13106;6176;6930
NW;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;836;348;488
NW;Beide;Beide Seiten sonstige Ursachen;2113;1068;1045
NW;1;Summe;66314;33462;32852
NW;1;Erststimmenseite leer oder durchgestrichen;59427;30352;29075
NW;1;Erststimmenseite mehrere Kreuze;5873;2583;3290
NW;1;Sonstige Ursachen;1014;527;487
NW;2;Summe;27107;10609;16498
NW;2;Zweitstimmenseite leer oder durchgestrichen;22472;8700;13773
NW;2;Zweitstimmenseite mehrere Kreuze;4201;1734;2466
NW;2;Sonstige Ursachen;434;175;259
HE;Summe;Ungültige Erststimmen;50889;24732;26157
HE;Summe;Ungültige Zweitstimmen;46541;22051;24490
HE;Beide;Summe;32186;15200;16986
HE;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;19370;9395;9975
HE;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;2487;1001;1486
HE;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;2537;1147;1390
HE;Beide;Beide Seiten mehrere Kreuze;5145;2333;2812
HE;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;367;194;172
HE;Beide;Beide Seiten sonstige Ursachen;2281;1129;1151
HE;1;Summe;18703;9532;9171
HE;1;Erststimmenseite leer oder durchgestrichen;16967;8403;8564
HE;1;Erststimmenseite mehrere Kreuze;1537;1008;530
HE;1;Sonstige Ursachen;198;121;77
HE;2;Summe;14355;6851;7504
HE;2;Zweitstimmenseite leer oder durchgestrichen;12434;6004;6430
HE;2;Zweitstimmenseite mehrere Kreuze;1601;675;927
HE;2;Sonstige Ursachen;319;172;147
RP;Summe;Ungültige Erststimmen;40223;19099;21124
RP;Summe;Ungültige Zweitstimmen;29587;13186;16401
RP;Beide;Summe;18187;8901;9286
RP;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;9555;4543;5012
RP;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1726;928;798
RP;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1394;669;726
RP;Beide;Beide Seiten mehrere Kreuze;4428;2181;2247
RP;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;60;32;28
RP;Beide;Beide Seiten sonstige Ursachen;1025;549;476
RP;1;Summe;22036;10198;11838
RP;1;Erststimmenseite leer oder durchgestrichen;20809;9729;11080
RP;1;Erststimmenseite mehrere Kreuze;1197;469;728
RP;1;Sonstige Ursachen;30;0;30
RP;2;Summe;11400;4284;7115
RP;2;Zweitstimmenseite leer oder durchgestrichen;9401;3401;6000
RP;2;Zweitstimmenseite mehrere Kreuze;1890;843;1048
RP;2;Sonstige Ursachen;108;40;68
BW;Summe;Ungültige Erststimmen;70712;33722;36990
BW;Summe;Ungültige Zweitstimmen;60975;27255;33720
BW;Beide;Summe;41396;18957;22439
BW;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;17410;8066;9344
BW;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;6420;2734;3686
BW;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;7182;2582;4600
BW;Beide;Beide Seiten mehrere Kreuze;7438;3736;3702
BW;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;247;108;139
BW;Beide;Beide Seiten sonstige Ursachen;2700;1732;968
BW;1;Summe;29316;14764;14552
BW;1;Erststimmenseite leer oder durchgestrichen;26321;13223;13098
BW;1;Erststimmenseite mehrere Kreuze;2404;1196;1208
BW;1;Sonstige Ursachen;592;346;246
