# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wähler;ungültig;gültig;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige
4;Bremen;E;Urne;474151;251156;4060;247096;57869;80538;30488;23663;;20818;25697;;403;719;;;5959;;;;394;;;;;;;;;;;;;;548;;;;;;;;;;;;
4;Bremen;E;Brief;;84763;816;83947;23406;24581;8917;9723;;9639;5238;;84;220;;;1794;;;;106;;;;;;;;;;;;;;239;;;;;;;;;;;;
4;Bremen;Z;Zusammen;474151;335919;3596;332323;83409;88944;44629;36733;;31056;33244;1958;863;1194;;;5511;;;;273;;;;;;;1804;;174;607;;;;905;;;1019;;;;;;;;;
4;Bremen;Z;Urne;474151;251156;3147;248009;58687;68040;34622;26606;;21505;27399;1639;729;891;;;4308;;;;226;;;;;;;1276;;129;536;;;;674;;;742;;;;;;;;;
4;Bremen;Z;Brief;;84763;449;84314;24722;20904;10007;10127;;9551;5845;319;134;303;;;1203;;;;47;;;;;;;528;;45;71;;;;231;;;277;;;;;;;;;
12;Brandenburg;E;Zusammen;2051559;1512145;23743;1488402;432157;304896;256497;67253;;75734;289204;4925;1369;28547;;;17385;;;;772;;;;;;;;;4668;;;;;;;;;;;;;;;;;4995
12;Brandenburg;E;Urne;2051559;1186846;20702;1166144;333705;238421;199114;48605;;57077;242170;3675;1169;21511;;;13213;;;;588;;;;;;;;;3423;;;;;;;;;;;;;;;;;3473
12;Brandenburg;E;Brief;;325299;3041;322258;98452;66475;57383;18648;;18657;47034;1250;200;7036;;;4172;;;;184;;;;;;;;;1245;;;;;;;;;;;;;;;;;1522
12;Brandenburg;Z;Zusammen;2051559;1512145;21314;1490831;397839;261822;255721;74971;;105485;301103;;12993;17762;26243;2496;19471;;;;1277;;;;;;;6066;;2514;5068;;;;;;;;;;;;;;;;
12;Brandenburg;Z;Urne;2051559;1186846;18813;1168033;305497;204596;198621;55210;;79731;251555;;11406;13135;20224;1889;15332;;;;979;;;;;;;3999;;1805;4054;;;;;;;;;;;;;;;;
12;Brandenburg;Z;Brief;;325299;2501;322798;92342;57226;57100;19761;;25754;49548;;1587;4627;6019;607;4139;;;;298;;;;;;;2067;;709;1014;;;;;;;;;;;;;;;;
