Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;WGr/EB;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
010;Herzogtum Lauenburg – Stormarn-Süd;SH;Urne;244930;148645;1296;147349;56890;40971;7905;14015;0;11725;14186;0;0;1657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1179;147466;49324;33568;10111;15976;0;19347;15345;0;397;947;0;323;1720;0;0;0;43;0;0;0;0;0;0;365;0;0;0;0;0;0;0;0;0;0
011;Lübeck;SH;Urne;181638;98150;1778;96372;32850;33405;0;11907;0;6362;9147;0;0;1984;0;0;0;0;0;0;717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;972;97178;27511;25353;9508;11969;0;10144;9407;0;295;864;0;203;1463;0;0;0;138;0;0;0;0;0;0;323;0;0;0;0;0;0;0;0;0;0
012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;MV;Urne;216800;120296;1628;118668;37715;25954;19965;4085;0;5489;20616;0;1330;2890;0;0;0;0;0;0;323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;301;1418;118878;37837;22194;19456;4811;0;7438;21443;0;1504;1220;1373;104;1052;0;0;0;171;0;0;0;0;0;0;275;0;0;0;0;0;0;0;0;0;0
013;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;MV;Urne;205876;114251;1699;112552;32307;27215;18242;4197;0;6415;21057;0;1115;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1509;112742;36540;19769;18856;4071;0;6876;21390;0;1453;936;1406;153;917;0;0;0;145;0;0;0;0;0;0;230;0;0;0;0;0;0;0;0;0;0
014;Rostock – Landkreis Rostock II;MV;Urne;222913;120625;1494;119131;34837;21439;28782;5471;0;5219;19487;0;0;1025;0;390;2205;0;0;0;276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1471;119154;35091;18916;24357;7014;0;7643;20612;0;735;687;1489;220;1824;0;0;0;212;0;0;0;0;0;0;354;0;0;0;0;0;0;0;0;0;0
015;Vorpommern-Rügen – Vorpommern-Greifswald I;MV;Urne;240887;126661;1593;125068;53920;14456;19441;3333;0;3856;26160;0;824;1131;1544;0;0;0;0;0;302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;1838;124823;40191;15075;21988;5682;0;8325;26832;0;1194;881;2500;114;1441;0;0;0;177;0;0;0;0;0;0;423;0;0;0;0;0;0;0;0;0;0
016;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;MV;Urne;226039;121265;1951;119314;36971;16151;21872;2762;0;6406;30070;0;2465;1565;0;0;1052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1878;119387;38798;14511;20345;3027;0;6523;29454;0;2800;848;1493;102;1039;0;0;0;108;0;0;0;0;0;0;339;0;0;0;0;0;0;0;0;0;0
017;Mecklenburgische Seenplatte II – Landkreis Rostock III;MV;Urne;212099;110727;1574;109153;40474;17147;18375;3266;0;4818;21823;0;1185;1762;0;0;0;0;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1552;109175;37886;15932;18038;3309;0;6151;22738;0;1435;1098;1249;102;783;0;0;0;156;0;0;0;0;0;0;298;0;0;0;0;0;0;0;0;0;0
018;Hamburg-Mitte;HH;Urne;243543;114148;1301;112847;25389;36263;16790;13683;0;6582;9201;0;226;650;0;697;3140;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1128;113020;24256;28001;18320;16061;0;9722;10075;0;244;450;1106;417;2624;0;0;0;135;0;0;0;0;0;0;701;546;75;0;0;0;0;0;0;0;287
019;Hamburg-Altona;HH;Urne;185944;89645;862;88783;20773;27241;13320;12601;0;6683;5050;0;0;297;0;0;2168;0;0;0;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;478;670;88975;19742;18973;15504;16418;0;8942;5488;0;113;214;694;180;1493;0;0;0;110;0;0;0;0;0;0;478;405;57;0;0;0;0;0;0;0;164
020;Hamburg-Eimsbüttel;HH;Urne;192399;94076;834;93242;24015;31395;10690;14053;0;5820;5729;0;0;0;0;619;0;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700;578;93498;22542;21781;12899;16698;0;9550;6020;0;138;200;762;273;1527;0;0;0;96;0;0;0;0;0;0;340;423;59;0;0;0;0;0;0;0;190
021;Hamburg-Nord;HH;Urne;217226;106256;820;105436;32303;34533;8785;14413;0;8273;6391;0;0;738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;606;105650;30143;23477;11171;16312;0;13661;7187;0;118;298;737;211;1358;0;0;0;42;0;0;0;0;0;0;324;365;41;0;0;0;0;0;0;0;205
022;Hamburg-Wandsbek;HH;Urne;235513;110273;1254;109019;29943;38605;10972;7766;0;7104;11373;0;279;996;0;0;1981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;980;109293;29002;29532;11922;11741;0;10548;11786;0;313;494;1188;292;1435;0;0;0;48;0;0;0;0;0;0;424;339;36;0;0;0;0;0;0;0;193
023;Hamburg-Bergedorf – Harburg;HH;Urne;222031;106315;1490;104825;27343;36784;12062;7914;0;5378;12546;0;376;859;0;936;0;0;0;0;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451;1215;105100;26626;27537;12841;10751;0;8572;13372;0;385;480;1058;463;1724;0;0;0;72;0;0;0;0;0;0;601;350;58;0;0;0;0;0;0;0;210
024;Aurich – Emden;NI;Urne;191541;116313;2617;113696;30169;58047;7952;7392;0;5494;0;1888;0;2671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;1448;114865;31031;44948;8414;8163;0;7808;10827;472;321;607;902;69;780;0;0;0;32;0;0;0;0;0;0;136;95;31;107;0;0;0;0;0;0;122
025;Unterems;NI;Urne;235234;146084;1381;144703;72233;40989;6563;6402;0;6250;11260;0;0;0;0;0;1006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1252;144832;61476;40342;7943;8091;0;10933;12295;412;367;339;915;99;1146;0;0;0;22;0;0;0;0;0;0;112;110;17;111;0;0;0;0;0;0;102
026;Friesland – Wilhelmshaven – Wittmund;NI;Urne;189344;107855;1491;106364;33277;43339;6541;5668;0;5929;9161;0;0;932;0;0;1364;0;0;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1349;106506;33854;33482;7856;7661;0;9566;10079;302;343;675;1073;67;990;0;0;0;78;0;0;0;0;0;0;117;92;22;143;0;0;0;0;0;0;106
027;Oldenburg – Ammerland;NI;Urne;226253;136004;1515;134489;39544;50200;11142;14542;0;7890;9484;0;0;1065;0;622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1127;134877;40207;35923;13149;16378;0;13573;10351;547;298;498;1133;311;1448;0;0;0;63;0;0;0;0;0;0;268;218;46;221;0;0;0;0;0;0;245
028;Delmenhorst – Wesermarsch – Oldenburg-Land;NI;Urne;227696;137798;1708;136090;45842;45195;8608;10067;0;11896;12925;0;0;1557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1221;136577;44829;39044;9685;10660;0;13414;14011;515;392;850;1170;126;1092;0;0;0;40;0;0;0;0;0;0;171;121;25;260;0;0;0;0;0;0;172
029;Cuxhaven – Stade II;NI;Urne;187679;114032;1219;112813;47544;35261;6565;6692;0;5500;9824;0;0;1427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;889;113143;42949;31922;7447;7609;0;9029;10480;350;339;706;1066;67;707;0;0;0;23;0;0;0;0;0;0;105;80;14;153;0;0;0;0;0;0;97
030;Stade I – Rotenburg II;NI;Urne;197297;119607;970;118637;52517;33637;6363;7905;0;6685;10312;1076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;731;118876;45868;29515;7643;9431;0;11070;11057;524;481;576;1011;95;933;0;0;0;22;0;0;0;0;0;0;192;141;17;156;0;0;0;0;0;0;144
031;Mittelems;NI;Urne;230151;150786;1023;149763;80534;39883;5788;7104;0;8082;7685;0;0;0;0;0;687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;879;149907;73906;35738;6865;8741;0;13288;8354;330;253;223;756;197;791;0;0;0;30;0;0;0;0;0;0;91;102;22;121;0;0;0;0;0;0;99
032;Cloppenburg – Vechta;NI;Urne;220042;136065;1310;134755;77357;27516;5684;5535;0;6738;11168;0;0;757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1045;135020;71082;24228;6134;6625;0;12429;11619;329;257;451;624;87;734;0;0;0;16;0;0;0;0;0;0;66;77;14;149;0;0;0;0;0;0;99
033;Diepholz – Nienburg I;NI;Urne;193934;117947;1233;116714;51395;32211;6382;8811;0;8022;9893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;917;117030;43787;30225;7286;9470;0;11997;10244;400;307;522;1053;171;908;0;0;0;24;0;0;0;0;0;0;181;120;13;170;0;0;0;0;0;0;152
034;Osterholz – Verden;NI;Urne;196136;122209;1105;121104;46582;39354;8685;7823;0;6378;11056;0;0;881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;1122;121087;41285;32401;9091;10957;0;10428;12512;476;313;491;1142;103;1048;0;0;0;28;0;0;0;0;0;0;245;177;13;233;0;0;0;0;0;0;144
035;Rotenburg I – Heidekreis;NI;Urne;168101;102681;843;101838;36312;42438;4325;4661;0;4414;8631;0;0;1057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;853;101828;38025;28036;6151;7925;0;8393;9783;314;385;587;888;86;708;0;0;0;26;0;0;0;0;0;0;133;97;8;183;0;0;0;0;0;0;100
036;Harburg;NI;Urne;199081;121836;1040;120796;48008;33735;6734;11005;0;7752;11664;0;0;1898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;811;121025;42284;27162;7909;12536;0;13786;12664;368;289;951;1224;147;992;0;0;0;23;0;0;0;0;0;0;144;162;26;152;0;0;0;0;0;0;206
037;Lüchow-Dannenberg – Lüneburg;NI;Urne;180865;106284;1112;105172;34880;30027;9016;14637;0;6756;9856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;723;105561;32279;25257;9738;13747;0;9642;10182;389;349;405;1111;169;1083;0;0;0;27;0;0;0;0;0;0;577;206;25;198;0;0;0;0;0;0;177
038;Osnabrück-Land;NI;Urne;199131;120492;1044;119448;53509;34500;6593;8874;0;7390;8437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;0;0;0;0;0;984;119508;47244;31301;7579;9706;0;11379;9253;384;270;299;736;85;743;0;0;0;14;0;0;0;0;0;0;145;106;23;133;0;0;0;0;0;0;108
039;Stadt Osnabrück;NI;Urne;196720;116127;2227;113900;44854;37074;10151;11172;0;9899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;838;115289;39790;29606;10103;13600;0;10545;7947;554;182;278;670;113;1037;0;0;0;24;0;0;0;0;0;0;277;185;57;179;0;0;0;0;0;0;142
040;Nienburg II – Schaumburg;NI;Urne;194800;114605;982;113623;45253;37787;5336;8333;0;4913;11047;954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;888;113717;37986;34231;6743;9161;0;9385;12331;443;349;367;1102;93;864;0;0;0;33;0;0;0;0;0;0;118;127;18;236;0;0;0;0;0;0;130
041;Stadt Hannover I;NI;Urne;179883;100702;1154;99548;27944;36283;7813;8476;0;6202;9349;957;0;497;0;0;1787;0;0;0;137;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;803;99899;25604;28084;9954;11833;0;9600;10086;609;194;286;912;122;1344;0;0;0;69;0;0;0;0;0;0;255;223;64;501;0;0;0;0;0;0;159
042;Stadt Hannover II;NI;Urne;193433;109768;1151;108617;29625;37716;10824;11632;0;5746;8519;1168;0;0;0;0;3032;0;0;0;184;0;0;0;0;0;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;792;108976;25021;28877;13984;15834;0;10243;9034;746;151;258;1002;129;2168;0;0;0;100;0;0;0;0;0;0;336;312;106;458;0;0;0;0;0;0;217
043;Hannover-Land I;NI;Urne;232926;138883;1323;137560;53204;46369;7274;8172;0;6975;14032;0;0;1534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1105;137778;46129;38130;8862;10946;0;13781;14918;550;330;606;1180;115;1174;0;0;0;56;0;0;0;0;0;0;187;174;40;418;0;0;0;0;0;0;182
044;Celle – Uelzen;NI;Urne;214612;126407;1120;125287;52394;37997;6426;6930;0;6794;13361;0;0;1385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;998;125409;44710;32443;7550;9466;0;12413;14410;394;367;723;1089;105;1097;0;0;0;47;0;0;0;0;0;0;152;125;15;178;0;0;0;0;0;0;125
045;Gifhorn – Peine;NI;Urne;218556;136495;1280;135215;47660;51533;7434;7312;0;6324;14158;0;0;0;0;0;0;0;0;0;228;0;0;0;0;0;0;0;0;0;0;0;0;566;0;0;0;0;0;0;0;0;1146;135349;44390;41164;8492;9684;0;11004;15721;566;393;456;1257;97;1203;0;0;0;81;0;0;0;0;0;0;156;136;14;328;0;0;0;0;0;0;207
046;Hameln-Pyrmont – Holzminden;NI;Urne;187377;104246;1033;103213;32886;41469;6402;5382;0;5736;10379;959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;903;103343;31574;33665;7229;7368;0;9112;11156;414;332;297;904;70;708;0;0;0;23;0;0;0;0;0;0;113;91;20;130;0;0;0;0;0;0;137
047;Hannover-Land II;NI;Urne;239923;143813;1460;142353;48123;53223;8214;8215;0;7536;14383;1381;0;1278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1290;142523;42906;42476;9916;12540;0;13343;15850;774;409;631;1178;121;1374;0;0;0;57;0;0;0;0;0;0;164;239;21;340;0;0;0;0;0;0;184
048;Hildesheim;NI;Urne;218349;129566;1468;128098;44473;49147;6789;9095;0;6831;11763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1141;128425;40197;40972;8682;10952;0;10207;12801;469;392;342;1282;106;1132;0;0;0;46;0;0;0;0;0;0;205;226;21;246;0;0;0;0;0;0;147
