Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;WGr/EB;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
049;Salzgitter – Wolfenbüttel;NI;Urne;206133;123358;1374;121984;33869;53059;7618;5012;0;5471;15544;1119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;292;1149;122209;34191;40444;9357;7801;0;9411;16004;568;508;429;1233;91;1263;0;0;0;63;0;0;0;0;0;0;157;137;24;395;0;0;0;0;0;0;133
050;Braunschweig;NI;Urne;192041;103751;1058;102693;30564;40113;8337;7768;0;5281;8858;0;0;0;0;0;0;0;0;0;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1502;849;102902;28079;27970;10258;11952;0;9783;9523;676;235;282;994;145;1919;0;0;0;96;0;0;0;0;0;0;267;272;21;245;0;0;0;0;0;0;185
051;Helmstedt – Wolfsburg;NI;Urne;183961;105799;1211;104588;35288;40465;6494;4446;0;5765;11479;0;0;0;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;516;1129;104670;34840;31827;7294;6049;0;8197;12294;473;521;357;987;156;1006;0;0;0;77;0;0;0;0;0;0;86;114;21;229;0;0;0;0;0;0;142
052;Goslar – Northeim – Osterode;NI;Urne;202963;115408;1302;114106;43964;40706;6776;5834;0;5608;11218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1015;114393;35232;37457;7626;7432;0;10283;12198;355;497;395;1117;78;994;0;0;0;26;0;0;0;0;0;0;138;129;19;294;0;0;0;0;0;0;123
053;Göttingen;NI;Urne;220420;124632;1150;123482;39750;44454;7655;12969;0;5373;9546;1068;0;1049;0;0;1486;0;0;0;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1018;123614;35955;36249;11200;13689;0;10695;10721;631;347;759;1064;101;1294;0;0;0;60;0;0;0;0;0;0;258;187;50;200;0;0;0;0;0;0;154
054;Bremen I;HB;Urne;252496;135388;2147;133241;30879;41047;16957;15260;0;13638;11655;0;0;0;0;0;3540;0;0;0;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1433;133955;32740;33748;19873;16615;0;12786;12519;830;220;347;0;0;2332;0;0;0;123;0;0;0;0;0;0;759;0;70;271;0;0;0;298;0;0;424
055;Bremen II – Bremerhaven;HB;Urne;221655;115768;1913;113855;26990;39491;13531;8403;0;7180;14042;0;403;719;0;0;2419;0;0;0;129;0;0;0;0;0;0;0;0;0;548;0;0;0;0;0;0;0;0;0;0;0;1714;114054;25947;34292;14749;9991;0;8719;14880;809;509;544;0;0;1976;0;0;0;103;0;0;0;0;0;0;517;0;59;265;0;0;0;376;0;0;318
056;Prignitz – Ostprignitz-Ruppin – Havelland I;BB;Urne;176002;99271;1643;97628;29722;23040;16985;2741;0;3369;18646;0;0;1171;0;0;1189;0;0;0;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480;1672;97599;28568;20575;15909;3248;0;5203;19294;0;946;950;1132;122;961;0;0;0;158;0;0;0;0;0;0;254;0;56;223;0;0;0;0;0;0;0
057;Uckermark – Barnim I;BB;Urne;184716;103613;1744;101869;30830;19862;18435;3404;0;3788;21893;0;0;1709;0;0;1619;0;0;0;0;0;0;0;0;0;329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1675;101938;28506;17318;18656;3821;0;5428;22493;0;1091;1086;1335;121;1088;0;0;0;69;0;0;0;0;0;0;361;0;173;392;0;0;0;0;0;0;0
058;Oberhavel – Havelland II;BB;Urne;243108;142109;2321;139788;40835;31596;20667;7047;0;6959;26936;898;0;1951;0;0;2589;0;0;0;0;0;0;0;0;0;310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2049;140060;38792;25585;20233;8621;0;10306;27920;0;1283;1263;2847;225;1876;0;0;0;87;0;0;0;0;0;0;434;0;161;427;0;0;0;0;0;0;0
059;Märkisch-Oderland – Barnim II;BB;Urne;226424;133124;2096;131028;36692;20773;28854;6680;0;5498;28232;0;0;3475;0;0;0;0;0;0;0;0;0;0;0;0;824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2064;131060;32242;20176;26576;5898;0;8503;28854;0;1086;1876;2596;224;1822;0;0;0;67;0;0;0;0;0;0;461;0;292;387;0;0;0;0;0;0;0
060;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BB;Urne;183182;103934;1988;101946;32023;25501;15323;3313;0;4529;18279;555;0;1975;0;0;0;0;0;0;0;0;0;0;0;0;448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1706;102228;28290;21155;16878;4068;0;6390;19363;0;1013;1145;1685;151;1123;0;0;0;60;0;0;0;0;0;0;373;0;189;345;0;0;0;0;0;0;0
061;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BB;Urne;247441;141679;1868;139811;33990;36916;23264;10402;0;9916;18888;725;0;1689;0;0;3329;0;0;0;0;0;0;0;0;0;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312;1576;140103;33596;25842;25686;13293;0;12411;20524;0;572;1083;2702;315;2569;0;0;0;114;0;0;0;0;0;0;640;0;234;522;0;0;0;0;0;0;0
062;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BB;Urne;248708;147046;2836;144210;43483;28364;23237;5940;0;6891;31191;907;0;3685;0;0;0;0;0;0;0;0;0;0;0;0;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2404;144642;38223;25575;22427;6436;0;10495;32343;0;1288;1914;2618;246;1777;0;0;0;70;0;0;0;0;0;0;413;0;252;565;0;0;0;0;0;0;0
063;Frankfurt (Oder) – Oder-Spree;BB;Urne;194759;110663;1851;108812;29009;18481;20586;3280;0;5353;25218;590;1169;1880;0;0;2039;0;0;0;303;0;0;0;0;0;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;653;1836;108827;26193;17746;20422;4410;0;7070;25478;0;1307;1331;1984;225;1601;0;0;0;171;0;0;0;0;0;0;376;0;167;346;0;0;0;0;0;0;0
064;Cottbus – Spree-Neiße;BB;Urne;178676;102553;2053;100500;27798;17095;15592;2994;0;5618;27013;0;0;0;0;0;2448;0;0;0;0;0;0;0;0;0;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1573;1794;100759;23464;15200;16360;2917;0;7421;28802;0;1241;837;1818;138;1496;0;0;0;101;0;0;0;0;0;0;379;0;202;383;0;0;0;0;0;0;0
065;Elbe-Elster – Oberspreewald-Lausitz II;BB;Urne;168543;102854;2302;100552;29323;16793;16171;2804;0;5156;25874;0;0;3976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455;2037;100817;27623;15424;15474;2498;0;6504;26484;0;1579;1650;1507;122;1019;0;0;0;82;0;0;0;0;0;0;308;0;79;464;0;0;0;0;0;0;0
066;Altmark;ST;Urne;165625;94563;1582;92981;29918;17801;17821;2950;0;6201;16041;0;0;1374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;875;1234;93329;30231;15940;17250;2894;0;6530;16387;0;611;756;0;0;818;0;0;0;89;0;0;0;0;1034;0;209;196;0;0;0;0;384;0;0;0;0
067;Börde – Jerichower Land;ST;Urne;220786;127104;4028;123076;45749;24969;24945;2860;0;9244;0;0;8631;6678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2243;124861;39400;20478;20547;3403;0;9325;24644;0;1210;1707;0;0;1155;0;0;0;125;0;0;0;0;1825;0;258;161;0;0;0;0;623;0;0;0;0
068;Harz;ST;Urne;215607;118568;2174;116394;41585;20284;22196;3560;0;5801;19855;0;0;2754;0;0;0;0;0;0;359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1820;116748;38460;18837;20568;3895;0;8045;20838;0;797;1386;0;0;1144;0;0;0;141;0;0;0;0;1819;0;280;169;0;0;0;0;369;0;0;0;0
069;Magdeburg;ST;Urne;238060;126763;2066;124697;33472;26698;23531;4379;0;7861;21091;0;680;1373;0;0;0;0;0;0;364;0;0;0;3289;0;0;0;0;1959;0;0;0;0;0;0;0;0;0;0;0;0;1898;124865;33628;21413;23172;6047;0;9419;22383;0;828;1013;0;0;1946;0;0;0;235;0;0;0;0;2626;0;341;540;0;0;0;0;1274;0;0;0;0
070;Dessau – Wittenberg;ST;Urne;177005;102437;1852;100585;34923;12417;18049;4242;0;4869;20564;0;1066;3136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1319;1578;100859;31418;14429;17230;3351;0;7241;21315;0;1094;1654;0;0;936;0;0;0;107;0;0;0;0;1337;0;281;131;0;0;0;0;335;0;0;0;0
071;Anhalt;ST;Urne;224401;125773;2533;123240;37924;16031;25744;2328;0;7554;28821;0;917;3469;0;0;0;0;0;0;452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2239;123534;36776;17308;21786;2822;0;8989;28864;0;1079;1891;0;0;979;0;0;0;234;0;0;0;0;1895;0;258;153;0;0;0;0;500;0;0;0;0
072;Halle;ST;Urne;214668;117270;1897;115373;30928;23618;22858;3848;0;7734;22274;0;0;2053;0;0;1602;0;0;0;458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1919;115351;29753;16126;21635;7315;0;10205;22834;0;658;1127;0;0;2245;0;0;0;296;0;0;0;0;1869;0;529;485;0;0;0;0;274;0;0;0;0
073;Burgenland – Saalekreis;ST;Urne;191636;107983;2040;105943;34607;13843;17621;2505;0;6864;26151;0;1402;2950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1814;106169;30895;13943;17051;2625;0;8129;27644;0;1310;1379;0;0;936;0;0;0;99;0;0;0;0;1466;0;217;150;0;0;0;0;325;0;0;0;0
074;Mansfeld;ST;Urne;207103;117058;2294;114764;34978;17417;20382;2842;0;9005;28766;0;1095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;2109;114949;32444;16431;19549;2577;0;9165;28935;0;1183;975;0;0;1033;0;0;0;138;0;0;0;0;1735;0;285;164;0;0;0;0;335;0;0;0;0
075;Berlin-Mitte;BE;Urne;206706;100374;1855;98519;17219;23689;21065;16980;0;5274;8642;0;0;450;0;488;3703;0;0;0;293;151;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;371;1621;98753;17095;18354;22109;16461;0;7639;9001;952;0;225;1251;182;2631;0;0;0;140;54;54;0;0;0;41;556;570;99;304;308;202;0;178;0;163;184
076;Berlin-Pankow;BE;Urne;237071;126954;1612;125342;23584;20610;36491;16709;0;4882;17073;0;0;911;0;594;4010;0;0;0;0;305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;1445;125509;23473;19607;29796;17473;0;7781;17804;604;0;469;1682;274;3207;0;0;0;99;78;36;0;0;0;63;489;625;169;265;570;209;0;206;0;354;176
077;Berlin-Reinickendorf;BE;Urne;182398;93489;1822;91667;31662;22153;7788;7114;0;6478;13116;0;0;0;0;0;2127;0;0;0;0;312;0;0;0;0;0;917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1681;91808;26292;18774;8594;8458;0;10050;13694;533;0;212;1358;156;1462;0;0;0;70;94;26;0;0;0;21;217;191;24;239;817;122;0;151;0;166;87
078;Berlin-Spandau – Charlottenburg Nord;BE;Urne;184608;92442;1859;90583;26051;29384;7574;5417;0;5455;13404;0;0;0;0;710;2358;0;0;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1792;90650;23432;20760;9691;7671;0;8383;14190;693;0;265;1512;284;1671;0;0;0;119;34;29;0;0;0;12;255;216;18;252;538;122;0;177;0;194;132
079;Berlin-Steglitz-Zehlendorf;BE;Urne;221210;108065;1492;106573;34654;26971;9197;14197;0;8961;9583;0;0;0;0;0;2477;0;0;0;0;318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;1151;106914;28658;21009;11053;16065;0;14464;10359;452;0;213;1145;175;1467;0;0;0;40;63;12;0;0;0;21;242;291;29;203;326;139;0;163;0;165;160
080;Berlin-Charlottenburg-Wilmersdorf;BE;Urne;198672;98041;1316;96725;27126;27933;10055;12954;0;8235;8000;0;0;0;0;0;2149;0;0;0;0;273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;999;97042;22736;19306;12479;15670;0;13516;8441;533;0;110;967;138;1434;0;0;0;62;57;16;0;0;0;17;278;274;35;190;248;139;0;131;0;120;145
081;Berlin-Tempelhof-Schöneberg;BE;Urne;235250;114142;1725;112417;30266;25611;13444;20547;0;6659;11237;1194;0;0;0;0;2589;0;0;0;0;269;135;0;0;0;0;0;0;0;466;0;0;0;0;0;0;0;0;0;0;0;1490;112652;25855;23213;16254;17415;0;10867;11871;866;0;241;1397;185;1965;0;0;0;95;84;37;0;0;0;36;366;384;51;282;435;197;0;239;0;165;152
082;Berlin-Neukölln;BE;Urne;202618;95368;1946;93422;21480;25523;16238;9526;0;4486;11097;0;175;0;0;0;3433;0;0;0;214;185;0;0;0;0;0;628;0;0;0;0;0;0;0;0;0;0;437;0;0;0;1725;93643;19231;18525;18020;11916;0;6780;11664;747;0;151;1504;138;2270;0;0;0;141;66;23;0;0;0;45;423;442;71;294;476;222;0;188;0;176;130
083;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;BE;Urne;223427;115160;1455;113705;13253;19586;29536;28719;0;3284;7766;0;0;428;0;0;7985;0;0;0;212;0;0;0;0;424;0;0;483;0;0;0;0;0;0;0;0;0;0;0;0;2029;1217;113943;14841;18639;33783;22217;0;6164;8064;952;0;230;1497;186;3921;0;0;0;126;38;28;0;0;0;190;646;802;150;242;306;288;0;219;0;203;211
084;Berlin-Treptow-Köpenick;BE;Urne;205106;109417;1558;107859;19808;14920;41710;5124;0;3990;18173;0;316;776;0;0;2591;0;0;0;221;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1583;107834;20861;16461;26554;8304;0;6786;20286;636;0;563;1624;179;2845;0;0;0;112;102;39;0;0;0;37;323;331;104;373;523;143;0;166;0;316;166
085;Berlin-Marzahn-Hellersdorf;BE;Urne;200704;101041;1742;99299;21075;12824;32630;3152;0;3452;22738;0;535;1473;0;0;0;0;0;0;0;0;0;0;0;0;0;938;0;0;0;0;0;0;0;0;0;0;482;0;0;0;1668;99373;19619;14436;24923;4017;0;5114;23801;541;0;642;1738;120;1715;0;0;0;77;75;33;0;0;0;15;215;215;125;248;907;118;0;164;0;424;91
086;Berlin-Lichtenberg;BE;Urne;205300;105867;1678;104189;19904;14830;35260;5816;0;3500;18204;979;399;0;0;0;3174;0;0;0;208;0;0;0;0;0;0;0;0;0;0;1054;0;0;0;0;0;0;0;0;0;861;1662;104205;18439;15556;29855;6795;0;5353;19314;716;0;354;1891;126;2627;0;0;0;142;47;26;0;0;0;41;297;332;166;255;594;152;0;169;0;843;115
087;Aachen I;NW;Urne;179273;88509;1000;87509;27016;30125;8624;7666;0;5832;5904;1489;0;0;0;853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;712;87797;22216;23280;10033;10960;0;11207;6168;584;123;135;418;400;1043;0;36;0;44;0;15;0;399;0;0;96;229;20;96;0;0;0;0;132;45;118
088;Aachen II;NW;Urne;228248;117111;1560;115551;39206;44513;6438;5020;0;7138;11203;1393;0;0;0;640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1272;115839;32770;42167;7310;5891;0;12347;11223;597;327;245;817;319;588;0;64;0;36;0;4;0;608;0;0;77;129;14;103;0;0;0;0;59;71;73
089;Heinsberg;NW;Urne;190051;105345;1428;103917;45791;30122;5006;5020;0;6570;9340;991;0;1077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1221;104124;39446;27884;6111;5494;0;11312;9910;530;374;551;798;95;641;0;95;0;42;0;7;0;327;0;0;66;114;7;88;0;0;0;0;48;86;98
090;Düren;NW;Urne;199675;100788;1353;99435;39347;32878;4825;5283;0;5604;9803;1010;0;685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1161;99627;32630;29950;6359;5684;0;10755;10643;579;297;320;770;94;616;0;92;0;26;0;6;0;348;0;0;65;87;17;78;0;0;0;0;51;81;79
091;Rhein-Erft-Kreis I;NW;Urne;248982;126444;1601;124843;46316;40257;6452;6874;0;10950;12151;1661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;1263;125181;39178;33850;8415;8767;0;17302;12957;745;333;342;927;90;935;0;117;0;29;0;11;0;523;0;0;87;143;14;110;0;0;0;0;93;103;110
092;Euskirchen – Rhein-Erft-Kreis II;NW;Urne;246753;123359;1635;121724;49943;32916;7374;7109;0;11571;12811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1261;122098;41224;29188;7938;8598;0;17394;13326;500;326;414;1025;118;911;0;100;0;40;0;7;0;265;0;0;105;115;18;142;0;0;0;0;58;142;144
093;Köln I;NW;Urne;192574;85045;1094;83951;24345;27148;8166;7933;0;5902;8161;0;0;0;0;0;2098;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;828;84217;19975;20928;10375;9825;0;10122;8532;466;149;219;596;95;1177;0;67;0;108;0;11;0;836;0;0;117;223;20;98;0;0;0;0;95;76;107
094;Köln II;NW;Urne;240985;110859;790;110069;35128;31228;9937;16668;0;9141;5581;0;0;0;0;0;2217;0;0;0;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;621;110238;27942;22473;13526;18601;0;17412;6212;390;75;220;573;131;1346;0;43;0;51;0;9;0;293;0;0;169;308;24;103;0;0;0;0;113;55;169
095;Köln III;NW;Urne;203647;93280;1161;92119;23221;30970;9700;11863;0;6047;7803;0;0;0;0;0;2302;0;0;0;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;853;92427;20137;23125;12963;13487;0;9636;8225;472;125;183;676;119;1258;0;56;0;94;0;10;0;974;0;0;160;282;14;124;0;0;0;0;95;89;123
096;Bonn;NW;Urne;227583;117188;1183;116005;35011;42547;7314;9133;0;10978;8072;620;0;461;0;0;1822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;1031;116157;31979;24430;12140;16574;0;17310;9565;486;108;251;389;147;1352;0;62;0;65;0;16;0;288;0;0;191;277;26;154;0;0;0;0;150;35;162
097;Rhein-Sieg-Kreis I;NW;Urne;237415;128791;2880;125911;53556;36187;11199;8274;0;13083;0;0;0;0;0;0;0;0;3612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1257;127534;40998;29081;9757;9865;0;18545;14109;587;229;373;1035;165;1238;0;352;0;57;0;8;0;326;0;0;115;161;14;137;0;0;0;0;92;137;153
098;Rhein-Sieg-Kreis II;NW;Urne;216020;120025;1210;118815;52764;28056;7172;9308;0;9945;10969;0;0;0;0;0;0;0;601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1061;118964;39982;24415;8338;10785;0;20001;11539;436;206;332;747;153;926;0;199;0;36;0;2;0;140;0;0;137;152;10;128;0;0;0;0;74;85;141
099;Oberbergischer Kreis;NW;Urne;208418;115521;1647;113874;48157;30703;6427;6707;0;8631;12984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;1356;114165;39799;26083;7755;7447;0;15064;13564;527;271;297;922;176;879;0;129;0;40;0;9;0;496;0;0;88;126;15;182;0;0;0;0;68;130;98
100;Rheinisch-Bergischer Kreis;NW;Urne;217425;113372;1697;111675;42974;28345;5970;7784;0;16604;9064;0;0;934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1510;111862;37434;24143;7735;10641;0;17965;9970;388;168;553;852;150;834;0;82;0;33;0;8;0;258;0;0;105;140;8;125;0;0;0;0;70;93;107
101;Leverkusen – Köln IV;NW;Urne;212212;105026;1314;103712;30058;41418;6888;5631;0;6303;10156;0;0;0;0;0;2566;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;442;1179;103847;27161;28703;10379;9277;0;11844;11326;563;263;271;714;86;1408;0;110;0;168;0;23;0;892;0;0;90;153;27;120;0;0;0;0;81;76;112
102;Wuppertal I;NW;Urne;208129;110272;1652;108620;29979;35411;10288;7727;0;8933;13046;1153;0;0;0;0;1883;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200;109072;26626;28865;12609;9398;0;12880;13290;682;298;233;959;137;1159;0;84;0;171;0;10;0;760;0;0;138;171;34;221;0;0;0;0;121;105;121
103;Solingen – Remscheid – Wuppertal II;NW;Urne;222845;120255;1941;118314;42548;37596;8087;6811;0;8925;12293;0;0;0;0;0;1857;0;0;0;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1336;118919;35206;30538;9951;8792;0;15933;13052;613;271;242;1042;118;1047;0;90;0;91;0;13;0;1120;0;0;122;136;12;197;0;0;0;0;68;128;137
104;Mettmann I;NW;Urne;205244;107971;1375;106596;44393;28763;6480;7515;0;8772;10673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;915;107056;33579;25438;7612;8398;0;16568;11304;531;216;238;897;127;804;0;100;0;52;0;13;0;504;0;0;93;119;20;134;0;0;0;0;87;103;119
105;Mettmann II;NW;Urne;163229;87717;1238;86479;31967;27083;5182;5200;0;7242;8668;1114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;898;86819;26471;21996;6375;6211;0;13016;9272;467;195;214;868;85;605;0;54;0;63;0;9;0;450;0;0;58;77;9;108;0;0;0;0;45;83;88
106;Düsseldorf I;NW;Urne;220764;113493;1202;112291;42446;29310;9335;9487;0;13402;8062;0;0;0;0;0;0;0;0;0;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;847;112646;33314;23299;10818;11843;0;20543;8881;449;163;220;684;92;971;0;52;0;90;0;12;0;400;0;0;139;209;30;129;0;0;0;0;103;62;143
107;Düsseldorf II;NW;Urne;193175;99360;1505;97855;31123;27803;13550;7754;0;8505;8905;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;907;98453;26058;23758;10545;9893;0;13864;10063;452;195;237;767;82;1118;0;66;0;90;0;7;0;492;0;0;115;182;24;145;0;0;0;0;90;93;117
108;Neuss I;NW;Urne;214779;109377;1408;107969;44843;32178;6478;5487;0;7685;10304;0;0;994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1045;108332;36450;26440;7469;6766;0;15269;11284;523;258;358;859;110;932;0;75;0;72;0;11;0;772;0;0;96;148;20;118;0;0;0;0;80;87;135
109;Mönchengladbach;NW;Urne;190552;99864;1357;98507;41317;25072;7166;5773;0;7671;9931;0;0;0;0;0;1517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;1023;98841;33382;24223;7717;6060;0;12888;10274;479;288;212;847;85;1001;0;86;0;72;0;5;0;590;0;0;96;103;15;89;0;0;0;0;72;88;169
110;Krefeld I – Neuss II;NW;Urne;201450;109374;1491;107883;43510;28771;6080;7186;0;11800;8702;0;0;0;0;0;1700;0;0;0;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100;108274;36236;24852;7604;7939;0;18006;9415;478;243;272;719;118;995;0;70;0;71;0;5;0;711;0;0;83;118;16;102;0;0;0;0;42;81;98
111;Viersen;NW;Urne;227423;126731;1395;125336;57474;32615;6918;8475;0;10274;9580;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1076;125655;45669;29078;8122;8689;0;19439;10182;562;311;324;1043;114;954;0;86;0;46;0;8;0;335;0;0;96;129;24;135;0;0;0;0;69;123;117
112;Kleve;NW;Urne;226096;121361;1377;119984;52447;37479;5541;5911;0;8775;8669;0;0;1084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;1151;120210;48074;29053;7181;7414;0;15748;9171;434;265;406;847;96;769;0;82;0;51;0;4;0;42;0;0;85;120;12;100;0;0;0;0;54;90;112
